"","Gene","Condition","Type"
"448","Sart3","V","B"
"449","Myh9","V","B"
"450","Rpl14","V","B"
"451","Map4","V","B"
"452","Clic1","V","B"
"453","Atp5f1a","V","B"
"454","Nefm","V","B"
"455","Efhd2","V","B"
"456","Clasp2","V","B"
"457","Add1","V","B"
"458","Spag9","V","B"
"459","Vwa5a","V","B"
"460","Nacad","V","B"
"461","Crip2","V","B"
"462","Sf3b1","V","B"
"463","Mtdh","V","B"
"464","Sncb;Sncg","V","B"
"465","Sec22b","V","B"
"466","Eef1a2","V","B"
"467","Eef1d","V","B"
"468","Esyt1","V","B"
"469","Prph;Vim","V","B"
"470","Rpl4","V","B"
"471","Pygb","V","B"
"472","Lasp1","V","B"
"473","Dctn4","V","B"
"474","Pcbp2","V","B"
"475","Glo1","V","B"
"476","Tuba4a","V","B"
"477","Eps15","V","B"
"478","Dync1li2","V","B"
"479","Cnn3","V","B"
"480","Palm","V","B"
"481","Gmds","V","B"
"482","Hspa8","V","B"
"483","Usp5","V","B"
"484","Elavl4","V","B"
"485","Ncl","V","B"
"486","Nono","V","B"
"487","Pcnp","V","B"
"488","Set","V","B"
"489","Cttn","V","B"
"490","Dpysl2","V","B"
"491","Slc25a4","V","B"
"492","Wipi2","V","B"
"493","Cast","V","B"
"494","Sprr1a","V","B"
"495","Snca;Sncb","V","B"
"496","Amph","V","B"
"497","Fermt2","V","B"
"498","Hnrnpa2b1","V","B"
"499","Arhgdia","V","B"
"500","Sncg","V","B"
"501","Rps6","V","B"
"502","Fubp1","V","B"
"503","Washc2","V","B"
"504","Tln1","V","B"
"505","Ppp3ca","V","B"
"506","Eif4g1","V","B"
"507","Nefl","V","B"
"508","Ppp1r2","V","B"
"509","Hnrnpm","V","B"
"510","Gls","V","B"
"511","Idh1","V","B"
"512","Snca","V","B"
"513","Ilf3","V","B"
"514","Ranbp2","V","B"
"515","Rbm14","V","B"
"516","Cpne6","V","B"
"517","Pebp1","V","B"
"518","Hnrnpd","V","B"
"519","Strn","V","B"
"520","Rpl7a","V","B"
"521","Trap1","V","B"
"522","Txn","V","B"
"523","Chmp4b","V","B"
"524","Ist1","V","B"
"525","Vcl","V","B"
"526","Tln1;Tln2","V","B"
"527","Hnrnpa3","V","B"
"528","Rufy3","V","B"
"529","Srcin1","V","B"
"530","Tagln2","V","B"
"531","Anxa2","V","B"
"532","Dync1li1","V","B"
"533","Septin5","V","B"
"534","Tln2","V","B"
"535","Nup214","V","B"
"536","Synrg","V","B"
"537","Hnrnpa1","V","B"
"538","Prdx1","V","B"
"539","Ncam1","V","B"
"540","Sf3a1","V","B"
"541","Sncb","V","B"
"542","Igbp1","V","B"
"543","Trim28","V","B"
"544","Ppia","V","B"
"545","Aak1","V","B"
"546","Lypla2","V","B"
"547","Tdrp","V","B"
"548","Niban2","V","B"
"549","Anxa5","V","B"
"550","Hnrnpa1;Hnrnpa3","V","B"
"551","Prune1","V","B"
"552","Ubap2","V","B"
"553","Snrpd2","V","B"
"554","Baz2a","V","B"
"555","Capzb","V","B"
"556","H4c1","V","B"
"557","Agfg1","V","B"
"558","Lmna","V","B"
"559","Prpf3","V","B"
"560","Comt","V","B"
"561","Prdx6","V","B"
"562","Tnks1bp1","V","B"
"563","Sorbs1","V","B"
"564","Rpl24","V","B"
"565","Ddx3x;Ddx3y","V","B"
"566","Plaa","V","B"
"567","Csrp1","V","B"
"568","Cadps","V","B"
"569","Bag3","V","B"
"570","Ap3s1","V","B"
"571","Prrc2c","V","B"
"572","Upf1","V","B"
"573","Stim1","V","B"
"574","Khsrp","V","B"
"575","Pdha1","V","B"
"576","Rps2","V","B"
"577","Sars1","V","B"
"578","Cs","V","B"
"579","Dpysl3","V","B"
"580","Pdap1","V","B"
"581","Sptan1","V","B"
"582","Cog1","V","B"
"583","Rheb","V","B"
"584","Las1l","V","B"
"585","Hadhb","V","B"
"586","Slc2a1","V","B"
"587","Rint1","V","B"
"588","Ddx17;Ddx5","V","B"
"589","Mdh2","V","B"
"590","Tkt","V","B"
"591","Araf","V","B"
"592","Numb","V","B"
"593","Hspa5","V","B"
"594","Rpl29","V","B"
"595","Gspt1","V","B"
"596","Ap1b1;Ap2b1","V","B"
"597","Plec","V","B"
"598","Rrbp1","V","B"
"599","Rps27a;Uba52;Ubb;Ubc","V","B"
"600","Rps3a","V","B"
"601","Pcbp4","V","B"
"602","Pgam1","V","B"
"603","Vapa;Vapb","V","B"
"604","Sfpq","V","B"
"605","Ktn1","V","B"
"606","Chmp2b","V","B"
"607","Sptbn1","V","B"
"608","Rars1","V","B"
"609","Map1a;Map1b","V","B"
"610","Hnrnpab","V","B"
"611","Aldoa","V","B"
"612","Pdxdc1","V","B"
"613","Ampd3","V","B"
"614","Nucks1","V","B"
"615","Rps8","V","B"
"616","Mapre1","V","B"
"617","Etfa","V","B"
"618","Ptpn12","V","B"
"619","As3mt","V","B"
"620","Junb","V","B"
"621","Cpsf6","V","B"
"622","Mapk3","V","B"
"623","Ctnnd1","V","B"
"624","Snx1;Snx2","V","B"
"625","Hspd1","V","B"
"626","Hcfc1","V","B"
"627","Rplp0","V","B"
"628","Mecp2","V","B"
"629","Snx9","V","B"
"630","Hspa5;Hspa8","V","B"
"631","Uchl1","V","B"
"632","Srp68","V","B"
"633","Park7","V","B"
"634","Ruvbl1","V","B"
"635","Ddx46","V","B"
"636","Rpl7","V","B"
"637","Ndrg1","V","B"
"638","Pcmt1","V","B"
"639","Zdhhc3","V","B"
"640","Septin7","V","B"
"641","Prdx2","V","B"
"642","Arhgef6;Arhgef7","V","B"
"643","Hpcal1","V","B"
"644","Rnf121","V","B"
"645","Gsn","V","B"
"646","Gpatch8","V","B"
"647","Pcyt2","V","B"
"648","Ptbp3","V","B"
"649","Mon2","V","B"
"650","Hnrnpc","V","B"
"651","Flot2","V","B"
"652","Pkm","V","B"
"653","Ndrg2","V","B"
"654","Rpl13","V","B"
"655","Hsp90ab1","V","B"
"656","Tjp1","V","B"
"657","Msn","V","B"
"658","Pak2","V","B"
"659","Fhl1","V","B"
"660","Nebl","V","B"
"661","Macroh2a1","V","B"
"662","Pfn1","V","B"
"663","Septin2","V","B"
"664","Phgdh","V","B"
"665","Rpl18","V","B"
"666","Dock7","V","B"
"667","Cltc","V","B"
"668","Hadha","V","B"
"669","Acin1","V","B"
"670","Atp1a2;Atp1a3","V","B"
"671","Cdc42ep4","V","B"
"672","Npm1","V","B"
"673","Hspe1","V","B"
"674","Rpl34","V","B"
"675","Nck1","V","B"
"676","Parva","V","B"
"677","Jpt2","V","B"
"678","Rpl27a","V","B"
"679","Tomm20","V","B"
"680","Sfn;Ywhab;Ywhae;Ywhag;Ywhah;Ywhaq;Ywhaz","V","B"
"681","Cfl1","V","B"
"682","Actbl2","V","B"
"683","Hsd17b11","V","B"
"684","Dclk1","V","B"
"685","Nme1","V","B"
"686","Ahcyl1","V","B"
"687","Septin9","V","B"
"688","Eif4a1;Eif4a2","V","B"
"689","Anxa7","V","B"
"690","Srrm1","V","B"
"691","Tubb5","V","B"
"692","Eef1a1","V","B"
"693","Bcas1","V","B"
"694","Ckb","V","B"
"695","Slc9a3r1","V","B"
"696","Cr1l","V","B"
"697","Mpz","V","B"
"698","Arl15","V","B"
"699","Krt5;Krt6a","V","B"
"700","Asrgl1","V","B"
"701","Pkn2","V","B"
"702","Pag1","V","B"
"703","Rpl15","V","B"
"704","Krt17","V","B"
"705","Prpf4b","V","B"
"706","Safb2","V","B"
"707","Pgk1","V","B"
"708","H3-3a;H3-5;H3c1;H3c2","V","B"
"709","Lpp","V","B"
"710","Eno1","V","B"
"711","Sipa1","V","B"
"712","Plp1","V","B"
"713","H2ac11;H2ac12;H2ac13;H2ac15;H2ac20;H2ac4;H2ac6;H2ac7;H2ac8;H2aj;H2aw;H2az1;H2az2;Hist1h2af;Hist1h2an;Hist1h2ao;Hist1h2ap;Hist2h2aa1","V","B"
"714","Git1","V","B"
"715","Srsf4;Srsf5;Srsf6","V","B"
"716","Dbi","V","B"
"717","Krt2;Krt5;Krt6a;Krt73;Krt76;Nefh","V","B"
"718","Dpysl4","V","B"
"719","Actb;Actg1","V","B"
"720","Nes","V","B"
"721","Tbc1d10a","V","B"
"722","Shtn1","V","B"
"723","Slc16a1","V","B"
"724","Jup","V","B"
"725","Sorbs1;Sorbs2","V","B"
"726","Rps10","V","B"
"727","Cat","V","B"
"728","Aaas","Ox","A"
"729","Aacs","Ox","A"
"730","Aamdc","Ox","A"
"731","Aars1","Ox","A"
"732","Aatk","Ox","A"
"733","Abat","Ox","A"
"734","Abcc5","Ox","A"
"735","Abce1","Ox","A"
"736","Abcf1","Ox","A"
"737","Abcf2","Ox","A"
"738","Abcf3","Ox","A"
"739","Abhd10","Ox","A"
"740","Abhd12","Ox","A"
"741","Abhd6","Ox","A"
"742","Abi1","Ox","A"
"743","Abi2","Ox","A"
"744","Ablim1","Ox","A"
"745","Ablim2","Ox","A"
"746","Ablim3","Ox","A"
"747","Abraxas2","Ox","A"
"748","Abtb2","Ox","A"
"749","Acaa1a","Ox","A"
"750","Acadvl","Ox","A"
"751","Acap2","Ox","A"
"752","Acbd3","Ox","A"
"753","Acbd6","Ox","A"
"754","Acly","Ox","A"
"755","Acot7","Ox","A"
"756","Acp1","Ox","A"
"757","Acsl3","Ox","A"
"758","Acsl4","Ox","A"
"759","Acsl6","Ox","A"
"760","Actn4","Ox","A"
"761","Actr10","Ox","A"
"762","Actr2","Ox","A"
"763","Acyp2","Ox","A"
"764","Adam22","Ox","A"
"765","Adnp","Ox","A"
"766","Adprh","Ox","A"
"767","Adrm1","Ox","A"
"768","Adsl","Ox","A"
"769","Afdn","Ox","A"
"770","Aff4","Ox","A"
"771","Aftph","Ox","A"
"772","Ag2","Ox","A"
"773","Agap1","Ox","A"
"774","Agap3","Ox","A"
"775","Agfg2","Ox","A"
"776","Agpat1","Ox","A"
"777","Agpat4","Ox","A"
"778","Ahcyl2","Ox","A"
"779","Ahsa1","Ox","A"
"780","Ahsa2","Ox","A"
"781","Aifm1","Ox","A"
"782","Aimp1","Ox","A"
"783","Aimp2","Ox","A"
"784","Aip","Ox","A"
"785","Ak1","Ox","A"
"786","Ak3","Ox","A"
"787","Akap1","Ox","A"
"788","Akap10","Ox","A"
"789","Akap13","Ox","A"
"790","Akap2","Ox","A"
"791","Akap8","Ox","A"
"792","Akap9","Ox","A"
"793","Akr1b1","Ox","A"
"794","Akt3","Ox","A"
"795","Aktip","Ox","A"
"796","Alg13","Ox","A"
"797","Alkbh3","Ox","A"
"798","Alkbh6","Ox","A"
"799","Alyref","Ox","A"
"800","Amer2","Ox","A"
"801","Amer3","Ox","A"
"802","Amn1","Ox","A"
"803","Amotl1","Ox","A"
"804","Anapc1","Ox","A"
"805","Anapc4","Ox","A"
"806","Ank1","Ox","A"
"807","Ank2","Ox","A"
"808","Ank3","Ox","A"
"809","Ankfy1","Ox","A"
"810","Ankle2","Ox","A"
"811","Ankrd13a","Ox","A"
"812","Ankrd13d","Ox","A"
"813","Ankrd17","Ox","A"
"814","Ankrd40","Ox","A"
"815","Ankrd49","Ox","A"
"816","Ankrd52","Ox","A"
"817","Ano10","Ox","A"
"818","Ano8","Ox","A"
"819","Anp32e","Ox","A"
"820","Anxa11","Ox","A"
"821","Anxa7","Ox","A"
"822","Aox1","Ox","A"
"823","Ap1b1","Ox","A"
"824","Ap1g1","Ox","A"
"825","Ap1s2","Ox","A"
"826","Ap2a1","Ox","A"
"827","Ap2a2","Ox","A"
"828","Ap2b1","Ox","A"
"829","Ap2m1","Ox","A"
"830","Ap2s1","Ox","A"
"831","Ap3b2","Ox","A"
"832","Ap3d1","Ox","A"
"833","Ap3m1","Ox","A"
"834","Ap3s2","Ox","A"
"835","Ap4e1","Ox","A"
"836","Apba1","Ox","A"
"837","Apbb1","Ox","A"
"838","Apbb1ip","Ox","A"
"839","Apc","Ox","A"
"840","Apc2","Ox","A"
"841","Api5","Ox","A"
"842","Aplf","Ox","A"
"843","Appl1","Ox","A"
"844","Aqp1","Ox","A"
"845","Arap1","Ox","A"
"846","Arcn1","Ox","A"
"847","Arf4","Ox","A"
"848","Arf5","Ox","A"
"849","Arf6","Ox","A"
"850","Arfgap2","Ox","A"
"851","Arfgap3","Ox","A"
"852","Arfgef1","Ox","A"
"853","Arfgef2","Ox","A"
"854","Arfgef3","Ox","A"
"855","Arfip2","Ox","A"
"856","Arfrp1","Ox","A"
"857","Arglu1","Ox","A"
"858","Arhgap17","Ox","A"
"859","Arhgap21","Ox","A"
"860","Arhgap22","Ox","A"
"861","Arhgap23","Ox","A"
"862","Arhgap27","Ox","A"
"863","Arhgap28","Ox","A"
"864","Arhgap32","Ox","A"
"865","Arhgap35","Ox","A"
"866","Arhgap44","Ox","A"
"867","Arhgef1","Ox","A"
"868","Arhgef12","Ox","A"
"869","Arhgef17","Ox","A"
"870","Arhgef18","Ox","A"
"871","Arhgef40","Ox","A"
"872","Arhgef7","Ox","A"
"873","Arid1a","Ox","A"
"874","Arid1b","Ox","A"
"875","Arl2","Ox","A"
"876","Arl2bp","Ox","A"
