"","WT1_25_Slot2-5_1_3496","WT1_50_Slot2-9_1_3502","WT1_100_Slot2-4_1_3495","WT1_Veh_Slot2-2_1_3493","WT3_25_Slot2-6_1_3497","WT3_50_Slot2-10_1_3503","WT3_100_Slot2-11_1_3504","WT3_Veh_Slot2-13_1_3507","WT4_25_Slot2-14_1_3508","WT4_50_Slot2-7_1_3499","WT4_100_Slot2-16_1_3510","WT4_Veh_Slot2-12_1_3505","WT5_25_Slot2-8_1_3500","WT5_50_Slot2-17_1_3511","WT5_100_Slot2-3_1_3494","WT5_Veh_Slot2-15_1_3509"
"Xrn1",21158.7193349219,22525.1772019576,23083.6189501677,27814.7343803827,23162.0214159971,26313.4782758408,21450.9353621227,25855.7333723032,23741.7796613823,24287.0880907523,20702.5694652651,28745.6524210087,22716.1136340146,21914.15737768,22010.4377617415,27158.7919528776
"Cdk7",22558.6661663437,27536.2047391748,22992.448147424,21817.4791538295,23328.2275342996,26828.3367388674,30056.1955836157,21354.3360000578,20882.6937640654,25446.5527452307,22842.4221338421,23492.0932916942,24131.201752667,28958.7491703719,23461.303833699,23237.8742081064
"Cdk11b",21800.7688925927,22560.9447225788,20034.6309452561,28656.2268143711,24267.3083221844,23067.7599633242,22980.9126908183,25586.8871623653,25713.5746135455,25700.8320273925,18257.4592141942,27147.3058289028,26968.404196445,24038.129152613,22372.1853265026,24979.4334556312
"Cdk19;Cdk8",NA,8044.43,NA,NA,6365.13,6462.92,6199.51,7828.4,5072.95,9628.93,NA,NA,8819.93,6361.46,NA,5613.94
"Dnttip2",67523.7632823578,58258.5429874504,48805.7115541956,145642.785653309,72626.809214564,64393.5723730152,56738.8205144915,102664.236689235,108044.759627114,61151.8801709494,47369.9612444477,96825.5607785878,81487.0928090374,91344.0935177682,26284.7762378254,107235.390759618
"Sprr1a",105372.873163616,41742.8669415114,23633.972267961,211365.311999028,98728.0390239294,46232.3782232883,NA,219115.433183221,88720.9497356774,56738.8219399293,31888.1126289469,156647.9660127,129225.45058106,46399.1689366547,NA,213307.488362648
"Snx18",22338.0552825216,24462.2628365974,22941.5442648706,22471.812327035,23755.7155804866,20616.9892966437,22879.682199792,22663.8443158455,25929.6026372937,26706.3752053358,22028.4527208021,22030.1838011693,23614.7725984428,23040.0646049637,17392.1910881033,19658.6977226909
"Sirpa",23894.0235393434,22827.7302154245,25938.6815255816,21338.8858335185,24478.0822251122,20810.6327643432,19871.5690248857,22121.4040412816,26420.730768469,24672.9600730438,22902.6148109964,22328.625184929,23100.555916099,21975.2685507938,20104.1521810171,21752.6195720542
"Ythdc2",13497.9720189119,13616.6200704879,15288.8768762415,11914.271648298,12771.2283743438,15231.2982134173,16137.2218363375,11652.8046617664,14324.2521062545,13454.4130849155,14507.0760518108,12087.4406955184,14894.7726523968,13874.527247454,14785.0174980979,13641.5117663867
"Ssh1",4645.93999996466,NA,NA,5124.35671013116,NA,NA,NA,8199.68330545249,NA,NA,NA,NA,NA,NA,NA,8694.80900867864
"Shc4",8883.28262154576,8244.24356343981,8350.96280322989,11670.1137244826,7573.35939952528,9166.01303099432,11638.3670966707,14599.2343630993,9643.31376221049,10677.0455616966,9462.80201775326,10479.854297686,9461.95498268794,9195.06328450042,8562.29951483335,11580.0974049536
