"","GeneID","explant.logFC","explant.AveExpr","explant.t","explant.P.Value","explant.adj.P.Val","explant.B","yang.logFC","yang.AveExpr","yang.adj.P.Val"
"29","Brap",0.37031982700371,15.5833628183753,3.27404865347183,0.00515610656247756,0.0212945238401398,-2.95945327745694,-0.3669778107,19.97397532,0.03749142669
"30","C3",0.544143534125624,18.1245014699884,5.00800686603659,0.000158515414840137,0.00147704476402869,0.542118747725761,0.574009285,24.19112286,0.008776585221
"31","Cadm2",0.394461481232852,14.2304713706353,3.02358163574086,0.00859495188002094,0.031323732979251,-3.46061210884677,0.7901523895,20.77355421,0.003449015847
"32","Camk2b",0.610895889254756,14.4288342647718,7.6127366285152,1.63351501538437e-06,4.29465959040329e-05,5.22919483202788,0.3838909299,21.42336399,0.02636667102
"33","Cap2",0.340324020497551,13.2398028070695,3.00708116297069,0.00888816262911307,0.0321149358554299,-3.49333051517271,0.4841328028,20.25384942,0.03749142669
"34","Caprin1",-0.2448733752436,18.1483422907609,-3.50270324099524,0.00322919739478049,0.0148550903775638,-2.49654093485331,-0.9482096955,21.87523865,0.00289217338
"35","Carns1",0.285768344864538,12.905446290297,3.17739515883185,0.0062820533346352,0.0247775543650604,-3.15375258222695,0.8887688275,18.04920748,0.008552599551
"36","Casp3",-0.668012813269934,15.1097728564542,-5.38304573141083,7.75419179808126e-05,0.000841329810091817,1.27168277230098,-0.8436640622,19.08201965,0.01138930887
"37","Cav1",0.716016555482398,19.3678550580788,3.61150544023286,0.00258471075609298,0.0124253592015482,-2.27518079475975,0.6242866104,23.32816476,0.02673498556
"38","Cavin2",0.504859290126131,16.3189133207431,2.92339855295422,0.0105332089354506,0.0366299092787304,-3.65857872122173,0.3608955179,22.39792309,0.02719578615
"39","Ces1c",0.482787345455847,14.2266431834994,3.2801372442857,0.00509230298519136,0.0210998587957056,-2.94718143029451,0.7612933009,24.48176617,0.006259132481
"40","Chd4",-0.262208942941829,15.3719064457586,-4.28486303664456,0.000659047608241208,0.00436777188882371,-0.903853732067757,-0.5293201084,19.43794574,0.01032605492
"41","Clic1",-0.7199799917801,19.1320678799548,-7.53670923442963,1.84291247908565e-06,4.72868928332957e-05,5.1054354823916,-0.2688139671,22.8825482,0.02572689812
"42","Cmbl",0.361140103851289,14.9344176595694,3.8482524598227,0.00159410765854733,0.00852623075117394,-1.79244425064137,0.57255131,21.92695962,0.002148182487
"43","Cntf",0.537084502370224,16.1660514833758,2.88820400476768,0.0113110160790211,0.0386620914132156,-3.72771195342974,0.45619294,23.92427982,0.01517322543
"44","Cntn1",-0.331228949195381,16.6626830886708,-4.44990037912848,0.000473824345948104,0.00336012689773656,-0.57019586493997,0.3404486898,22.76180872,0.03183957026
"45","Cntnap2",-0.416365850334341,15.5129792152123,-5.10306505852894,0.000132018490029275,0.00128384178203886,0.728542972828031,0.7109008251,20.19719431,0.002148182487
"46","Copg2",0.21048403669856,16.8421905863464,2.9665280899839,0.00965118821381187,0.0342847401702063,-3.57355766560101,-0.309612112,20.86772454,0.04559057375
"47","Cpne3",0.532456805287097,18.1760625787598,3.77691735186698,0.00184359263934527,0.00956426645889843,-1.93796846300264,-0.2660936394,22.10586624,0.04986568544
"48","Ctnna3",0.393030004396273,17.0790009569216,3.24726550286225,0.00544633886664807,0.0222511800388338,-3.01339294727633,0.4842467958,21.58809871,0.01225294627
"49","Ctnnal1",0.412454051454503,17.551275038476,5.18639077499564,0.000112565031212243,0.00113386128920025,0.891136147229917,0.4420791289,20.26923146,0.01261411331
"50","Ctnnd1",-0.33571453110649,16.9578890307432,-4.96490838376984,0.000172284103732842,0.00156706319503106,0.457276691869708,0.2775755746,22.90588242,0.04609145567
"51","Ctsc",-0.862343129735034,15.2113526981993,-9.57352886372195,9.27171053238348e-08,4.66348619161937e-06,8.16599578896483,-0.5051191312,19.92072676,0.02808902702
"52","Ctsz",-0.257851644547218,16.0788020068642,-3.61147581702895,0.0025848673520008,0.0124253592015482,-2.27524112660903,-0.3769295916,21.47676646,0.03086812681
"53","Dazap1",0.275609529109861,17.0361934712261,2.80218309744981,0.0134557204218599,0.044471800088784,-3.89567948122785,-0.5042971017,21.47131726,0.009565956206
"54","Ddi2",-0.468402932196721,15.6303273361985,-7.85882170047446,1.1111629089763e-06,3.21855794084548e-05,5.62448419481563,-0.4694901806,20.46460025,0.008378238712
"55","Ddx17",-0.346349730088896,17.4422989504125,-4.37508112192123,0.000550107355719216,0.00376402285287157,-0.721247111154104,-0.3516579293,21.01674514,0.0195509892
"56","Ddx21",-1.39425304056754,15.8991216146622,-18.9693038047047,7.46419629123221e-12,6.29895231465652e-09,17.5034399316066,-0.714689807,18.98469026,0.01472839862
"57","Ddx5",-0.793368287079659,17.6020367741545,-12.9830131034813,1.56611896384951e-09,2.70333489328115e-07,12.2917583950565,-0.5082368886,22.19226949,0.002744592217
"58","Dhrs1",-0.315437262021973,18.7342967767706,-2.90240551845602,0.0109906237083682,0.0378728790451887,-3.69984308234014,-0.3985039548,21.98667875,0.0450755905
"59","Dis3",-0.517123174163986,14.1535633130251,-5.70577317637033,4.25289524612559e-05,0.000533896518914444,1.88592845653616,-0.7444880999,18.18610462,0.01993013278
