"","gs","gene","symbol"
"ENSMUSG00000041482","C-LTMR","ENSMUSG00000041482","Piezo2"
"ENSMUSG00000046610","C-LTMR","ENSMUSG00000046610","Oacyl"
"ENSMUSG00000062526","C-LTMR","ENSMUSG00000062526","Mppe1"
"ENSMUSG00000024563","C-LTMR","ENSMUSG00000024563","Smad2"
"ENSMUSG00000033323","C-LTMR","ENSMUSG00000033323","Ctdp1"
"ENSMUSG00000041607","C-LTMR","ENSMUSG00000041607","Mbp"
"ENSMUSG00000041258","C-LTMR","ENSMUSG00000041258","Zfp236"
"ENSMUSG00000006464","C-LTMR","ENSMUSG00000006464","Bbs1"
"ENSMUSG00000024937","C-LTMR","ENSMUSG00000024937","Ehbp1l1"
"ENSMUSG00000024969","C-LTMR","ENSMUSG00000024969","Mark2"
"ENSMUSG00000071659","C-LTMR","ENSMUSG00000071659","Hnrnpul2"
"ENSMUSG00000069833","C-LTMR","ENSMUSG00000069833","Ahnak"
"ENSMUSG00000037418","C-LTMR","ENSMUSG00000037418","Best1"
"ENSMUSG00000024664","C-LTMR","ENSMUSG00000024664","Fads3"
"ENSMUSG00000090291","C-LTMR","ENSMUSG00000090291","Lrrc10b"
"ENSMUSG00000024754","C-LTMR","ENSMUSG00000024754","Cemip2"
"ENSMUSG00000025020","C-LTMR","ENSMUSG00000025020","Slit1"
"ENSMUSG00000003559","C-LTMR","ENSMUSG00000003559","As3mt"
"ENSMUSG00000025050","C-LTMR","ENSMUSG00000025050","Pcgf6"
"ENSMUSG00000024974","C-LTMR","ENSMUSG00000024974","Smc3"
"ENSMUSG00000025077","C-LTMR","ENSMUSG00000025077","Dclre1a"
"ENSMUSG00000025078","C-LTMR","ENSMUSG00000025078","Nhlrc2"
"ENSMUSG00000035283","C-LTMR","ENSMUSG00000035283","Adrb1"
"ENSMUSG00000040022","C-LTMR","ENSMUSG00000040022","Rab11fip2"
"ENSMUSG00000024993","C-LTMR","ENSMUSG00000024993","Dennd10"
