"","gs","gene","symbol"
"ENSMUSG00000020261","NP","ENSMUSG00000020261","Slc36a1"
"ENSMUSG00000020522","NP","ENSMUSG00000020522","Mfap3"
"ENSMUSG00000049154","NP","ENSMUSG00000049154","Cfap144"
"ENSMUSG00000036819","NP","ENSMUSG00000036819","Jmjd4"
"ENSMUSG00000018932","NP","ENSMUSG00000018932","Map2k3"
"ENSMUSG00000010025","NP","ENSMUSG00000010025","Aldh3a2"
"ENSMUSG00000001039","NP","ENSMUSG00000001039","B9d1"
"ENSMUSG00000018509","NP","ENSMUSG00000018509","Cenpv"
"ENSMUSG00000019505","NP","ENSMUSG00000019505","Ubb"
"ENSMUSG00000018507","NP","ENSMUSG00000018507","Trpv2"
"ENSMUSG00000086841","NP","ENSMUSG00000086841","2410006H16Rik"
"ENSMUSG00000047759","NP","ENSMUSG00000047759","Hs3st3a1"
"ENSMUSG00000072834","NP","ENSMUSG00000072834","Gm12298"
"ENSMUSG00000032807","NP","ENSMUSG00000032807","Alox12b"
"ENSMUSG00000086900","NP","ENSMUSG00000086900","Kcnab3os"
"ENSMUSG00000059796","NP","ENSMUSG00000059796","Eif4a1"
"ENSMUSG00000070394","NP","ENSMUSG00000070394","Tmem256"
"ENSMUSG00000019461","NP","ENSMUSG00000019461","Plscr3"
"ENSMUSG00000018565","NP","ENSMUSG00000018565","Elp5"
"ENSMUSG00000018572","NP","ENSMUSG00000018572","Phf23"
"ENSMUSG00000060216","NP","ENSMUSG00000060216","Arrb2"
"ENSMUSG00000020827","NP","ENSMUSG00000020827","Mink1"
"ENSMUSG00000018293","NP","ENSMUSG00000018293","Pfn1"
"ENSMUSG00000018449","NP","ENSMUSG00000018449","Rpain"
"ENSMUSG00000040483","NP","ENSMUSG00000040483","Xaf1"
"ENSMUSG00000038807","NP","ENSMUSG00000038807","Rap1gap2"
"ENSMUSG00000000282","NP","ENSMUSG00000000282","Mnt"
"ENSMUSG00000038268","NP","ENSMUSG00000038268","Ovca2"
"ENSMUSG00000078789","NP","ENSMUSG00000078789","Dph1"
"ENSMUSG00000069808","NP","ENSMUSG00000069808","Tlcd3a"
"ENSMUSG00000017631","NP","ENSMUSG00000017631","Abr"
"ENSMUSG00000037907","NP","ENSMUSG00000037907","Ankrd13b"
"ENSMUSG00000061981","NP","ENSMUSG00000061981","Flot2"
"ENSMUSG00000002064","NP","ENSMUSG00000002064","Sdf2"
"ENSMUSG00000002058","NP","ENSMUSG00000002058","Unc119"
"ENSMUSG00000051232","NP","ENSMUSG00000051232","Tmem199"
"ENSMUSG00000020707","NP","ENSMUSG00000020707","Rnf135"
"ENSMUSG00000020704","NP","ENSMUSG00000020704","Asic2"
"ENSMUSG00000020696","NP","ENSMUSG00000020696","Rffl"
"ENSMUSG00000034940","NP","ENSMUSG00000034940","Synrg"
"ENSMUSG00000018697","NP","ENSMUSG00000018697","Aatf"
"ENSMUSG00000018405","NP","ENSMUSG00000018405","Mrm1"
"ENSMUSG00000059439","NP","ENSMUSG00000059439","Bcas3"
"ENSMUSG00000083992","NP","ENSMUSG00000083992","Gm11478"
"ENSMUSG00000072582","NP","ENSMUSG00000072582","Ptrh2"
"ENSMUSG00000033983","NP","ENSMUSG00000033983","Coil"
"ENSMUSG00000000275","NP","ENSMUSG00000000275","Trim25"
"ENSMUSG00000020541","NP","ENSMUSG00000020541","Tom1l1"
"ENSMUSG00000020857","NP","ENSMUSG00000020857","Nme2"
"ENSMUSG00000086003","NP","ENSMUSG00000086003","B230206L02Rik"
"ENSMUSG00000024414","NP","ENSMUSG00000024414","Mrpl27"
"ENSMUSG00000020868","NP","ENSMUSG00000020868","Xylt2"
"ENSMUSG00000047181","NP","ENSMUSG00000047181","Samd14"
"ENSMUSG00000038909","NP","ENSMUSG00000038909","Kat7"
"ENSMUSG00000014349","NP","ENSMUSG00000014349","Ube2z"
"ENSMUSG00000048763","NP","ENSMUSG00000048763","Hoxb3"
"ENSMUSG00000020876","NP","ENSMUSG00000020876","Snx11"
"ENSMUSG00000070337","NP","ENSMUSG00000070337","Gpr179"
"ENSMUSG00000038485","NP","ENSMUSG00000038485","Socs7"
"ENSMUSG00000078695","NP","ENSMUSG00000078695","Cisd3"
"ENSMUSG00000018541","NP","ENSMUSG00000018541","Cwc25"
"ENSMUSG00000038352","NP","ENSMUSG00000038352","Arl5c"
"ENSMUSG00000002580","NP","ENSMUSG00000002580","Mien1"
"ENSMUSG00000017204","NP","ENSMUSG00000017204","Gsdma"
"ENSMUSG00000052915","NP","ENSMUSG00000052915","Msl1"
"ENSMUSG00000035530","NP","ENSMUSG00000035530","Eif1"
"ENSMUSG00000020917","NP","ENSMUSG00000020917","Acly"
"ENSMUSG00000017837","NP","ENSMUSG00000017837","Nkiras2"
"ENSMUSG00000004040","NP","ENSMUSG00000004040","Stat3"
"ENSMUSG00000006920","NP","ENSMUSG00000006920","Ezh1"
"ENSMUSG00000034947","NP","ENSMUSG00000034947","Tmem106a"
"ENSMUSG00000034936","NP","ENSMUSG00000034936","Arl4d"
"ENSMUSG00000034708","NP","ENSMUSG00000034708","Grn"
"ENSMUSG00000020925","NP","ENSMUSG00000020925","Ccdc43"
"ENSMUSG00000056938","NP","ENSMUSG00000056938","Acbd4"
"ENSMUSG00000044787","NP","ENSMUSG00000044787","Spata32"
"ENSMUSG00000034247","NP","ENSMUSG00000034247","Plekhm1"
"ENSMUSG00000040699","NP","ENSMUSG00000040699","Limd2"
"ENSMUSG00000050965","NP","ENSMUSG00000050965","Prkca"
"ENSMUSG00000000049","NP","ENSMUSG00000000049","Apoh"
"ENSMUSG00000020736","NP","ENSMUSG00000020736","Nt5c"
"ENSMUSG00000081376","NP","ENSMUSG00000081376","Gm11694"
"ENSMUSG00000020737","NP","ENSMUSG00000020737","Jpt1"
"ENSMUSG00000020739","NP","ENSMUSG00000020739","Nup85"
"ENSMUSG00000020740","NP","ENSMUSG00000020740","Gga3"
"ENSMUSG00000020743","NP","ENSMUSG00000020743","Mif4gd"
"ENSMUSG00000075420","NP","ENSMUSG00000075420","Smim6"
"ENSMUSG00000050628","NP","ENSMUSG00000050628","Ubald2"
"ENSMUSG00000017132","NP","ENSMUSG00000017132","Cyth1"
"ENSMUSG00000033880","NP","ENSMUSG00000033880","Lgals3bp"
"ENSMUSG00000025577","NP","ENSMUSG00000025577","Cbx2"
"ENSMUSG00000039963","NP","ENSMUSG00000039963","Ccdc40"
"ENSMUSG00000005043","NP","ENSMUSG00000005043","Sgsh"
"ENSMUSG00000049957","NP","ENSMUSG00000049957","Ccdc137"
"ENSMUSG00000025132","NP","ENSMUSG00000025132","Arhgdia"
"ENSMUSG00000025135","NP","ENSMUSG00000025135","Anapc11"
"ENSMUSG00000025137","NP","ENSMUSG00000025137","Pcyt2"
"ENSMUSG00000018012","NP","ENSMUSG00000018012","Rac3"
"ENSMUSG00000025153","NP","ENSMUSG00000025153","Fasn"
"ENSMUSG00000039294","NP","ENSMUSG00000039294","Cybc1"
"ENSMUSG00000058258","NP","ENSMUSG00000058258","Idi1"
"ENSMUSG00000094185","NP","ENSMUSG00000094185","Gm5445"
"ENSMUSG00000003062","NP","ENSMUSG00000003062","Stard3nl"
"ENSMUSG00000021326","NP","ENSMUSG00000021326","Trim27"
"ENSMUSG00000038732","NP","ENSMUSG00000038732","Mboat1"
"ENSMUSG00000049115","NP","ENSMUSG00000049115","Agtr1a"
"ENSMUSG00000069255","NP","ENSMUSG00000069255","Dusp22"
"ENSMUSG00000052180","NP","ENSMUSG00000052180","Serpinb6c"
"ENSMUSG00000060147","NP","ENSMUSG00000060147","Serpinb6a"
"ENSMUSG00000021418","NP","ENSMUSG00000021418","Rpp40"
"ENSMUSG00000046573","NP","ENSMUSG00000046573","Lyrm4"
"ENSMUSG00000039114","NP","ENSMUSG00000039114","Nrn1"
"ENSMUSG00000021423","NP","ENSMUSG00000021423","Ly86"
"ENSMUSG00000001707","NP","ENSMUSG00000001707","Eef1e1"
"ENSMUSG00000021432","NP","ENSMUSG00000021432","Slc35b3"
"ENSMUSG00000054728","NP","ENSMUSG00000054728","Phactr1"
"ENSMUSG00000044164","NP","ENSMUSG00000044164","Rnf182"
"ENSMUSG00000057531","NP","ENSMUSG00000057531","Dtnbp1"
"ENSMUSG00000051606","NP","ENSMUSG00000051606","2010001K21Rik"
"ENSMUSG00000051107","NP","ENSMUSG00000051107",NA
"ENSMUSG00000021464","NP","ENSMUSG00000021464","Ror2"
"ENSMUSG00000021468","NP","ENSMUSG00000021468","Sptlc1"
"ENSMUSG00000021478","NP","ENSMUSG00000021478","Drd1"
"ENSMUSG00000025873","NP","ENSMUSG00000025873","Faf2"
"ENSMUSG00000034928","NP","ENSMUSG00000034928","Rnf44"
"ENSMUSG00000025875","NP","ENSMUSG00000025875","Tspan17"
"ENSMUSG00000052087","NP","ENSMUSG00000052087","Rgs14"
"ENSMUSG00000021504","NP","ENSMUSG00000021504","B4galt7"
"ENSMUSG00000021501","NP","ENSMUSG00000021501","Caml"
"ENSMUSG00000021477","NP","ENSMUSG00000021477","Ctsl"
"ENSMUSG00000021483","NP","ENSMUSG00000021483","Cdk20"
"ENSMUSG00000052981","NP","ENSMUSG00000052981","Ube2ql1"
"ENSMUSG00000021607","NP","ENSMUSG00000021607","Mrpl36"
"ENSMUSG00000062382","NP","ENSMUSG00000062382","Ftl1-ps1"
"ENSMUSG00000074800","NP","ENSMUSG00000074800","Gm4149"
"ENSMUSG00000021615","NP","ENSMUSG00000021615","Xrcc4"
"ENSMUSG00000021703","NP","ENSMUSG00000021703","Serinc5"
"ENSMUSG00000042082","NP","ENSMUSG00000042082","Arsb"
"ENSMUSG00000042043","NP","ENSMUSG00000042043","Tbca"
"ENSMUSG00000098220","NP","ENSMUSG00000098220",NA
"ENSMUSG00000021661","NP","ENSMUSG00000021661","Ankra2"
"ENSMUSG00000021660","NP","ENSMUSG00000021660","Btf3"
"ENSMUSG00000062461","NP","ENSMUSG00000062461","Rpl27a-ps4"
"ENSMUSG00000021643","NP","ENSMUSG00000021643","Serf1"
"ENSMUSG00000052293","NP","ENSMUSG00000052293","Taf9"
"ENSMUSG00000032846","NP","ENSMUSG00000032846","Zswim6"
"ENSMUSG00000021756","NP","ENSMUSG00000021756","Il6st"
"ENSMUSG00000047789","NP","ENSMUSG00000047789","Slc38a9"
"ENSMUSG00000042348","NP","ENSMUSG00000042348","Arl15"
"ENSMUSG00000062822","NP","ENSMUSG00000062822","4833420G17Rik"
"ENSMUSG00000020652","NP","ENSMUSG00000020652","Cenpo"
"ENSMUSG00000096199","NP","ENSMUSG00000096199","Ptrhd1"
"ENSMUSG00000020627","NP","ENSMUSG00000020627","Klhl29"
"ENSMUSG00000037735","NP","ENSMUSG00000037735","2810032G03Rik"
"ENSMUSG00000037669","NP","ENSMUSG00000037669","Ldah"
"ENSMUSG00000020605","NP","ENSMUSG00000020605","Hs1bp3"
"ENSMUSG00000020592","NP","ENSMUSG00000020592","Sdc1"
"ENSMUSG00000037169","NP","ENSMUSG00000037169","Mycn"
"ENSMUSG00000045679","NP","ENSMUSG00000045679","Slc66a3"
"ENSMUSG00000020642","NP","ENSMUSG00000020642","Rnf144a"
"ENSMUSG00000061477","NP","ENSMUSG00000061477","Rps7"
"ENSMUSG00000043061","NP","ENSMUSG00000043061","Tmem18"
"ENSMUSG00000002997","NP","ENSMUSG00000002997","Prkar2b"
"ENSMUSG00000035954","NP","ENSMUSG00000035954","Dock4"
"ENSMUSG00000002688","NP","ENSMUSG00000002688","Prkd1"
"ENSMUSG00000035142","NP","ENSMUSG00000035142","Nubpl"
"ENSMUSG00000054302","NP","ENSMUSG00000054302","Eapp"
"ENSMUSG00000045440","NP","ENSMUSG00000045440","Insm2"
"ENSMUSG00000020993","NP","ENSMUSG00000020993","Trappc6b"
"ENSMUSG00000034761","NP","ENSMUSG00000034761","Map4k5"
"ENSMUSG00000021068","NP","ENSMUSG00000021068","Nin"
"ENSMUSG00000060073","NP","ENSMUSG00000060073","Psma3"
"ENSMUSG00000043398","NP","ENSMUSG00000043398","Gpr135"
"ENSMUSG00000005078","NP","ENSMUSG00000005078","Jkamp"
"ENSMUSG00000021109","NP","ENSMUSG00000021109","Hif1a"
"ENSMUSG00000021055","NP","ENSMUSG00000021055","Esr2"
"ENSMUSG00000021118","NP","ENSMUSG00000021118","Plek2"
"ENSMUSG00000021124","NP","ENSMUSG00000021124","Vti1b"
"ENSMUSG00000066441","NP","ENSMUSG00000066441","Rdh11"
"ENSMUSG00000002679","NP","ENSMUSG00000002679","Med6"
"ENSMUSG00000021222","NP","ENSMUSG00000021222","Dcaf4"
"ENSMUSG00000021240","NP","ENSMUSG00000021240","Abcd4"
"ENSMUSG00000021243","NP","ENSMUSG00000021243","Fcf1"
"ENSMUSG00000021248","NP","ENSMUSG00000021248","Tmed10"
"ENSMUSG00000021252","NP","ENSMUSG00000021252","Erg28"
"ENSMUSG00000034145","NP","ENSMUSG00000034145","Tmem63c"
"ENSMUSG00000020961","NP","ENSMUSG00000020961","Ston2"
"ENSMUSG00000090722","NP","ENSMUSG00000090722","Gm8378"
"ENSMUSG00000066389","NP","ENSMUSG00000066389","Rpl31-ps1"
"ENSMUSG00000064215","NP","ENSMUSG00000064215","Ifi27"
"ENSMUSG00000079017","NP","ENSMUSG00000079017","Ifi27l2a"
"ENSMUSG00000063232","NP","ENSMUSG00000063232","Serpina11"
"ENSMUSG00000058070","NP","ENSMUSG00000058070","Eml1"
"ENSMUSG00000060950","NP","ENSMUSG00000060950","Trmt61a"
"ENSMUSG00000064326","NP","ENSMUSG00000064326","Siva1"
"ENSMUSG00000037638","NP","ENSMUSG00000037638","Zbtb42"
"ENSMUSG00000021143","NP","ENSMUSG00000021143","Pacs2"
"ENSMUSG00000022155","NP","ENSMUSG00000022155","Mroh2b"
"ENSMUSG00000041841","NP","ENSMUSG00000041841","Rpl37"
"ENSMUSG00000054263","NP","ENSMUSG00000054263","Lifr"
"ENSMUSG00000072663","NP","ENSMUSG00000072663","Spef2"
"ENSMUSG00000022205","NP","ENSMUSG00000022205","Sub1"
"ENSMUSG00000045763","NP","ENSMUSG00000045763","Basp1"
"ENSMUSG00000046034","NP","ENSMUSG00000046034","Otulin"
"ENSMUSG00000085442","NP","ENSMUSG00000085442","Gm3362"
"ENSMUSG00000037465","NP","ENSMUSG00000037465","Klf10"
"ENSMUSG00000022295","NP","ENSMUSG00000022295","Atp6v1c1"
"ENSMUSG00000022300","NP","ENSMUSG00000022300","Dcaf13"
"ENSMUSG00000022304","NP","ENSMUSG00000022304","Dpys"
"ENSMUSG00000051920","NP","ENSMUSG00000051920","Rspo2"
"ENSMUSG00000022312","NP","ENSMUSG00000022312","Eif3h"
"ENSMUSG00000022313","NP","ENSMUSG00000022313","Utp23"
"ENSMUSG00000038622","NP","ENSMUSG00000038622","Med30"
"ENSMUSG00000058656","NP","ENSMUSG00000058656","Samd12"
"ENSMUSG00000024479","NP","ENSMUSG00000024479","Mal2"
"ENSMUSG00000022366","NP","ENSMUSG00000022366","Slc22a22"
"ENSMUSG00000022365","NP","ENSMUSG00000022365","Derl1"
"ENSMUSG00000022353","NP","ENSMUSG00000022353","Mtss1"
"ENSMUSG00000022351","NP","ENSMUSG00000022351","Sqle"
"ENSMUSG00000047921","NP","ENSMUSG00000047921","Trappc9"
"ENSMUSG00000046761","NP","ENSMUSG00000046761","Fam83h"
"ENSMUSG00000062381","NP","ENSMUSG00000062381",NA
"ENSMUSG00000003970","NP","ENSMUSG00000003970","Rpl8"
"ENSMUSG00000022443","NP","ENSMUSG00000022443","Myh9"
"ENSMUSG00000016554","NP","ENSMUSG00000016554","Eif3d"
"ENSMUSG00000033128","NP","ENSMUSG00000033128","Gga1"
"ENSMUSG00000033055","NP","ENSMUSG00000033055","Ankrd54"
"ENSMUSG00000033047","NP","ENSMUSG00000033047","Eif3l"
"ENSMUSG00000022433","NP","ENSMUSG00000022433","Csnk1e"
"ENSMUSG00000022426","NP","ENSMUSG00000022426","Josd1"
"ENSMUSG00000060036","NP","ENSMUSG00000060036","Rpl3"
"ENSMUSG00000042428","NP","ENSMUSG00000042428","Mgat3"
"ENSMUSG00000042406","NP","ENSMUSG00000042406","Atf4"
"ENSMUSG00000022474","NP","ENSMUSG00000022474","Pmm1"
"ENSMUSG00000063480","NP","ENSMUSG00000063480","Snu13"
"ENSMUSG00000068117","NP","ENSMUSG00000068117","Mei1"
"ENSMUSG00000022463","NP","ENSMUSG00000022463","Srebf2"
"ENSMUSG00000041736","NP","ENSMUSG00000041736","Tspo"
"ENSMUSG00000041653","NP","ENSMUSG00000041653","Pnpla3"
"ENSMUSG00000055745","NP","ENSMUSG00000055745","Rtl6"
"ENSMUSG00000035805","NP","ENSMUSG00000035805","Mlc1"
"ENSMUSG00000015363","NP","ENSMUSG00000015363","Trabd"
"ENSMUSG00000067870","NP","ENSMUSG00000067870","Rpl31-ps8"
"ENSMUSG00000023755","NP","ENSMUSG00000023755","Rhebl1"
"ENSMUSG00000022999","NP","ENSMUSG00000022999","Lmbr1l"
"ENSMUSG00000037525","NP","ENSMUSG00000037525","Bcdin3d"
"ENSMUSG00000023026","NP","ENSMUSG00000023026","Dip2b"
"ENSMUSG00000037353","NP","ENSMUSG00000037353","Letmd1"
"ENSMUSG00000000346","NP","ENSMUSG00000000346","Dazap2"
"ENSMUSG00000051879","NP","ENSMUSG00000051879","Krt71"
"ENSMUSG00000001281","NP","ENSMUSG00000001281","Itgb7"
"ENSMUSG00000023048","NP","ENSMUSG00000023048","Prr13"
"ENSMUSG00000036305","NP","ENSMUSG00000036305","Rpl39-ps"
"ENSMUSG00000022490","NP","ENSMUSG00000022490","Ppp1r1a"
"ENSMUSG00000022529","NP","ENSMUSG00000022529","Zfp263"
"ENSMUSG00000039637","NP","ENSMUSG00000039637","Coro7"
"ENSMUSG00000039568","NP","ENSMUSG00000039568","Ubald1"
"ENSMUSG00000097397","NP","ENSMUSG00000097397","Gm16861"
"ENSMUSG00000022516","NP","ENSMUSG00000022516","Nudt16l1"
"ENSMUSG00000057880","NP","ENSMUSG00000057880","Abat"
"ENSMUSG00000022711","NP","ENSMUSG00000022711","Pmm2"
"ENSMUSG00000008393","NP","ENSMUSG00000008393","Carhsp1"
"ENSMUSG00000022710","NP","ENSMUSG00000022710","Usp7"
"ENSMUSG00000022503","NP","ENSMUSG00000022503","Nubp1"
"ENSMUSG00000022498","NP","ENSMUSG00000022498","Txndc11"
"ENSMUSG00000065979","NP","ENSMUSG00000065979","Cpped1"
"ENSMUSG00000022682","NP","ENSMUSG00000022682","Rrn3"
"ENSMUSG00000022679","NP","ENSMUSG00000022679","Mpv17l"
"ENSMUSG00000044117","NP","ENSMUSG00000044117","Bmerb1"
"ENSMUSG00000022671","NP","ENSMUSG00000022671","Mzt2"
"ENSMUSG00000022773","NP","ENSMUSG00000022773","Ypel1"
"ENSMUSG00000022769","NP","ENSMUSG00000022769","Sdf2l1"
"ENSMUSG00000041774","NP","ENSMUSG00000041774","Ydjc"
"ENSMUSG00000022765","NP","ENSMUSG00000022765","Snap29"
"ENSMUSG00000003166","NP","ENSMUSG00000003166","Dgcr2"
"ENSMUSG00000003528","NP","ENSMUSG00000003528","Slc25a1"
"ENSMUSG00000060166","NP","ENSMUSG00000060166","Zdhhc8"
"ENSMUSG00000050761","NP","ENSMUSG00000050761","Gp1bb"
"ENSMUSG00000022702","NP","ENSMUSG00000022702","Hira"
"ENSMUSG00000022884","NP","ENSMUSG00000022884","Eif4a2"
"ENSMUSG00000068463","NP","ENSMUSG00000068463","B630019A10Rik"
"ENSMUSG00000048399","NP","ENSMUSG00000048399","Tprg1"
"ENSMUSG00000038127","NP","ENSMUSG00000038127","Ccdc50"
"ENSMUSG00000051065","NP","ENSMUSG00000051065","Mb21d2"
"ENSMUSG00000097621","NP","ENSMUSG00000097621","Gm26562"
"ENSMUSG00000052316","NP","ENSMUSG00000052316","Lrrc15"
"ENSMUSG00000047714","NP","ENSMUSG00000047714","Ppp1r2"
"ENSMUSG00000022774","NP","ENSMUSG00000022774","Ncbp2"
"ENSMUSG00000014074","NP","ENSMUSG00000014074","Rnf168"
"ENSMUSG00000014075","NP","ENSMUSG00000014075","Dynlt2b"
"ENSMUSG00000060636","NP","ENSMUSG00000060636","Rpl35a"
"ENSMUSG00000022808","NP","ENSMUSG00000022808","Snx4"
"ENSMUSG00000022848","NP","ENSMUSG00000022848","Slc49a4"
"ENSMUSG00000002844","NP","ENSMUSG00000002844","Adprh"
"ENSMUSG00000032965","NP","ENSMUSG00000032965","Ift57"
"ENSMUSG00000055447","NP","ENSMUSG00000055447","Cd47"
"ENSMUSG00000022639","NP","ENSMUSG00000022639","Dubr"
"ENSMUSG00000081453","NP","ENSMUSG00000081453","Gm6767"
"ENSMUSG00000055789","NP","ENSMUSG00000055789","Ftdc2"
"ENSMUSG00000022707","NP","ENSMUSG00000022707","Gbe1"
"ENSMUSG00000032940","NP","ENSMUSG00000032940","Rbm11"
"ENSMUSG00000022935","NP","ENSMUSG00000022935","Grik1"
"ENSMUSG00000022969","NP","ENSMUSG00000022969","Il10rb"
"ENSMUSG00000022964","NP","ENSMUSG00000022964","Tmem50b"
"ENSMUSG00000039680","NP","ENSMUSG00000039680","Mrps6"
"ENSMUSG00000022952","NP","ENSMUSG00000022952","Runx1"
"ENSMUSG00000051483","NP","ENSMUSG00000051483","Cbr1"
"ENSMUSG00000022947","NP","ENSMUSG00000022947","Cbr3"
"ENSMUSG00000097768","NP","ENSMUSG00000097768","2310043M15Rik"
"ENSMUSG00000022913","NP","ENSMUSG00000022913","Psmg1"
"ENSMUSG00000034345","NP","ENSMUSG00000034345","Gtf2h5"
"ENSMUSG00000023868","NP","ENSMUSG00000023868","Pde10a"
"ENSMUSG00000023827","NP","ENSMUSG00000023827","Agpat4"
"ENSMUSG00000023832","NP","ENSMUSG00000023832","Acat2"
"ENSMUSG00000067928","NP","ENSMUSG00000067928","Zfp760"
"ENSMUSG00000023908","NP","ENSMUSG00000023908","Pkmyt1"
"ENSMUSG00000016946","NP","ENSMUSG00000016946","Kctd5"
"ENSMUSG00000002504","NP","ENSMUSG00000002504","Nherf2"
"ENSMUSG00000071230","NP","ENSMUSG00000071230","Npw"
"ENSMUSG00000024158","NP","ENSMUSG00000024158","Hagh"
"ENSMUSG00000024169","NP","ENSMUSG00000024169","Ift140"
"ENSMUSG00000036636","NP","ENSMUSG00000036636","Clcn7"
"ENSMUSG00000035521","NP","ENSMUSG00000035521","Gnptg"
"ENSMUSG00000041199","NP","ENSMUSG00000041199","Rpusd1"
"ENSMUSG00000015575","NP","ENSMUSG00000015575","Atp6v0e"
"ENSMUSG00000062753","NP","ENSMUSG00000062753","Smim29"
"ENSMUSG00000052146","NP","ENSMUSG00000052146","Rps10"
"ENSMUSG00000037805","NP","ENSMUSG00000037805","Rpl10a"
"ENSMUSG00000004865","NP","ENSMUSG00000004865","Srpk1"
"ENSMUSG00000053436","NP","ENSMUSG00000053436","Mapk14"
"ENSMUSG00000005936","NP","ENSMUSG00000005936","Kctd20"
"ENSMUSG00000024011","NP","ENSMUSG00000024011","Pi16"
"ENSMUSG00000044477","NP","ENSMUSG00000044477","Zfand3"
"ENSMUSG00000024033","NP","ENSMUSG00000024033","Rsph1"
"ENSMUSG00000024050","NP","ENSMUSG00000024050","Wiz"
"ENSMUSG00000073423","NP","ENSMUSG00000073423","Zfp414"
"ENSMUSG00000079557","NP","ENSMUSG00000079557","Marchf2"
"ENSMUSG00000096727","NP","ENSMUSG00000096727","Psmb9"
"ENSMUSG00000024338","NP","ENSMUSG00000024338","Psmb8"
"ENSMUSG00000024369","NP","ENSMUSG00000024369","Nelfe"
"ENSMUSG00000092203","NP","ENSMUSG00000092203","1110038B12Rik"
"ENSMUSG00000007041","NP","ENSMUSG00000007041","Clic1"
"ENSMUSG00000073412","NP","ENSMUSG00000073412","Lst1"
"ENSMUSG00000003541","NP","ENSMUSG00000003541","Ier3"
"ENSMUSG00000059714","NP","ENSMUSG00000059714","Flot1"
"ENSMUSG00000001525","NP","ENSMUSG00000001525","Tubb5"
"ENSMUSG00000067212","NP","ENSMUSG00000067212","H2-T23"
"ENSMUSG00000023083","NP","ENSMUSG00000023083","H2-M10.2"
"ENSMUSG00000073399","NP","ENSMUSG00000073399","Trim40"
"ENSMUSG00000036492","NP","ENSMUSG00000036492","Rnf39"
"ENSMUSG00000036398","NP","ENSMUSG00000036398","Ppp1r11"
"ENSMUSG00000024462","NP","ENSMUSG00000024462","Gabbr1"
"ENSMUSG00000016206","NP","ENSMUSG00000016206","H2-M3"
"ENSMUSG00000054951","NP","ENSMUSG00000054951","9130008F23Rik"
"ENSMUSG00000096847","NP","ENSMUSG00000096847","Tmem151b"
"ENSMUSG00000023944","NP","ENSMUSG00000023944","Hsp90ab1"
"ENSMUSG00000079471","NP","ENSMUSG00000079471","Mymx"
"ENSMUSG00000023968","NP","ENSMUSG00000023968","Crip3"
"ENSMUSG00000091742","NP","ENSMUSG00000091742","Gm5093"
"ENSMUSG00000003546","NP","ENSMUSG00000003546","Klc4"
"ENSMUSG00000002768","NP","ENSMUSG00000002768","Mea1"
"ENSMUSG00000036430","NP","ENSMUSG00000036430","Tbcc"
"ENSMUSG00000092558","NP","ENSMUSG00000092558","Med20"
"ENSMUSG00000023984","NP","ENSMUSG00000023984","Gm20517"
"ENSMUSG00000090115","NP","ENSMUSG00000090115","Usp49"
"ENSMUSG00000010592","NP","ENSMUSG00000010592","Dazl"
"ENSMUSG00000024172","NP","ENSMUSG00000024172","St6gal2"
"ENSMUSG00000097095","NP","ENSMUSG00000097095",NA
"ENSMUSG00000003206","NP","ENSMUSG00000003206","Ebi3"
"ENSMUSG00000054723","NP","ENSMUSG00000054723","Vmac"
"ENSMUSG00000024212","NP","ENSMUSG00000024212","Mllt1"
"ENSMUSG00000005823","NP","ENSMUSG00000005823","Gpr108"
"ENSMUSG00000024096","NP","ENSMUSG00000024096","Ralbp1"
"ENSMUSG00000033278","NP","ENSMUSG00000033278","Ptprm"
"ENSMUSG00000024043","NP","ENSMUSG00000024043","Arhgap28"
"ENSMUSG00000034868","NP","ENSMUSG00000034868","Myl12b"
"ENSMUSG00000055471","NP","ENSMUSG00000055471","Alk"
"ENSMUSG00000054469","NP","ENSMUSG00000054469","Lclat1"
"ENSMUSG00000062691","NP","ENSMUSG00000062691","Cebpzos"
"ENSMUSG00000024097","NP","ENSMUSG00000024097","Srsf7"
"ENSMUSG00000045053","NP","ENSMUSG00000045053","Kcng3"
"ENSMUSG00000024150","NP","ENSMUSG00000024150","Mcfd2"
"ENSMUSG00000024151","NP","ENSMUSG00000024151","Msh2"
"ENSMUSG00000050138","NP","ENSMUSG00000050138","Kcnk12"
"ENSMUSG00000024231","NP","ENSMUSG00000024231","Cul2"
"ENSMUSG00000024424","NP","ENSMUSG00000024424","Ttc39c"
"ENSMUSG00000024423","NP","ENSMUSG00000024423","Impact"
"ENSMUSG00000061808","NP","ENSMUSG00000061808","Ttr"
"ENSMUSG00000091449","NP","ENSMUSG00000091449","Gm10269"
"ENSMUSG00000024261","NP","ENSMUSG00000024261","Syt4"
"ENSMUSG00000024258","NP","ENSMUSG00000024258","Polr2d"
"ENSMUSG00000084824","NP","ENSMUSG00000084824","Gm16344"
"ENSMUSG00000038299","NP","ENSMUSG00000038299","Wdr36"
"ENSMUSG00000034300","NP","ENSMUSG00000034300","Fam53c"
"ENSMUSG00000060275","NP","ENSMUSG00000060275","Nrg2"
"ENSMUSG00000046727","NP","ENSMUSG00000046727","Cystm1"
"ENSMUSG00000006050","NP","ENSMUSG00000006050","Sra1"
"ENSMUSG00000001383","NP","ENSMUSG00000001383","Zmat2"
"ENSMUSG00000073590","NP","ENSMUSG00000073590","3222401L13Rik"
