"","X881_dLSC_f1_5.27.2024.d","X882_dLSC_m1_5.27.2024.d","X883_dLSC_m2_5.27.2024.d","X884_dLSC_f3_5.27.2024.d","X885_dLSC_f2_5.27.2024.d","X886_dLSC_m3_5.27.2024.d","X889_LDRG_898_5.28.2024.d","X890_LDRG_1248_5.28.2024.d","X891_LDRG_1095_5.28.2024.d","X892_LDRG_1236_5.28.2024.d","X893_LDRG_1094_5.28.2024.d","X894_LDRG_1249_5.28.2024.d","X896_paw_pool_5.28.2024.d","X897_paw_f_5.28.2024.d","X898_paw_m_5.28.2024.d","X901_SCN_IIa2_5.28.2024.d","X902_SCN_IIa3_5.28.2024.d","X903_SCN_IIb2_5.28.2024.d","X904_SCN_IIb3_5.28.2024.d","X905_SCN_IIa4_5.28.2024.d","X906_SCN_IIb1_5.28.2024.d","GeneID"
"Anp32b",15.852405264233,15.9602452676554,15.7884398481881,15.8922796884035,15.8424046681395,15.8060391551582,17.2421431777003,17.4835053364926,17.7445573233528,17.5351400158371,17.4020992555821,17.5431638426879,18.2509170883641,18.2134285085123,18.1493704975558,16.7398013285919,16.716832556589,16.7351483825012,16.7698317794534,16.7938641861676,16.725579828912,"Anp32b"
"Anp32e",15.9146639548488,16.0276585249474,15.7324569419973,15.808646903187,15.747271731374,16.047758235032,16.8507143962881,16.435673606605,15.5729705075609,16.4933994226679,16.6988239261501,16.6954648079089,16.710166736191,16.771283119641,16.7253820412808,15.8376061321995,15.8058980932471,15.7702098024624,15.7716190949951,15.9212748215214,15.7054588175218,"Anp32e"
"Anpep",15.2111701096983,15.1826837169656,15.1005951935713,15.1168820332498,15.0755393011965,15.1016877919962,16.5732448381533,16.8057106303421,16.9162560477552,16.5563290410995,16.720197402809,16.8352179806361,19.1994489320656,19.3650221460257,19.1815453490647,18.5105744077298,18.5294474156374,18.466995481523,18.3576334502958,18.5599225150642,18.484224857377,"Anpep"
"Antkmt",14.0703670841587,14.092509793136,14.3097168824394,13.998541269039,14.0166984616537,14.3192011185786,14.3959525714743,15.2024060448741,14.933666364126,14.7450418493964,14.6744395634193,14.8581287302039,12.9134429614903,NA,12.6323023009487,NA,NA,NA,NA,NA,NA,"Antkmt"
"Antxr1",12.9671696807687,12.8140948991964,12.7504800294298,12.7280564919098,12.9090222158201,13.0317939185014,13.2252035154773,NA,13.0044322614413,12.6455712971207,12.4303108200406,13.0193633904239,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Antxr1"
"Antxr2",12.6343641084279,12.6599484643884,12.8628504144018,12.7569577401412,12.8150970501725,12.7606368325328,14.9941946662519,14.8769828551094,14.6907633142628,14.8755329981245,14.8566043360541,14.8655882489372,14.4722397609164,14.4991838851721,14.455727806698,15.5090639712758,15.3918910173551,15.326429688667,15.1609704370062,15.4500288664566,15.2010420714445,"Antxr2"
"Anxa1",14.1878064134703,14.3379477091364,14.3688116425761,14.3220922188811,14.251933118058,14.4404358042535,16.8457028548194,16.7523593248262,16.9001875977116,16.6341260228177,16.6828163460295,16.9733293920164,20.971671148242,20.8241203077595,20.9947231871245,19.3439770362081,19.2849049200084,19.3424325514577,19.3524650516876,19.3187318511708,19.1664890196463,"Anxa1"
"Anxa1;Arid1a",12.3372065377977,12.5706645246165,NA,12.3440628383531,12.3163635650143,12.941075124422,14.2919332953928,15.3237444086824,14.0110699763155,13.2023733346084,14.0572556387363,14.5370484903774,18.2670975590103,18.5881253464625,18.5437719543587,16.1175071524662,NA,16.3605247731459,NA,16.543557505588,NA,"Anxa1;Arid1a"
"Anxa10",14.6380455461026,14.7743134946435,14.9528640748478,NA,14.5313449052802,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Anxa10"
"Anxa11",15.9190956381886,16.0548218425669,15.8999521042152,15.9190580871503,15.9581918905253,15.9647295212928,17.3124161030135,17.2751154285441,17.1323062862783,17.1614993631339,17.2983952761417,17.2694335653726,17.8591257686716,17.4908565944984,17.8523280201974,17.5872454779036,17.7896407109258,17.5073075880369,17.6836326530231,17.5695284132873,17.5734584478401,"Anxa11"
