"","Gene","Condition","Type"
"280","Parva","Ox","B"
"281","Ctnnd1","Ox","B"
"282","Dock7","Ox","B"
"283","Rplp2","Ox","B"
"284","Hcfc1","Ox","B"
"285","Bcas3","Ox","B"
"286","Edc3","Ox","B"
"287","Cpsf6","Ox","B"
"288","Numb","Ox","B"
"289","Eno1","Ox","B"
"290","Rap1gap","Ox","B"
"291","Abr","Ox","B"
"292","Ampd3","Ox","B"
"293","Jpt2","Ox","B"
"294","Atp8a1","Ox","B"
"295","Commd10","Ox","B"
"296","Pkm","Ox","B"
"297","Fasn","Ox","B"
"298","Ppa2","Ox","B"
"299","Mre11","Ox","B"
"300","Mdh2","Ox","B"
"301","Slc25a5","Ox","B"
"302","Hnrnpc","Ox","B"
"303","As3mt","Ox","B"
"304","Eef1a1","Ox","B"
"305","Nck1","Ox","B"
"306","Acbd5","Ox","B"
"307","Fundc2","Ox","B"
"308","S100a11","Ox","B"
"309","Sh3gl1","Ox","B"
"310","Sdha","Ox","B"
"311","Cd44","Ox","B"
"312","Ampd2","Ox","B"
"313","Ckb","Ox","B"
"314","Prdx2","Ox","B"
"315","Chd4","Ox","B"
"316","Ywhae","Ox","B"
"317","Acss2","Ox","B"
"318","Mpz","Ox","B"
"319","Efnb1","Ox","B"
"320","Gapvd1","Ox","B"
"321","Arl3","Ox","B"
"322","Cs","Ox","B"
"323","Cdc42ep4","Ox","B"
"324","Ywhaq","Ox","B"
"325","Pkn2","Ox","B"
"326","Tomm20","Ox","B"
"327","Eef2","Ox","B"
"328","Nebl","Ox","B"
"329","Gstm5","Ox","B"
"330","Acin1","Ox","B"
"331","Hspd1","Ox","B"
"332","Bsg","Ox","B"
"333","Sucla2","Ox","B"
"334","Tubb5","Ox","B"
"335","Ndrg1","Ox","B"
"336","Septin7","Ox","B"
"337","Rnf121","Ox","B"
"338","Acaa2","Ox","B"
"339","Msn","Ox","B"
"340","IntS13","Ox","B"
"341","Ahcy","Ox","B"
"342","Sugp2","Ox","B"
"343","Hadhb","Ox","B"
"344","Pak2","Ox","B"
"345","Dbi","Ox","B"
"346","Nudt9","Ox","B"
"347","Atp1a2","Ox","B"
"348","Pag1","Ox","B"
