"","Ox_f_T_Slot2-16_1_3811","Ox_m_T1_Slot2-13_1_3813","Ox_m_T2_Slot2-14_1_3820","Ox_m_T3_Slot2-15_1_3816"
"Znf622",18439.8168639659,17405.1439864094,17469.9710527493,20008.5965766711
"Lsm12",246697.214905294,254404.999997319,243101.999997438,207671.424205531
"Hacd3",23782.9,26715.6,22795.6,22498.8
"Eif3h",76436.7507889285,72734.9155717806,76600.1785303074,61031.5090590147
"Ccdc9",9397.49,11592.7,10274.4,10208.1
"Snca;Sncb",1140275.80675029,1346199.60517647,1398612.23875765,1240122.62009995
"Mb21d2",9193.84398021205,11348.8190621439,11727.9860032913,9175.87191216032
"Ist1",202741.024375478,200709.305414354,239811.302862937,195849.294806118
"Peak1",NA,8344.71003456119,7543.71887289375,8841.57099765468
"H3-3a;H3-5;H3c1;H3c2",159293.62405925,173085.697043745,140902.735986556,131647.043313986
"Reep1",114486.470629208,121873.613885807,126185.082293653,125861.668355032
"Rsrc1",11852.4,10435.9,6443.3,7832.76
"Dynlrb1",26344.4,40122.8,43898.3,41282.4
"Htatsf1",14456.09999988,16279.6999998649,17866.4999998517,17058.0999998584
"Kif3a",17532.8476710219,13124.6138295257,16537.136706437,12166.1290609035
"Ahcyl1",54460.1148368642,78444.4128497649,85549.8344369252,73740.5188975886
"Nedd8",14672.4,16649.3,16410.1,14713.3
"Tmem30a",6390.38,8375.13,5880.54,3237.17
"Impa1",49261.7298874863,48921.119023217,58890.712534463,53080.0301817089
"Mapre2",111772.352910163,144055.003957482,124886.327595886,144383.353967572
"Gas2",12257.061187172,10093.0657081561,11683.7015405635,16257.9580658311
"Rps7",55750.9638034277,48282.1261562676,54020.1300601239,47656.3383061995
"Stxbp6",15493.4,13898.3,17258.3,13237
"Gfpt1",15537.183738392,14829.3808410792,19255.3280401714,16576.0383403388
"Bloc1s1",13096.9,14361,17987.4,16472.5
"Abi1;Abi2",63480.8948015803,60216.2286752593,54927.1406391965,56881.8268144707
"Dennd10",10119.7099645025,9770.37365853992,11181.3494778598,7312.88522969491
"Iqcb1",38518.9430383531,40714.3141453285,37804.6996279991,42883.088298874
"Htatip2",12182,NA,NA,10209.8
"Gk",NA,12527.9,12189.5,12764.3
"Plpp3",11007.9,NA,NA,NA
"Cc2d1b",18892.1585201598,18848.8590642551,18409.974134234,18656.2987162627
"Dnajc9",14547.7056733335,NA,12721.8553093148,19229.7346676111
"Maoa",22694.8222265097,19988.6519570911,20853.419916798,21108.974562304
"Prpsap1",8957.70034266938,10614.4744484349,7772.46795898769,7944.57866414307
"Naa25",16108.5905297445,15470.1437961845,15711.6895417943,17916.7713900541
"Mea1",15953.9796980803,18085.9741349538,17717.0180228731,18459.7072719827
"Epm2aip1",34903.5530840298,40643.1847535052,40646.912670451,41400.1196767708
"Larp4b",66799.4396570836,67916.3015812428,57464.9051664718,67409.6667035883
"Swi5",38620.876239421,31673.6983146686,34275.4626946454,20443.1999998172
"Dgki;Dgkz",41556.0843477968,46915.452530366,40477.1987546026,39454.6948095149
"Tubb3;Tubb5",25449.4,40402.5,NA,32151.3
"Tcp11l1",63120.8522569081,72332.9614506725,72163.590272159,68954.9070465908
"Iars1",29610.9504186755,26381.2659867635,25040.7797279796,25690.0421726281
"Map7",156859.304973828,197858.132016295,215500.275181299,192473.87077134
"Cacybp",99390.8385935604,87944.0698844652,98861.1133090434,79847.3502342271
"Caprin1",183088.516954828,188868.940148925,193915.787635785,163474.335211215
"Fhip2a",28453.4853548637,28908.7188161809,25844.4197886997,30403.2002478125
"Safb2",19917.0760490633,18873.273251405,14208.8120335214,18043.9357322109
"Ube2e1",17784.4,10647,NA,NA
"Cops7a",48439.5176987258,53726.3740330905,56662.0858246921,51413.7724273972
"Pcyt2",39736.1744567162,47245.9003234716,44322.8758211782,43530.3758272374
"Ddx39b",12372.0958915962,8101.97437080038,10324.1215887623,11649.4245238096
"Lamtor3",5647.45,6639.63999999999,NA,NA
"Mob1a;Mob1b",22564.0275843659,22375.1351106055,18764.6292516655,26592.9159655591
"Eif4a1;Eif4a2",56014.6450584323,49655.9887317868,58265.8014607008,60052.4618151052
"Ddx17",26801.1999997669,23743.1244644906,23843.4970139077,24091.6040960375
"Tpi1",59195.8895355045,61627.8632111294,67136.387478013,59745.5746771616
"Nckap1",8246.11999993506,13974.1325396974,9881.41486347726,11167.4755987958
"Ctdp1",10109.0991729993,10718.3148585418,8066.84129678262,8132.71729203652
"Rnf121",99225.1698071126,128407.481417684,144815.678318701,185129.728325001
"Gmps",21245.6431165731,28543.0700851395,24857.8171193758,25243.5746835647
"Atp5pf",47533.4168212247,42495.7644622154,29039.6515620689,36346.9793716237
"Usp19",125864.397408226,128020.643908489,122989.341622189,118516.366045113
"Nup62",54518.9441086897,65351.5832304806,66746.1732340564,54699.0809984454
"Clta",31128.0548826453,23381.0472505741,28811.4038258503,26191.4021314349
"Srgap2",24770.744059019,25374.7383865012,22690.2082944855,24254.7804332592
"Gga3",149521.290815848,142013.519941995,151954.967799931,148379.580579167
"Arhgef7",26186.7256612879,24983.0738746262,25664.4573488596,25700.1803348576
"Pacsin1",112991.94168527,118847.251125085,121230.066518867,105115.197193396
"Cpt1a",34469.2374224473,39266.6774174527,35947.4108363208,36629.9800238185
"Diras2",45410.1555106144,55562.1544275562,63195.169320016,58458.4511027055
"Retreg2",34194.8834553008,29642.3882389311,33522.7375283189,30183.5364061421
"Apbb2",5733.19,5607.62,6311.6,4849.95
"Zc3hc1",13617.4,20017.3,NA,17884.1
"Vac14",14652.1296917693,12023.2838366868,12514.341208403,10721.8413534316
"Top2b",21213.1227081972,19351.6910027995,20053.6126396255,21533.8262908472
"Sh3glb1",40148.1016858456,40788.743713654,38300.2195168762,40691.4498608135
"Hsp90ab1;Hsp90b1",150995,109438,122558,135346
"Trap1",248525.817710154,354368.658778324,305769.313727708,395952.403747965
"Irf3",46971.2396909189,39795.7708102147,37490.0780399348,43523.5912013862
"Ccdc47",13644.8,13044.7,12006.5,18193.8
"Snta1",NA,9067.27,NA,7487.41
"Slc5a4a",65923.4,NA,NA,63696.2
"U2af2",103859.345932131,108148.258658163,110775.435308326,116123.146454592
"Psd3",7700.54000000001,NA,NA,5672.63
"Ank3",35325.0453548552,43893.8006504283,32665.2330071364,34959.7887117276
"Utp20",5424.27,NA,NA,NA
"Lnpep",50832.1627584547,56205.3158605079,61072.9834201686,52870.9925045173
"Rab6a",10110,10268.7,14073.9,12587.9
"Pcyt1a;Pcyt1b",63358.1861360608,51997.3188772759,54200.1999994869,59411.6073523855
"Arhgap22",7027.55,4275.69,NA,5082.5
"Slc27a4",28468.2410024001,30533.1896078018,31066.7045333535,30779.7914369754
"Becn1",15964.2284307742,17757.0696364694,17908.2728453137,12623.0291909106
"Ranbp9",23478.802268456,24012.761364554,21763.7875833986,30417.1193617707
"Cacul1",23129.3,21408.9,27141.4,19435.9
"Syap1",99290.5048364788,107420.843688961,120847.525360999,97582.3694070846
"Arl2",54628.7049744391,53294.7228389991,57509.3595543217,52383.9797919276
"Capn1",NA,27610.8768683717,28346.1871242766,NA
"Sfxn3",24387.810175781,22355.4595839999,18082.0605477186,18243.4094030668
"Slc37a1",8206.38,6397.03,2310.27,7059.12
"Tsc1",14654.3486825859,12746.3682621088,13216.8840298833,14692.8839306584
"Tbc1d13",22596.5999998137,21066.0045630533,14021.8833170879,15466.7162743625
"Fitm2",17954,17632,17211.8,13587.1
"Rwdd4",24785.3,27118.7,19880.9,17486.5
"Fos",10745.7,16082.3,10789.8,16667.3
"Rnf14",37581.1911398228,31163.0086400006,34346.3438769718,36774.2396884203
"Zdhhc13;Zdhhc17",18599.3,20963.2,22829.4,17568.6
"Slmap",14141.6824620889,14988.8515810245,17039.6214903248,14387.5104549827
"Chmp3",128762.475981613,126103.272637081,154460.732613156,136040.057385416
"Ap1s2",33199.2,26910.8,36686.8,37404.8
"Mob2",26398.7307828962,25079.5805306623,25328.2067478649,26528.7798364826
"Xrcc6",12185.8913639391,15601.8662338427,12402.3950794786,NA
"Echdc1",67464.5527020553,69475.4282665558,62998.0399956065,75633.3693336385
"Nmt1;Nmt2",188457.089797033,218454.271137319,194195.150152322,205465.436327944
"Vps37c",59411.7566479063,55512.7075056238,56975.4280094404,57891.2752000155
"Sec23ip",46373.4424080345,39497.367546301,40300.7465113502,41240.1516314482
"Rbbp7",NA,NA,7213.73,NA
"Sar1b",19369.3570257675,22969.4994405846,26480.4025887638,26478.2107044964
"Arl2bp",18855.5649514343,19584.2155622862,25508.9846625227,16336.2174022985
"Rpl31",28636.2413102046,20054.2719365175,21867.6758654575,23431.346034811
"Flot1",62695.2905327281,62807.9113260408,61289.5891639843,63395.9876609333
"Syn2",41066.1929571763,49268.6865942553,51385.257382378,48124.8491694987
"Gsk3a;Gsk3b",41243.7797629179,54307.0689394667,52982.3549854632,49888.8907103567
"Nudcd1",28199.8182908298,25133.5881352799,35673.2025748973,31110.2744029446
