"","Ox_f_T_Slot2-16_1_3811","Ox_m_T1_Slot2-13_1_3813","Ox_m_T2_Slot2-14_1_3820","Ox_m_T3_Slot2-15_1_3816"
"Trim56",55074.7218910827,43099.6521883029,40213.0714017748,41044.9944584455
"Park7",115926.22066789,123714.732142923,118645.579626475,101533.468847119
"Rusf1",20643.1999998267,17210.6999998555,17243.3999998552,13638.1999998855
"Epdr1",24610.5053363843,22140.60913332,21722.7118382258,16842.7589294275
"Rbm14",220629.751299516,225011.660580047,252472.365900573,243147.825065752
"Wwox",16142.7313393543,23060.0146805641,22762.7649387014,21252.6369713922
"Pcm1",66635.6406033448,58053.468327508,61178.0939057581,58172.5036524087
"Palmd",39539.9227662468,50473.736119965,55244.3837111275,47483.319378976
"Camsap1",31831.8566428859,27550.4174633489,29391.3765211764,33592.2214692041
"Sh3gl1",32248.7767367033,40841.1968628108,43517.9847176075,46076.2751398338
"Sh3gl2",40395.6428083453,45092.2830064487,48438.5562861573,61718.3580228678
"Nefl",771524.185532985,999681.228053817,1089834.48943907,909768.101335586
"Lmnb1",35889.2576168678,35452.980725694,35191.530366517,33585.3361784568
"Pak1;Pak2",13718.4708187687,17838.1988844262,19308.8569813309,19895.7305225074
"Rsu1",27935.8514116778,24771.8631602164,24696.9498081412,24802.6593713551
"Dgkh",57500.3979891575,64339.3441318864,62366.5329163811,66525.7266969807
"Itsn2",26716.3087757626,24686.7816161949,24035.3981595899,24378.9655030626
"Itsn1",42624.8074147756,38347.3733782405,38329.4153803585,35882.7934589079
"Ostf1",54696.6708871638,51530.7465672101,65548.1314405373,56160.1580219615
"Vps28",18388.7304561215,17087.245974763,20354.2781372466,20664.9636521726
"Cops3",43399.8048816969,33007.0124875457,31949.5003807446,30991.042462271
"Rrbp1",99696.5671321517,112395.741911387,104394.50669869,123499.774677206
"Rabgap1l",52453.3535125734,58673.8657091078,58925.1400854896,60468.2834780278
"Anxa6",427523.386990897,398778.368871536,478089.908640681,418419.802162857
"Nmt2",58741.7913316529,54894.4521895738,51564.2372414766,57376.1484465414
"Psmc3",1194802.30495928,1251196.1850133,1287825.90232336,1264217.21862936
"Pfkp",32895.3620327669,37305.0358532277,35062.852001905,39084.0541168333
"Hs1bp3",82388.8025138243,71959.1125757082,74100.6816381653,61417.0955749588
"Steap3",62905.3909553269,66107.7975539616,60984.4765471995,54036.3819415546
"H2bc12;H2bc14;H2bc3;H2bc4;H2bc7;H2bc9;Hist1h2bp;Hist2h2bb",2303776.94181997,1956740.24204948,1871562.84194253,1611498.29058479
"Fam120c",95015.8677442243,89714.5656226686,87652.3149457386,94963.2538053387
"Naa10",26565.5487766015,27154.207824604,20815.6728973677,27705.5049048069
"Yars1",23511.5312000439,21434.3433487879,20756.4545369187,22513.4235908343
"Zdhhc3",461598.589347235,595225.911801212,582946.846062511,501417.252165242
"Pfkl",45179.1424815945,41468.0115850314,37941.9250897031,42318.8366453265
"Rbm3",16775,24671.4,26103,26340
"Vapb",405936.668988678,508929.368187139,554079.722511711,517267.630534781
"Kif21a",36375.936503478,37700.2456927257,37836.0763887464,40523.1028210533
"Anxa7",28966.3114714364,30965.1741909842,31697.7090272588,26556.7206378597
"Asns",25610.1287173782,24401.1969398663,24927.042824016,22953.2935937095
"Epn1",20657.1259789458,22856.9902426967,28410.1362945135,19081.1287219686
"Cisd1",285465.352111673,295593.572567494,371084.758895196,317101.06510991
"Bicd1",21106.3442084584,25339.8754206406,20857.3616455085,21663.8747834842
"Letm1",16922.6770372927,14069.2328680807,13868.2820000347,14697.0869883426
"Iap",46738.217094023,48737.0916230318,48409.5584378143,52984.1481318575
"Ddx42",52645.9965831738,50927.5871819322,46436.9949214692,50716.8194188327
"Tacc2",51254.4256423819,49053.485296428,53385.4973245914,51176.8184094319
"Poglut1",12062.0999999316,NA,7298.05999995859,9195.24999994783
"Pls3",27620.5364930084,32387.769535746,30430.388146697,31607.419924968
"Abcf1",42421.9626999246,35567.1053863334,33210.2745965795,36679.9487004624
"Tbc1d15",22098.7304577275,15726.0915346013,16239.8883286832,18652.3153412371
"Fxr1",119538.937684377,119775.760798809,133856.056380976,129064.774734312
"Dusp3",77703.5377073201,95810.6501609741,100324.528820633,96658.4108160724
"Psap",27167.4618896041,23228.0936048417,21394.9222434014,20567.2905223259
"Pdap1",600065.004432581,654853.217208948,699465.609634113,554622.849439614
"Tacc1",20615.6065332291,22928.617580881,20367.2110094449,23980.2423378032
"Smcr8",40188.664611384,43500.0106878525,39211.1472660679,34701.6446177507
"Fip1l1",66837.198739694,63656.0607298051,65756.4994999209,57371.4432691396
"Prrc2b",46386.5183815769,53484.4145529459,45981.0060632239,46131.076767453
"Cttn",165889.540920218,204562.377701068,204879.557649288,164477.78908267
"Hnrnpul2",69905.8849173472,76395.6896238129,73507.0997298562,72145.677791594
"Gpatch8",37020.175133774,30406.2682478775,31694.3396544607,28360.3652141629
"Rbms1;Rbms3",133480.810938609,112184.230017137,115262.154448613,91868.8740572701
"Nedd4",27769.9002557462,34562.2698373172,35015.7416399445,33618.4946322355
"Chmp2a",NA,NA,9845.72,NA
"Pitpnm2",50766.663682524,53351.3874311639,55244.2146031637,53183.7200258717
"Sec16a",91158.2327912622,81838.0029579008,81342.6747002786,81669.5963594021
"Cox4i1",21503.9884404394,30396.5145000591,27520.5539004659,23254.3017718525
"Brap",45046.5459256097,45694.1141550859,49936.2789296212,50841.5190084589
"Nek1",50875.049921863,37985.9293643959,41586.8873476695,41138.7054821499
"Osbpl2",13544.6359188668,9906.21508142794,8878.1334783597,10625.1602945476
"Mdh2",30922.5308165487,26249.5196859451,27888.9004030977,26880.8149516175
"Zc3h18",19540.2474297002,13677.8133699836,15787.8344477925,NA
"Fbxw11",45389.4906586909,55938.4542082057,55446.1969538725,52218.9739662499
"R3hcc1l",23466.1709190921,27544.039884769,15866.8493202661,22765.7151782669
"Slc35b2",19736,16492.5,16982.5,14369.9
"Ezr;Msn;Rdx",26643.9960343718,34621.3514586173,22378.5848646464,32412.2993109838
"Hdlbp",48079.9671880434,57348.9421627561,61415.2422046835,59365.4285173296
"Hebp2",33966.2687093086,31906.9009904281,23644.6296394975,19475.9385791377
"Mapk1;Mapk3",113043.415568955,115493.108071603,116023.613187245,145146.20384553
"Cdk7",29349.7965583103,26008.5422589125,26931.9151922261,24899.5505495725
"Cdk11b",10979.111588208,12770.1024505355,13467.3748620543,14005.0940119976
"Sprr1a",916584.481785417,1447538.08774453,1344815.07057089,1271849.84570742
"Ythdc2",28414.6799275191,30907.4163054906,28099.1675482882,29306.9257737522
"Chd4",28612.5587391789,32224.8787839409,28110.7944524104,33083.7518853048
"Myo1e",50640.957961402,54292.3686520742,49588.7386491669,56379.6564483762
"Mapk9",65364.1643040061,85976.5096493676,100684.758934306,77877.4685543234
"Atp5f1a",379536.658906504,339639.144043478,377215.12350959,330319.91765603
"Pus1",10040.798394447,8271.13734868029,8219.38744540064,4318.46186665098
"Cnot2",22168.973125714,22300.7097667726,21214.7084074769,18164.182029942
"Ythdf1",46453.6802844963,45953.9800830049,49921.2757000118,51527.1523448044
"Ythdf2",21825.748508268,27664.3435208443,25206.4625970784,29536.8433641742
"Mllt11",NA,12458.4,NA,10293.9
"Ddx17;Ddx5",148282.473381241,161398.627554721,164497.857438262,160768.246452347
"Btf3",44940.4353043279,43004.1295110816,32034.5507480399,35756.8714863935
"Sirt2",67412.5628294112,67660.502898195,63727.6251177768,68349.2729882113
"Psme1",46120.9516118697,48818.0663824432,42428.4280141001,41861.4981284094
"Dctn4",180999.013086074,219280.009429696,204082.69159941,241777.703940529
"Hmgcs2",38604.9284816431,34816.3271412578,37013.2939827849,34760.3344237068
"Ass1",33183.1277191252,28055.0715315858,24743.4441142233,29278.491672335
"Kcnb2",22710.1097276498,21885.5160869885,23437.1160680919,21664.4502174819
"Syp",226431.859721343,214505.703585866,233711.063935626,208106.881457335
"Ranbp3",63462.6341682953,51945.1172875882,63897.8514262544,61365.5708159728
"Chmp5",263488.447817855,214866.44269127,218701.728547759,189351.297358978
"Dnm3",32618.0199135706,31990.6120112516,32879.7103225915,34715.274495804
"Hnrnpu",103774.577393108,111336.795601087,112200.205343471,117932.95267857
"Alb",449687.633131928,581532.855836309,523684.804748342,484351.626265403
"Cpne3",83980.5957726341,81044.9987182049,76259.3581221394,73893.4651387333
"Rictor",23274.7472641886,18015.5166231811,19287.281512481,20332.526013828
"Ddhd1",23713.0933382656,22705.7894595713,19639.9429780297,22653.0681239857
"Reps2",66428.8754116207,57143.9021438541,64061.7937718982,61382.959921288
"Tcea1",26794.4437574731,30448.8033098666,28853.3482930439,22958.8369145351
"Cryab",8029.58835553602,12296.2790840078,14238.7741793204,9679.10452346112
"Safb;Safb2",100795.170449323,132434.490196496,137597.359808619,125721.306285913
"Wasl",62750.538330052,55833.0951445914,58287.9440984716,55815.8587527351
"Tmod1",101762.886696789,114853.07900661,118523.340899032,118033.123968039
"Mapk1",41881.876122041,45564.2968120525,41927.2913614216,44940.0155166792
"Tppp",73588.3144269522,64852.6205617454,70606.3272885851,64161.6285922697
"Cbl",20303.9836226699,20691.1961015719,18623.7293943624,23475.0802990358
"Canx",26355.4579146578,22374.4857827731,28775.7512750203,25208.6964943653
"Stx5",35355.3023648627,28736.4591741701,27287.2952975186,33014.0282272402
"Llgl1",5762.96,5310.67,5844.61,8230.83
"Map7d1",51076.8976382984,48451.2340357332,50930.5741546157,51138.3271043927
"Pikfyve",18957.7174655241,23624.9456158544,18221.3073324002,18872.6909518232
"Tbcb",112602.475224253,104307.417075827,106063.770811204,106330.356481574
"Rpl29",975589.13466158,1102041.14490767,1234743.95433159,952248.892937643
"Clptm1",113296.326550245,64459.931928261,93310.7999991028,75737.0981920079
"Rps5",20078.6976412013,15023.3983952664,18551.9190236604,14842.5081752707
"Sv2c",24284.7608671493,22822.0585853979,25472.4750994884,27180.9179048524
"Atp2b1",40264.300864821,38277.4849720645,40859.4005803583,35850.0881184667
"Sec31a",54216.7813159721,52938.1804470959,50844.2431077118,48756.9555423923
"Nudcd2",74021.5104014391,69129.3560686987,81688.4684031697,57193.2082157048
"Lztfl1",36642.5285452398,37140.0222695797,35775.3341742988,40324.2032144953
"Golga1",31246.4289199775,32985.334755515,33682.7030842441,28710.276809594
"Fam98a",14082.9076686497,20375.4507409417,19151.2577399367,18927.9250574614
"Atp1a3",16038.9178251548,19492.7523713777,18019.3438899007,20840.7527022649
"Oscp1",36775.0921382442,36840.9262384741,41826.5086495511,36787.2519855475
"Pde11a",20312.5625454941,18285.927286105,17082.0348235575,20740.8468834515
"Sf3a1",116172.912724479,111119.540158585,106400.525165332,103145.714377129
"Stat2",17273.9457342329,18245.6690356629,15614.2994088274,20491.6282146835
"Mpp1",66887.3650261498,68903.9409996211,68445.0154961688,68120.751276515
"Hspa4l",42259.0530449669,41374.9773216617,40961.8812557827,38293.0724289624
"Zw10",74226.7809592757,61980.9885089548,62384.1770180013,56478.6527157906
"Farsb",76161.1927374789,81608.5447076981,83416.9905491075,89759.8012810181
"Armcx2",30459.6938595209,32772.7993031772,33657.0163563242,31301.1656401968
"Prkg1",21202.5020840178,19300.4914551595,13374.115353013,22520.6919501639
"Lmna",64566.1187973877,53268.4917243635,54094.1482930014,57091.7163327627
"Hspb1",138339.684820748,164571.126252167,196280.390120032,144035.045423107
"Rtn4",1454806.0230309,1703266.27966545,1944739.04747714,1810564.78640183
"Rab11a;Rab11b",61861.021856473,65601.6582714324,66309.582791386,73732.0938746131
"Cc2d1a",19479.1860595489,17104.1154395019,17876.198127145,17828.7484314564
"Sptb",33246.9010380927,31871.4415481901,36663.7548628957,NA
"Usp14",202817.558449536,187127.115944805,189507.157180224,209479.385110601
"Drg2",104902.482352291,101431.781350187,118269.203666437,117924.430363416
"Ppp4r4",61674.1046502927,61880.1076930532,58483.690459633,59748.4519668852
"Zc3hav1",27639.9501155585,24983.1827969977,24542.1802658461,25583.6786851315
"Dclk1",148795.65446778,151769.038062467,165708.544191203,165982.114127123
"Sorbs2",4143.16,NA,NA,8982.45
"Bin1",106999.600506242,119916.725411966,102179.345304519,100147.539737732
"Psma1",26368.85406002,26079.545460487,26548.9797640946,26841.838717475
"Dgki",27902.2367649513,31998.1388673805,32093.6499842255,34729.8023594154
"Cbfb",15405.5909420686,18011.8563901485,18380.4516869654,20567.7074301434
"Scamp1",434330.507196405,458100.201719947,480878.028261537,395118.978550867
"Cast",166845.448077837,181730.022889977,195296.799150869,194876.316088229
"Atp5f1d",22586.6,18277.8,17416.4,18089.6
"Scrn1",47108.6293839924,40741.5118610225,43819.1580647439,34207.5528033352
"Bet1l",68345.8486898673,55865.5258308706,58572.1380142698,44174.7078740149
"Ccdc9b",NA,NA,NA,3928.01
"Mapt",1072905.68681411,1141004.21584772,1161308.15160196,1222426.14979586
"Gopc",60923.9211858054,76339.4337008551,79427.83040297,73126.1380972894
"Ric8a",37062.0274660429,42851.1536177206,38435.1013091235,43459.525920395
"Usp5",183007.012190245,180972.545423519,184959.995859181,201709.195403869
"Ikbkg",20148.4999998296,19649.5225967532,20925.4197403953,19359.5074946305
"Hspa2;Hspa8",237983.157502337,226531.044851017,249218.105238652,234794.788193184
"Fkbp3",229795.255206724,212831.846523093,218993.25420564,201530.087375629
"Parvb",36052.8880389584,32020.3600598336,31972.3109155828,29995.9565029479
"Tpd52",1044082.04663144,1172791.13451147,1236588.82421829,956107.17360746
"Ube2m",196281.325515357,184911.794465776,202615.389996394,179257.288582894
"Trim25",206038.689444853,186639.044580774,187965.947569209,171085.659672914
"Got2",20429.9229399011,20250.2910249682,21732.8897569872,19796.6827784367
"Bpnt1",34355.7557576645,33490.0192629478,40227.1120406777,36775.4857991647
"Nek7",70184.4025384487,92145.8656537808,104229.932879413,102527.16897637
"Pdzd8",61499.0447469091,64954.8121938344,64222.3386005767,65176.8205242206
"Mctp2",29311.7649577893,24349.0757849499,21214.7573336573,22999.8400839801
"Ablim1",40702.5766536205,49261.6367386331,46169.2377394506,47208.1079699178
"Srgap1;Srgap3",38551.9631467379,38267.303165174,39257.3678045253,37469.6026980882
"Atxn2l",431717.810054132,416712.190831296,465954.291928016,428983.500728163
"Eif6",30116.7567758713,32099.4445769537,30347.3950078485,31185.6727262082
"Mtfr1l",56814.8727591141,58322.4530485742,55810.7664974969,59409.8890687833
"Rad23b",81794.3502087859,87858.1014971918,87114.3572950299,79559.4288927062
"Cnot11",12752.2163053272,9143.28667971932,9517.91860642355,11110.5984407368
"Syn1",186030.581312444,198132.225034011,178987.835717879,170538.463123394
"Necap1",116672.924420184,112215.504474813,121176.048260213,117321.553353825
"Eif4enif1",10168.0210357522,12124.1333693784,16973.6095378128,10387.5413030195
"Sgip1",21107.7723233757,22405.4041603013,21196.9430879591,24218.1970460794
"Septin2",23059.0679037467,22151.9169289764,20225.571088772,19219.3389359788
"Dysf",46117.1841535421,45052.4052086391,39262.9095191852,43115.9264790724
"Rtkn",12296.6806294423,14469.0002217573,12541.2695426455,17045.6059147694
"Cbll1",NA,30506.0671802135,36979.2231505681,33867.4441979861
"Tsg101",18913.8953350218,17564.0676747337,17426.0676853369,19543.9114526938
"Dhx36",NA,19496.8200532414,11065.5431320563,NA
"Paxbp1",19237.674131023,11659.7610450066,14257.379720075,14153.5093534881
"Hnrnpl",109265.779693108,110184.783964728,118996.698589173,102316.586137842
"Nedd4l",38828.2175807045,37057.1629097309,35947.4585877945,37663.4210519552
"Wipf2",19320.851086153,17982.9539529437,15877.8994222898,13906.559990292
"Chchd6",12426.9081571876,14912.2770711446,16703.5087013799,16152.4999998673
"Crbn",65175.1689862001,61356.3923412343,57485.3914257579,62246.0138235008
"Exoc2",39516.2303656744,34058.6012684662,32191.3114107505,28249.4269774237
"Gcn1",18808.8857703896,13573.9103789175,11142.6786316094,13942.3260822437
"Stac",10743.5,8487.5,9381.07000000001,10773.5
"Cep170",244516.278192822,226004.726966972,246190.975435887,222409.783666922
"Armcx3",36035.1910138918,40155.823405485,40875.6768340772,42809.3196754598
"Ephx1",18735.5343883355,19640.880443353,14685.5075864784,14992.8597053499
"Prrt2",44236.3911037831,46135.3410962432,55742.9477287132,42198.0940301719
"Tbc1d10b",19695.2111756728,17475.7134292456,20867.1608426437,21139.917921047
"Ppp6r1",54176.912005718,57641.0541150718,59381.6546149984,60442.797465318
"Carhsp1",59649.3212383462,63289.4234964056,65900.8111244798,65887.4698903113
"Cat",23518.0260592955,21159.865125708,23909.1429177363,27376.4913846989
"Camk4",20982.9655434291,16165.124395404,16143.400589543,16989.0449012835
"Hmgcs1",23458.0956269129,23546.7112531256,18619.0451941033,25028.549667591
"Ssrp1",11828.5445056981,13188.3788503173,11672.1941794865,10969.3358719278
"Eif4g2",115616.024036223,125723.873587972,126847.191438573,141085.376059405
"Tmpo",44363.3632835644,41397.7972749796,42482.3228395714,45089.3574529956
"Rgs10",25437.8022708011,23652.593608923,24851.3787290482,19223.2863575455
"Nsfl1c",30943.8639453187,30635.4013947591,30996.4924396716,31728.9123543204
"Trarg1",402749.609523455,379727.234526111,443328.864093881,446692.85927249
"Crip2",1348420.6937834,1178451.4328588,1256496.55359342,1457178.39897449
"Tpr",16343.3285697311,19785.9834686353,16048.8383973736,18372.4379372029
"Dctn2",822481.960604501,804874.905663996,784756.896860219,732618.139569162
"Cggbp1",12474,NA,14031.4,13179.5
"Mettl14",5339.63,NA,NA,NA
"Rpap3",20353.1010414772,21084.9230882751,19560.8860884807,21706.1379814198
"Eef1d",414611.797277106,417413.597860832,464864.316640638,431217.117236502
"Dhrs1",21149.07522406,16577.988920607,17404.5669491263,17385.1726499843
"Hspa12a",54107.892261159,43977.9047677028,49736.6924464832,50892.155708272
"Psma4",67813.517833874,67078.5788690581,61653.0345164807,58079.5190648972
"Idh1",50976.3802902188,45669.7084082659,50057.4490740256,52201.9002606873
"Misp",13298.2,11339.3,8489.86,NA
"Gga2",20355.6409040926,23881.6984638439,20058.9054955611,22809.0389163785
"Hnrnph2",27912.8810058109,35515.2742731232,29831.9504784645,40766.899999633
"Hnrnpf;Hnrnph1",11070.5839326708,13116.7676833213,15811.5353866952,12699.9424414569
"Usp30",19453.9907393102,14072.9996034586,13226.0085199315,13475.5565193249
"Dnajc6;Gak",68955.8,59016.2,72743.1,47771.8
"Rab7a",139650.668360031,131370.210055379,147727.866823129,131740.258808319
"Ampd3",137502.289255117,130869.199923382,137131.239750351,115958.378204415
"Ap2a2",28607.8016115435,27641.2112944193,26489.1691799124,28041.1733461251
"Chmp2b",237716.547632037,251806.301846713,241060.737607432,234301.029081831
"Ndel1",23446.6877482598,30333.729689665,29944.9921523144,28470.3463920342
"Cdkn2aip",56551.5923959309,48715.0410862962,50132.0000634826,49017.6810256748
"Czib",27069.5230481043,28593.5477429637,29286.8684920922,27814.4221976463
"Garnl3",134741.438712224,112344.410813474,112291.390236775,113249.738307565
"Snap47",77827.1955857696,99918.6843165904,98447.6313429706,105952.09315136
"Rmc1",5788.06,NA,5019.41,4900.51
"Krt17",45009.5999996197,22960.499999806,24483.8999997931,17009.0999998563
"Gga1",80052.6156477193,79112.84834526,84564.4380941576,88585.5056944095
"Plcb3",155153.514536665,130355.350761844,134335.300155257,124919.184689533
"G6pdx",109370.644874287,112696.677493154,113694.686276563,115864.76074668
"Garem1",6776.75000000001,6934.55,6981.76,6831.55000000001
"C2cd2",28171.6391089993,32403.6018633135,32027.0507391779,36851.7721287567
"Epb41l2",31460.9242755531,25264.8336405521,27606.7923244368,29573.3701891075
"Agap3",37407.8876761799,38459.6122673949,41878.2024091607,40350.96488798
"Eif4a1",24613.2242837652,22010.1203823288,16579.6522770715,22806.1324820338
"Asap1",93952.689557677,101038.017656914,99736.4317884407,108375.315889108
"Ylpm1",15586.9586275014,12843.1804719503,17893.6764464548,17154.6793354408
"Frmd4a",26921.7214377578,27160.0217119441,28053.5830413258,26893.7208884126
"Mindy1",59536.9002059271,51043.4957289527,59614.0746493546,53065.1324743862
"Osbpl10",7511.52798740274,6957.31205751305,9011.71602386804,9116.74213105865
"Ppm1e",6474.62136798581,9504.08593964491,10506.0930784262,NA
"Polr3g",14817.3,20433.4,16852.8,18452.1
"Myl12b",81914.9464800361,74755.4963369832,73646.9481330825,72682.9934598814
"Washc1",18671.5268352702,17163.9518875281,13462.8232040141,11013.5324550221
"Evl",17433.954123646,17555.9414420145,21621.3398756046,25184.5523284915
"Tmx1",19797.9441998057,19638.7308943858,18782.9165388488,23970.251882943
"Ubxn4",16684.3194915567,16246.8134529764,9079.88801124314,16154.0999998681
"Sugp2",34819.7294044665,25428.4585544863,24413.6147992996,29160.5258254667
"Tab3",17224.0928624231,17840.9420377563,16426.8824910751,17889.2853777415
"Picalm",50806.0787261866,55584.812192513,60951.9896409507,59583.754044313
"Snap91",99358.2749627469,107565.169731296,117937.578249348,99567.646859617
"Hecw1",10543.159563859,11233.0370993341,13290.4703534058,11751.9564806239
"Pex14",391907.098967457,446241.206250521,437751.912637821,380554.766941458
"Nrbf2",89902.1417148384,94050.6041540504,108112.684587348,88302.1235990794
"Rab11fip5",80526.227043129,84103.1098718677,86948.50842901,81672.8748146126
"Eif2a",47954.4197146087,52923.2282958371,53365.7494218313,56563.7690253131
"Lrrc59",127196.561668968,93349.2625304543,102893.906256495,97480.9482891058
"Nucks1",169250,177628,161673,156961
"Ywhag",88328.9075951548,85494.195626897,88444.7683559062,85081.2687092203
"Snx13",12786.1753940606,14600.5460416408,13145.7205842821,13672.0611806862
"Zwint",68922.9673495872,86224.7310515497,100984.686224725,84111.5550876874
"Cand1",12977.3990433813,14768.9549592038,12172.6114957001,14967.5582295914
"Maco1",32442.6328785096,36077.3731695364,30538.6047599967,35282.8607540209
"Uqcrc2",136160.295286125,140689.096805974,127286.982625983,127538.780170666
"Psmc1",7226.31918850634,8275.03323512489,8972.37375800571,9509.31947736229
"Hsd17b4",10542.7572410862,10105.8079687014,13584.5203087549,12119.7517802515
"Ttll1",19511.2863140804,27889.8487136569,22150.5853565291,26503.9355547497
"Cct3",36521.9753664122,34029.2821181447,32819.3785564376,38810.5165288757
"Amn1",46558.2719473041,61928.7624178036,54849.0936725829,64583.1885821161
"Ahsa2",40695.3566512169,33793.2644223875,37872.2694200665,38659.9779065321
"Psmd14",47167.2862070127,52393.3666077499,46107.5055988618,53373.4223821384
"Thumpd1",24564.8643839342,25172.5020583741,21795.2525959349,24918.6064594386
"Clybl",22207.9257974486,22271.8114955468,20360.0823664313,25580.997903859
"Cyp51a1",22719,20381.3,18073.8,22949.2
"Immt",39334.8860890465,30546.3558150287,28581.7674162104,30765.7542465735
"Kifap3",120668.635668595,124416.693779163,132962.59320183,139559.974675065
"Lemd3",18369.78612682,22264.1692188905,23608.9256640606,29812.5657936296
"Rpl6",251576.693421933,230569.19495786,228165.053711325,179471.369484516
"Ccdc92",89397.6740389783,102155.363295524,105776.380634578,98912.5282088844
"Wrnip1",92829.0662399119,92905.1747405405,88082.8345168652,80568.0493755662
"Sec62",22589.8336746381,20482.6902890337,21693.0023480554,18975.4157137657
"Kars1",57444.4990185205,60916.2286561992,64685.518196167,64554.872884787
"Papola",20719.7998065146,15532.9033234532,13655.2545557308,16090.380901665
"Myo18a",78931.6201273074,80239.0066143512,79025.8841237585,81660.5989360227
"Tkt",35772.8692533142,34936.1101902085,34045.4418549717,41764.1919528
"Cpeb2;Cpeb3;Cpeb4",39200.9458635107,43073.9220318949,46167.4416722233,47794.6248197427
"Pdcd5",41408.2342827034,48355.8386767199,46372.9149444861,46351.5884663024
"Rc3h1",13239.969851441,17068.2973056929,19049.878990934,14957.5293340859
"Tuba1a;Tuba1c",6764287.66407989,7119401.79031604,6659215.96823853,7992473.12161544
"Ufl1",12348.5877833895,15322.4220017381,13338.8675637004,12555.335556798
"Kpna3",341794.021254721,285142.904210202,310141.308538798,256322.297599389
"Zranb2",44024.7141866855,43702.8748643469,54851.359147088,46739.6759682511
"Cluh",29674.703080334,29549.0390995761,24298.0312362444,25132.811231961
"Smap2",121451.804521144,129984.122531281,121329.813271649,112884.051108045
"Snx1",49270.1825534859,37898.3965876467,37798.7128094134,43407.991604499
"Cmas",718554.351329832,567947.771209921,605669.776766099,481365.967107949
"Ndufb11",31652.7,33037,17862.2,21233.6
"U2af1",26589.0841895353,21006.603209879,21092.7733503982,26864.332174272
"Gkap1",27515.3601208685,32881.2872602308,31917.7131803191,35012.9334025969
"Hdac6",8862.71288595598,10848.3639475868,10731.3883211403,11526.9628338098
"Rac1",46081.7955909501,48882.9325898352,41665.8173587013,42877.6278870292
"Map1a;Map1b",561891.133613633,721146.680655593,687947.888246911,646013.303442056
"Stau1",82767.9302474324,96933.1931228992,92367.2729783528,103642.093809543
"Gemin5",51850.3972195414,50725.4775066031,43515.1578326543,56979.2981239724
"Cfl2",24032.8560107566,16698.152968092,17902.5928336375,12816.1987915975
"Cfl1",117021.678711623,127690.053237068,111451.562938485,104867.953746525
"Shtn1",16193.3999998638,15381.1720206713,16105.211904068,20565.599999827
"Trmt5",9612.36,11249.9,8161.1,9107.86999999999
"Phf21a",4945.42,3759.38,3140.98,NA
"Tubb4a;Tubb4b",97870.5552094281,121770.255739668,168361.021427789,161825.074693995
"Numb",92455.6890458649,91598.9453247878,107919.444821812,97082.4803529566
"Stx6",13055.9201202994,14834.2381744418,9860.4442431277,8440.7348973897
"Snx2",36556.6910410266,41738.8695768078,42833.3245968314,34511.8768962967
"Dctn3",31880.7951773584,30589.1447895577,31618.4783158737,31758.1973862586
"Arl15",11794.9,10794.1,12207.9,12464
"Ttbk1",10066.5,NA,NA,NA
"Vapa",278364.702346582,383839.565625372,474269.387209919,377319.062672993
"Phyhipl",68612.382877706,70453.3167917715,75818.5918420613,84206.8106890436
"Tusc2",69312.012028269,66594.5349617162,56740.2702428673,65185.6999242176
"Gtf2e2",27676.8282188456,23571.4898713289,24336.0522038828,25797.3015468098
"Pdxdc1",262322.487215675,328574.943344647,360598.943653945,346795.204602325
"Tjp1",14426.2876126588,13524.6141365378,11617.4266840852,11461.1645161509
"Sh3glb1;Sh3glb2",50870.5,53058.9,41482.4,46250.1
"Napg",88300.38080946,102679.487143203,91653.8878092653,85679.2297008423
"Fermt2",99100.4920986587,94404.281534318,103548.991693189,86954.1849892068
"Zfand6",21737.8217636628,19778.2885004499,24224.1877714213,22527.1096090326
"Wdr59",14213.1818355903,15392.0020484544,11666.3378254871,13994.3985920261
"Stbd1",184881.824751686,206927.429850274,216039.440178601,215625.840604995
"Ccnt1",22018.5610418383,24124.3723162589,18560.9179633264,21195.8924186158
"Sucla2",24870.2849172325,21383.5219486742,23643.714653705,23311.460313853
"Tmx2",225428.660578187,228771.814179462,221547.739596807,190037.710211774
"Syvn1",18830.8438637924,21667.9270609443,17494.9589016195,28536.8664545745
"Ywhah",53708.1553101165,50156.1547620036,50607.1029059021,55756.6980189144
"Ywhaq",39725.3865521372,33033.7719960973,44082.2666304124,42452.7399859789
"Ywhab",52574.0218755245,63359.1950387583,62242.6010072111,63604.3444834869
"Srrm1",23940.9321138282,20352.8185179499,24155.7882038936,19768.4022026953
"Larp1",109672.147875367,110609.284622998,107185.817345974,107124.142384028
"Rpn1",46219.9376840939,44435.756903606,42771.2306445692,45490.2286691641
"Ccp110",19447.8668885173,16586.8251201425,17304.320281554,15942.9667531233
"Pcbp4",102987.544013577,112044.708020709,124399.079941093,137449.913852807
"Ccz1",11434.7258145165,11573.6140683032,12590.6682105137,12809.7841409424
"Nono;Sfpq",65300.8,62539.6,61464.4,82845.8999999999
"Cul5",35736.9480387441,43154.2391243239,32995.8313987898,38790.1127988689
"Ssh2",15482.4,12460.9,7860.68999999999,8349.89
"Atp6v1b2",154763.419283655,164071.013773868,166902.909927196,164899.716328148
"Katnb1",48876.7911226924,45877.398453022,44934.2509790821,46764.3265924076
