"","V_f_TC_Slot2-4_1_3801","V_m_TC1_Slot2-1_1_3799","V_m_TC2_Slot2-2_1_3805","V_m_TC3_Slot2-3_1_3802"
"Tuba4a",94295.2005486674,96709.9820665476,81211.2219378025,95727.6392163835
"Atp5f1a",13233.6233169174,11528.9120051774,10242.7999211622,11990.8069865754
"Nefm",20719.1272234165,20580.1403840283,22942.256037434,20101.8415034104
"Tjp1",6733.19919103901,6590.07012020767,7340.70847820139,7846.62195471765
"Tkt",9547.95119983431,7894.51726821263,8376.08409526594,10846.1118187314
"Avil",9761.40062170064,7898.69528787239,9452.90038703256,7558.42663539498
"Tuba1a;Tuba1c",156494.314089701,172519.664547041,151797.821940735,172723.715604236
"Map1a;Map1b",3800.76,NA,NA,NA
"Shtn1",3990.54822674709,4833.27525808743,6276.32038323044,6962.22003484589
"Tubb4b",4253.95,5785.06,NA,3460.68
"Pdxdc1",3040.58,2886.41,NA,NA
"Sorbs1;Sorbs2",9067.19000000001,7480.13,7053.01,NA
"Fbn1",5948.0477592672,95563.6243638831,15347.0471568661,9393.14663020886
"Cast",8821.61387213378,6979.59325318198,6214.05720502356,7350.18278229058
"Anxa6",10541.3418709482,9924.88227952782,10787.0980514199,12105.2121321256
"Txn",1294757.68499416,1125098.65434111,1060627.4478299,1006659.30050271
"Csrp1",12239.7055335399,11297.1639956473,10054.8787190549,8740.15258575455
"Rtn4",21621.4251481,20404.6665756623,23836.7621284497,21216.1369976692
"Hspa8",7632.59999999999,10098.6,8079.98,8452.61000000001
"Eno1",15928.6370059367,22990.8992607771,11846.0206513179,13545.5165912747
"Arf1;Arf3",4835.65695954824,3879.50320184595,4775.25063540547,3276.92242817819
"H4c1",96549.3557957447,106281.681437802,84464.2984461637,85725.2568260887
"Tagln2",78260.7993101696,73640.1979435156,78355.4980823221,77651.0720392755
"Npm1",4107.69,NA,NA,NA
"Slc25a4",5409.63061562896,7413.77389780724,NA,6875.91910081028
"Glo1",22540.5155053396,21100.105344104,16331.587677445,17757.1440854659
