"","V_m_T1_Slot2-9_1_3817","V_m_T2_Slot2-10_1_3814","V_m_T3_Slot2-11_1_3810","V_f_T_Slot2-12_1_3819"
"Xpo5",30096.8104805474,20641.8873402102,NA,28259.7828156266
"Mapk1",10799.6422756468,11902.5201064717,65137.7000000001,9164.15569212634
"Mapk3",123765.4698854,135980.138287559,109586.466387736,123928.466462252
"Pabpc1",106821.304691078,109971.852326309,99361.8830135785,106176.112799898
"Pcmt1",293084.907458585,307053.801752414,321011.820974001,304580.425622566
"Scrn3",37214.9537722841,37768.8045115133,38608.6147809288,36458.995272303
"Ina",29598.9138489271,33426.6602878541,31224.8739633874,30462.3672925344
"Rbmxl1",58266.6538611397,61149.6800315436,55059.218103201,62199.3171349354
"Idh1",50938.5415423819,54814.9629428749,49473.5791280321,51893.3523927273
"Ppp4r3a",34451.0367100217,31676.6108948309,45154.1923900846,34081.529509041
"Krt42",60387.0696553942,85242.4121235241,38266.5999995922,422452.869590442
"Pitpnm1",39258.3161293277,35982.4445646754,39355.2174908327,39460.3416980123
"Tppp3",4458436.56971505,5210298.62952051,4260998.45303533,4427659.17483548
"Ckap4",75984.5808416184,76645.2783825485,84565.2541052507,78911.6665982892
"Stmn2",882432.577897442,894430.23711099,660877.388395926,633528.448529465
"Stmn3",64411.8862092778,65436.3947105919,63839.3168961386,52429.2537810861
"Cblb",9310.92487697066,6685.79141379896,NA,5750.29083911064
"Cct7",17851.2047153766,20761.9234843301,16727.6818595281,20305.9944231736
"Pex5l",44403.2820220884,40974.9274053678,37895.3502667231,39755.0636814343
"Eps15l1",262863.416487792,266470.431793036,273766.772719832,251738.89392126
"Stub1",39725.8010912541,34342.3512439026,40879.4714397632,29946.7814558765
"Cdr2",22328.715025303,33125.2275078136,26359.7181990222,25207.2816713093
"Pex5",35457.3457089792,40931.1454804644,73809.7775667626,36199.6503967684
"Ddx46",30845.8227232076,30059.9257217601,28216.2165869742,30122.3240762633
"Lcp1;Pls3",119248.034539836,133856.173515107,130179.559061327,145920.499733778
"Zfyve1",27857.7213889516,28593.1999997508,31211.6999997279,16192.6721605823
"Aven",43197.3408352725,50074.9999995354,48732.9407863113,48407.5630897598
"Ruvbl2",31630.1055155821,32031.7801560858,32700.7967807523,32910.2541098876
