"","V_m_T1_Slot2-9_1_3817","V_m_T2_Slot2-10_1_3814","V_m_T3_Slot2-11_1_3810","V_f_T_Slot2-12_1_3819"
"Nck1",36948.7149698407,41506.5307156436,35037.3686813765,37630.7457732326
"Tmf1",12720.5125785145,14688.2713284121,14504.429267718,13763.7694712227
"Dlg2",37893.4636660723,40818.197241889,34159.0693002042,28779.5473829028
"Scn8a",5464.83,NA,NA,NA
"Uso1",36411.9503518871,39713.0259236392,38627.1280676145,38536.3001736489
"Gramd1b",59699.0557077529,54814.9349753347,60014.1863322307,53503.2464271164
"Pfn1",42887.4736477458,47820.5016793391,47623.3065292357,48924.8775525793
"Mia3",23902.8522155014,24653.9253126711,22927.1291064656,23462.4766414407
"Acbd3",47758.6722193734,50459.2681729041,62377.3818240082,58716.6918958445
"Rab21",44019.993341856,36990.3933415495,34526.9393534175,45821.5809197142
"Gls",95476.7933329049,96915.7284286534,89812.3154645746,103115.047388837
"Acap2",NA,11545.4,11225.3,NA
"Braf",22670.9514175333,26650.1696647123,24145.4551463375,28547.5418363639
"Dmtn",182410.374898053,169895.011926676,175241.118715247,174459.006382158
"Sfn;Ywhab;Ywhae;Ywhag;Ywhah;Ywhaq;Ywhaz",96469.0378887242,99281.7888947606,104606.75485717,107825.594127116
"Ppp2r5c",35566.3063350122,37108.663524103,41649.130586737,31462.8191597352
"Arhgef6",25858.6,NA,32763.3,20602.2
"Arhgap17",70481.7475770208,59978.708410602,67094.7679541213,64759.1679483691
"Oxsr1",26930.8716601777,27655.9881996397,34864.8745739905,26887.2574268522
"Hace1",13646,NA,NA,NA
"Fam131b",14636.2884902334,23874.162580637,15429.6494080231,25364.8137021317
"Bcas1",6714.77,6305.02,6127.61,NA
"Synrg",54624.5556149853,62062.9768738451,63083.0600891189,67372.7881350599
"Mbp",12887.9634796434,39703.7695679949,NA,NA
"Pdcd6ip",12658.6609038479,17976.4652609736,16079.2168124784,16286.5871622364
"Snd1",7803.21344535308,9790.75257080296,10620.7941028556,7385.61114917383
"Hadh",28031.8895806391,27068.7573460487,30354.6578618789,29801.9664378797
"Ythdf1;Ythdf2;Ythdf3",89613.7448047669,95455.2063749103,73850.4785702592,83666.9126678361
"Mtdh",457445.062777633,441916.373174387,463162.962678209,416324.25416242
"Atp6v1f",11317.5863588963,12104.3155966359,8084.23755923151,12023.3291086684
"Ppp2r5a",12636.2315671183,10348.9228140255,16606.8769911378,17270.6124207704
"Plaa",56423.017610122,56406.1091976087,58234.4562391193,52512.9042874072
"Rnf213",19112.3558057364,NA,20017.7424692341,18331.5451371889
"Ctif",32853.0631185361,30484.2446407379,28443.7998363714,25851.9913829685
"Fmn2",NA,4404.28536970521,6589.70398639877,6874.28530205615
"Diras1",310828.169848553,332659.513758646,340518.899112608,259184.892938747
"Pak1",107545.522015604,95514.2075228269,89098.7619194235,96620.7810426288
"NARS1",98300.7920884528,94477.1330066794,82973.1343346777,113522.070015933
"Ciao3",12596.8,13778.5,NA,14660.4
"Snx6",52148.3983357725,56163.4059735817,47080.4587542123,43838.7911122175
"Cct5",24772.5590272331,21022.3729630907,19729.3383194522,24710.3495373605
"Skt",53310.8235748595,50847.0403320254,52453.7959798211,50835.1175026943
"Pip4k2a;Pip4k2b",21630.8984441463,21978.1283108669,18859.681964791,16510.5170298523
"Cul4b",50055.402393175,48676.6540712949,51751.7527169847,42820.8830686559
"Prpsap2",7367.6,9143.90000000001,7126.98,7131.11999999999
"Alb",719636.999999999,408091,926412,413356
"Ldb1",21378.3370804864,16363.3050051587,27988.0666157125,31613.2842791999
"S100a13",72421.8064076422,86317.3154084259,53787.2599674978,67144.9964205429
"Kiaa1841",9445.90000000001,7633.54,9447.61,7990.82
"Rps12",187064.177290796,211428.268162731,200870.305291816,189584.97077022
"Kif5b;Kif5c",17251.3,13775.1,9924.59999999999,10106
"Naa50",63877.4960983613,66692.6726851511,64396.12291056,70734.9641609953
"Fam234b",7547.2,8027.19,7831.39,7909.95
"Cs",94424.8677239046,86311.9284578852,92150.9601644432,98436.5015871648
"Pex19",15246.1392687426,15302.5297036564,10242.8108128,12960.8993408132
"Osbpl3",211409.090503265,231828.418997005,222541.785453671,204648.772081877
"Caprin2",NA,NA,4642.56,3971.16
"Dlat",18525.9176323851,17673.2761908683,18910.9673405805,28702.7798552027
"Ythdf1;Ythdf3",63292.2001421735,89068.7332372924,77320.2179795943,70686.6952471411
"Zfhx3;Zfhx4",NA,NA,29700.5,NA
"Camsap2",40197.5168593233,42528.4502286681,42198.4827863276,37556.0926624924
"Ppp2r5e",24230.5725997624,28157.3700559038,27028.1268298302,29901.551350859
"Atic",20475.6170948519,17378.5323208407,15668.2248351627,19948.3919475845
"Clcc1",24511.1318368178,21124.1966260226,25565.7662604615,26251.7050548112
"Dock9",25017.0225520566,24084.4246175827,24689.2059965811,24816.7254763968
"Mthfsd",1802.14,6982.51,NA,3647.38
"Wasf2",9379.43,8426.64,8251.7,9184.70000000001
"Agpat4",31642.1924469315,33522.9393695821,33704.9431476844,35594.3515975187
"Flrt3",14985.3017759869,14499.1901688153,17843.7422794907,16387.2024454416
"Ddx5",102344.801792826,100361.68637007,102503.595649238,97775.471940946
"Afdn",38151.0382812896,34533.5368877612,40576.1655120765,37155.5265868548
"Mustn1",19463.2613046042,15404.5779471264,16662.6333068334,8811.62930735027
"Hnrnpa2b1",2342717.11189486,2883191.3577012,1964237.18612485,2570102.02262956
"Hnrnpa1",3374333.29557475,4397195.97988811,2821369.53441124,3119608.08806253
"Mapre3",30171.171404643,27868.4477184218,32632.1121039237,35407.4552477313
"Necab1",14233.2319678193,21147.4402479048,27858.230830491,19881.2432469659
"Krt2",265483.550232512,262395.28631407,184343.308254556,684572.61863972
"Tfip11",8492.40999999999,NA,9607.47,11371.8
"Ptbp2",57884.0291314415,56522.7008633944,50903.9603257575,60051.2572712681
"Gstp1",31029.1870650244,34937.6482819441,32487.614722851,32834.4155569716
"Nap1l4",117038.608232521,160183.756735669,115133.969097101,144455.076093154
"P4hb",13814.7,10533.7,NA,11019.2
"Tacc1",22276.5705131921,18501.6843211742,13253.6016102139,23497.5063115714
"Palm3",64322.0999993648,75460.7635150695,99943.3790930526,87780.5329906721
"Fchsd1",40458.0376882097,33473.860398609,36730.1329836251,37551.8306602483
"Osbpl6",33733.3961687589,30702.8889507647,34474.8914825333,28161.9442969796
"Alkbh3",40915.2269794458,43283.8354219094,40171.1549263546,41437.3894717262
"Kctd8",17311.6645583195,18313.4378574316,15731.2918982965,16224.4319334256
"Ncor2",35310.9222673394,34678.3991391231,30195.3411940767,34270.0497557449
"Pde1c",16765.9033153049,22890.719238969,18646.8971354386,21218.9092630099
"Lrch1",58814.3677093133,55974.8944472183,69456.2834877385,55282.3698952447
"Ncdn",297542.924001839,284967.42916426,282299.993257368,248277.99891772
"Utp14a",16320.4887027824,16499.644391203,15984.6342910632,14916.0570718431
"Kctd16",26011.2331017348,29564.3391997499,31201.4157279854,29603.1082301264
"Cetn2",13881.7,9881.42,10983.5,NA
"Myl12b",53904.390856349,54326.9673228005,52713.0247451197,53108.7713716977
"Myl6",23051.9,27696.7,25400.7,30312.7
"Magi1",96987.8303647403,88014.1351799422,87684.0065197828,99183.0602590545
"Mrtfb",17125.0553630513,19816.651521423,11653.4839466111,14175.2336082469
"Gigyf1",14258.0403995983,16360.4814532484,15868.8999998687,15467.1953772747
"Shc1",43921.5846081037,42407.928821493,51803.1518211276,69013.5658430055
"Dnajb5",7657.6,10323.5,7629.94,8759.51
"Dnajb1",9509.78000000001,8405.00999999999,7584.25,8909.76
"Phka2",13074.9,9229.74000000001,10580,10711
"Ubxn6",20847.0594870774,22140.7434900059,19121.2801090541,21107.6067373721
"Dock7",35203.387583967,36014.7448072889,40232.8144599823,33822.9450763206
"Ciapin1",117878.125851193,146717.796510217,120956.886497376,139799.859415992
"Plscr3",90702.3448704191,103681.039248793,79154.3005765385,82668.6443619762
"Ipo9",NA,2000.69,NA,NA
"Slc9a3r1",35281.687715813,29312.6679239642,26089.6999997665,36854.4863450599
"Dhx15",28245.5195210826,28851.5894675477,26800.0962453411,31404.5496092567
"Chmp7",33340.4797124121,30895.0662962018,34036.5006307637,31280.9527708668
"Plg",9367.05,NA,NA,NA
"Niban1",33386.9381961212,29377.8830926256,20000.5748167304,28017.4027409916
"Grk2",67712.8331179878,77677.3919265688,70461.0980068073,79141.0092479168
"Srek1",NA,9229.75,NA,7233.23
"Rps6ka3",13650.8722297987,12760.3567649411,13476.1999998905,12816.9713368545
"Atp2b2",20444.1395218108,16291.2985599549,21088.0604344382,21527.9987150233
"Atp2b1;Atp2b4",53461.6999994917,56210.0999994656,67372.1999993594,54720.2999994796
"Sema6a",11906.5,10582.7,10605.7,9497.93
"Stom",111562.209439895,110869.018051224,89268.3045578807,106449.250165639
"Nelfa",16656.3999998618,15768.718178881,15438.4999998719,15989.6555462257
"Epb41l2",25366.9608583883,25126.4201939354,24009.1793571891,28631.7713207485
"L1cam",18799.812517499,23808.7515014723,19565.3386939301,23686.1292187909
"Vps4a;Vps4b",41641.3501278744,38301.7879643148,37126.6783852728,50669.8586150313
"Rpl4",317563.295510154,339102.167694024,313557.15652529,397779.800023996
"Gopc",80617.4305458966,81878.1847950814,78345.2613831735,83057.3513668756
"Numbl",163193.817995571,157759.774913178,148720.420274136,153747.011339142
"Abcc5",15795.5003063415,12373.2230985753,12232.9212142109,13628.1862282711
"Sytl2",53531.530419851,46303.5555160596,66386.0027074193,45152.0456718029
"Ubl4a",110377.754175724,153427.390003043,128025.924542747,117040.363028913
"Slc33a1",52728.3272492422,43565.0956275898,76464.0545739486,73363.991017604
"Eif3a",21696.0864919939,24637.2783379898,26161.3725657178,25714.0846649154
"Zc3h15",12612.7,10952.4,11734.5,10649
"Rala",11088.3,14109.1,NA,NA
"Nfic",NA,18453.7,NA,NA
"Casp3",95008.5217473079,89733.2664618372,112344.353394874,79524.6866720509
"Dbt",16805.7,14012.3,NA,NA
"Zswim3",14621.8,NA,NA,NA
"Pea15",167381.777418201,156111.074171108,162381.607345833,123401.48862799
"Nudcd1",24927.3704889404,28634.1059365182,24549.5133140257,25309.7009460838
"Arrb2",21341.2951338005,19570.9297166159,25151.0286897765,22441.762163663
"Sncg",13542338.6154971,12498938.6444651,10431550.1299695,13815702.047035
"Eif5a2",34294.7,NA,23798.3,NA
"Rab23",32317.1488460886,33864.2856278036,34819.4549913693,33201.4644659466
"Eif5a",38160.8528619562,43419.169549809,44335.0131593242,41449.7882211449
"Dok1",25870.7605532974,20865.3459636593,23559.6245940302,26886.2998200673
"Gng2",12001.5,9964.47999999999,17207,13483.8
"Coro7",23158.003290736,22732.2342709778,30109.1690679854,33280.0029232197
"Cox5b",150335.391396643,126272.412556212,144448.391193956,190592.970943424
"Dcaf5",NA,36274.7,NA,NA
"Cnksr2",17379.4676216468,19041.2499086453,19565.4890776592,14950.1921651485
"Tbc1d5",15357.5383881636,18250.553939068,21824.7157240666,20153.7197105806
"Jpt1",581654.662719173,540026.975380396,587996.161915781,569724.777270594
"Hnrnpa1;Hnrnpa2b1",69228.7993854753,133511.395665598,17545.8339715514,NA
"Hnrnpa3",599300.200467715,731524.235776583,519405.48679362,683005.273638648
"Exosc10",5245.56,6236.65,6048.9,3677.25
"Pin1",13372.8204814005,12441.8240453771,12914.090424915,13073.6046070737
"Hsp90b1",26907.8332909783,28166.8495400281,37347.5393456627,41955.6247027177
"Rab11fip2",19230.452598033,19589.1871953097,21959.8846064821,18532.2373229229
"Mtfr1l",28196.3260984824,35493.0093485725,25461.8364229885,26722.1770057527
"Scn11a",24950.9458661187,NA,26034.3999998345,30914.5350228032
"Uqcrh",8947.1555369808,10335.63637369,7401.8995095561,14714.2478014284
"Snrpd2",550097.239816963,627945.857297672,616361.917290787,540164.811559797
"Wasf1",14883.9,NA,15564.5,20439.2
"Fasn",14720.2027107454,15400.4052761817,18012.7421115927,16614.4034714084
"Clic1",1408235.8956067,1491280.85492263,1714520.61942028,1427359.72118886
"Pafah1b1",11045.4253352581,12009.36490521,12405.0170228169,10519.5104822603
"Psap",39625.1485182892,45861.6423453287,42668.2410850973,46612.3129185893
"Pfdn6",33494.4430123758,36098.1611148501,32064.5912146073,32777.5280653318
"Crmp1",105573.551519977,113857.998854447,107683.836158055,95657.1154184204
"Ncoa7",62716.7598142937,61485.2271250298,60253.6512140736,65321.0636278275
"Katnal1",32384.5374361764,32374.5679522379,33132.7206683861,36188.1305097747
"Commd8",16194.3425505118,16124.6937322074,18466.134783184,19479.5481428858
"Jmy",27557.1999997588,27483.0999997595,29602.6999997409,22066.9999998069
"Ndufaf2",54852.4249771104,NA,51272.9124135721,59268.8960532972
"Clip1",26117.8559619101,26527.1781703512,23024.1358811031,20512.3965712107
"Brsk2",21263.679606948,22363.2435855138,17589.7475247533,16990.6623529949
"Ipo13",16500.4,12622.2,14375.1,NA
"Mkrn1",9467.55999999999,11389.6,12633.6,8417.08
"Hid1",14476.9907366514,16099.9019988027,17603.3947937823,20137.3101869443
"Rufy3",345896.51990399,387777.74989652,325551.272759005,296692.137703091
"Cltb",56098.7609660009,60646.2095351208,52215.4101957353,52649.8899196302
"Rab1A",52371.1764911506,59298.4653841455,53446.208704042,44401.8990347576
"Rab1b",22599.5037333756,NA,25529.3087324011,14702.9193407042
"Spag7",50279.9510484692,51369.5580939061,60331.5247944074,59599.3505919838
"Urgcp",8446.93206046204,10308.7084149106,14857.1122323054,12051.133333322
"Wdr37",10131.7745945894,10852.4456217276,13237.7999998951,10886.4863701901
"Stx7",252056.351374875,258036.460386533,245755.154448975,264382.088249401
"Xpo4",NA,3148.24,NA,NA
"Qrich1",NA,NA,12677.3,NA
"Trim9",53410.6236388593,56347.563088362,45778.3972020451,41144.3650312563
"S100a10",74271.3643346427,NA,59058.2564055576,54939.9072857442
"Mob2",29082.1651652979,30557.2702052076,24290.3505496092,30829.341649153
"Ugp2",22889.8810840406,18993.5703688925,19166.4966770882,21618.7492138715
"Smchd1",NA,NA,NA,26781.6
"Anxa7",22638.2758732866,21987.4307419526,22039.8470840252,24862.5865389391
"Sos1",13449.3895481414,12535.7185300395,11300.110431011,11709.6410093467
"Stk24;Stk25",36387.0935634886,27489.0301851148,40423.879114256,21682.5071678872
"Stau1;Stau2",45951.4,42200.5,40949.7,29351.6
"Paip2",19277.5839016212,30890.9837622425,21637.7930849159,NA
"Cacnb4",17561.9,NA,23324.4,15648.4
"Cacnb1",17828.8304117338,24463.2409727279,19806.2783587705,20448.8389085858
"Rps28",18434.8702402265,19047.4759435362,18769.28958625,23024.2925419352
"Stt3b",13607.9323535546,16816.8530723969,8432.42999993126,9648.6453020926
"Cd2ap",57765.1786897817,58042.1253288469,42491.5553943778,44212.5739380183
"Limch1",25074.6821218248,23756.0492749426,28325.0999997525,19808.899999827
"Akap10",27249.1292655366,31368.1606503467,29255.0996803681,27698.3238557584
"Ssb",15190.6112806668,16026.4471159971,20009.5117753563,11727.2826314086
"Csk",20330.4554831579,22739.3767287901,21225.473787334,20786.0118191708
"Atg2a",14522.6400580797,10215.1433750465,14668.1336960498,16246.5827023033
"Arhgef12",12526.9111267309,13073.4348042185,9457.44249713319,13073.393417713
"Rps27a;Uba52;Ubb;Ubc",439877.39157263,526375.304254888,512753.409676906,441375.979985155
"Ppp1r21",23244.1106871857,22568.5831829548,26386.7142901903,28492.8432201302
"RTRAF",23439.1468538243,22038.4198404608,21272.2565000898,27545.5075429051
"Sap30bp",11627.5999999047,12689.82193085,12722.025007477,13938.5737511177
"Ppia",117406.708294665,121355.927199342,108743.380421033,114988.299714798
"Rabl3",138236.295735871,130881.053103862,125385.551626676,117863.884310422
"Fads3",51014.2,50309.3,63874.9,57476.9
"Stk39",16487.4123180631,22417.3416862295,18354.7311413988,17125.1669457343
"Ampd2;Ampd3",39464.9,39859.5,54979.7,50624.3
"U2surp",50899.8381543171,53603.5997992928,57857.9303626338,50836.3623780881
"Prkcq",13465.6716723528,17439.2568996675,15154.9005593968,21143.6861422647
"Lsm12",131209.56048508,146837.667548327,166006.888114843,130801.859044154
"Hacd3",17119.2,12613.1,NA,17562.9
"Ccdc9",6953.66,10183.1,4404.74,7022.93
"Snca;Sncb",1343898.16927844,1497618.62704048,1375831.2797993,1238519.06679823
"Mb21d2",12044.1,15796.9,12514.7,14780.5
"Mdh2",20421.3849644377,20741.8566069042,21736.0906963448,19036.7735748298
"Sh3pxd2a;Sh3pxd2b",3520.9,9940.76000000001,8921.80000000001,NA
"Pym1",151016.106005297,176497.564191088,147383.014412066,158990.107600659
"Ehd3",64726.5050257802,90964.3674388118,88492.6418330045,67299.4750838796
"Ist1",197110.569677665,198165.038502885,225130.953365111,196397.173220385
"Peak1",15280.3909824917,15587.0736897206,15992.7061953329,16450.1887281161
"H3-3a;H3-5;H3c1;H3c2",118313.365119036,121653.641159542,133014.14366317,93296.9282899176
"Reep1",119099.081354524,117993.03276094,116662.777465891,117687.84879806
"Cdc5l",23969.9328894941,21280.59875791,19631.2154672956,22952.44644161
"Rsrc1",12571.9,NA,15981.6,NA
"Dynlrb1",22498.5,19037.5,20100.9,22605
"Kif3a",10580.1072277937,12080.6280777854,10152.4662142451,14076.5391739289
"Ahcyl1",95086.500671984,98491.619245397,98993.0739311418,67076.4237857602
"Nedd8",18494.5,22412.3,10967.5,16770.5
"Impa1",65733.1288020913,67799.5668368964,65941.3020581952,69029.8193681726
"Mapre2",102729.865203875,112548.914662221,89465.6420521691,78606.7087263344
"Diaph2",26757.7921584988,39980.2108690851,NA,41622.9892434545
"Dgkg",21849.1,18173.8,19180.9,26965.8
"Rps7",35116.3118930024,42189.9069789341,39299.1295776086,51690.761135076
"Abi1;Abi2",41324.0400642136,42091.9771185875,38400.5119141908,43546.8151916264
"Cfap36",29123.115141972,25797.2673003051,30587.9838385518,28827.986261122
"Dennd10",9494.93944116495,10809.2252771399,8756.32522632839,10783.9271104954
"Iqcb1",36607.2799121156,41539.7089539393,45047.2845761544,37924.9341981136
"Pnpla8",14963.8948980019,16693.9988755139,14677.0332025363,14859.7022997657
"Gk",10464.7,10321.7,10541.6,17487.6
"Plpp3",6843.83999999999,4645.96,NA,7789.08999999999
"Maoa",25709.7331215044,29195.9307340553,23642.0999997959,28378.7387937526
"Oga",27831.0319033277,30133.2089630319,28564.799321479,19129.4114402016
"Naa25",12627.361860538,15415.0283435669,11481.8332598841,15568.2360747937
"Larp4b",51902.0241116574,56666.168562385,54305.7670561684,60905.00820095
"Eif5",308582.633049512,324159.000771408,348681.576343973,307130.574574995
"Dgki;Dgkz",42961.1801625814,NA,47273.0544683903,40177.4461091011
"Tcp11l1",40833.9395176698,59084.1004678537,55278.2666348914,55599.3177434641
"Iars1",28224.0211961536,26773.2160648307,25254.7574269958,28705.0178649143
"Cfdp1",34653.5291231927,38439.6093694627,34373.0172036297,27847.0096359648
"Caprin1",161930.656653415,176948.342488517,152619.274230205,143378.516810243
"Cops7a",52190.5141669736,48883.4166936264,57823.1834379136,42813.0406103998
"Pcyt2",63405.9211437735,60810.5420780706,53903.0911328756,59060.5685591647
"Lamtor3",NA,7620.36000000001,5336.94,3825.4
"Mob1a;Mob1b",18675.6,19846.7,26478.1,19116.7
"Eif4a1;Eif4a2",25764.9184774682,30109.1178997889,33221.7639098245,37376.9383775641
"Ddx17",12555.87457579,20562.9168821846,25249.6700883999,21535.4605813201
"Nckap1",3321.61,NA,5751.04,4820.4
"Ctdp1",9184.07575914661,10440.0927198021,12771.2197880898,12355.1734511318
"Iscu",38291.8240128081,41438.3200802488,42946.1841842191,44941.2790877135
"Rnf121",235492.999997488,259174.999997236,270314.999997116,276753.999997048
"Gmps",17736.7,16859.4,15987.4,16199.8
"Usp9x",35207.5680171265,32516.6893576441,40540.7460549178,31212.784715269
"Cfap410",11696.6326808585,11187.2548840722,10780.6976092884,13182.7356150605
"Nup62",60807.5010525994,61768.0150511304,61891.5369600789,39790.1276244906
"Mapk8ip3",32741.807471645,34936.9922078389,34921.7053183395,20868.7715997568
"Scn9a",8138.32823934901,9409.94613561958,NA,NA
"Srgap2",34995.2023318395,31764.989550919,35995.6468337793,33961.3090365381
"Gga3",173666.325285344,162894.611304731,165073.629902992,163400.377210759
"Arhgef7",27861.1969790054,29929.1516876005,28870.6763979294,23323.950841578
"Cpt1a",42333.8718685534,43180.9310810634,34820.8373777546,38001.0249957569
"Mprip",13928.0201136871,13174.2241946752,14577.9075412488,16697.0822873434
"Diras2",33462.2471316523,33598.2155722078,32417.4460362996,25434.6350589872
"Retreg2",24151.096887938,18302.8249976512,21659.4933149956,26495.9032310577
"Vezt",28476.3907364306,29979.0689691964,27339.0942396999,29558.5348217126
"Katnb1",40826.0001396184,40416.2210572506,45198.0671542616,47639.7792317928
"Zc3hc1",13962.5,11759.8,10647.5,15316.2
"Top2b",20699.5316565178,18904.7500860885,22428.7004995923,19606.0058754249
"Mfsd6",21603.5323281871,21899.4650175632,66416.5213013116,19676.5148481261
"Sh3glb1",35151.639254988,38008.7693517751,33745.0653564139,38698.7619883737
"Hsp90ab1;Hsp90b1",43470.7,63603.6999999999,64234.8,67891.3
"Psat1",10810.0343649338,12219.2207598534,NA,10371.0329635351
"Ccdc47",14470.6469836594,15023.8917485687,15234.1075903181,10699.620378562
"Arpc4",2882.4,4674.14,NA,4609.48
"Nop2",18945.324673608,20155.7479905829,21686.0352236565,16479.1282995836
"U2af2",52606.2927946828,56268.1150732835,49317.3919901949,60306.444987083
"Parp14",74350.9786171946,73959.4797627892,NA,NA
"Lnpep",63315.1199651712,65512.8826876208,58627.7965062761,58200.0545246119
"Pcyt1a",39338.4888502192,39813.4656842102,38763.3629936697,37820.1585202339
"Abr",36143.6372568441,32202.4846513608,31943.3769664252,43176.7207828317
"Arhgap22",9923.98,NA,8248.3,10674.2
"Becn1",16806.2,18520.3,14765.2,15458
"Pi4kb",28929.3259791909,37125.5339825296,32801.5443834895,32696.7380576379
"Cacul1",25776.4,23796.2,22721.6,27756.9
"Syap1",87790.4250801897,105836.972890867,103786.521266663,102539.815579916
"Arl2",31980.7191535559,NA,30681.1995125645,30873.62929259
"Sfxn3",17324.3,16677.3,17659.1,16441.2
"Stat1",16139.3410548251,16143.7587814041,22075.1527091041,14706.9406094595
"Slc37a1",NA,9844.96999999999,16578,14236.6
"Tsc1",13760.4654000102,14503.5789676128,19432.3797084854,17406.4831811225
"Rela",10066.1668405069,8411.63045287694,7350.54324390631,10376.3367289528
"Fitm2",16635.2,14233.2,15894.7,14358.1
"Tex264",36396.8722941239,37368.1939466102,30553.0112126787,37713.6251342217
"Rab6b",106664.458430694,100974.360723189,99586.109940039,100968.584535977
"Alg2",14423.5,14461.2,13939.6,NA
"Rnf14",35212.5,37213.4,NA,36019
"Dock3",14728.5274182159,9637.58003752059,16329.1602781571,10099.3653075037
"Chmp3",131499.010590999,137037.411135717,123584.391613106,114566.043412173
"Tsg101",11370.3,11342.8,12195.1,13546.6
"Ap1s2",25791,24112,32033.1,NA
"Echdc1",62124.098928391,60025.1963119328,61631.3263134817,70693.256907809
"Fbxl16",23691.5930110565,17261.079954963,22266.4823383188,18990.2102014784
"Elavl3",113859.438128085,113372.334732501,107673.504602242,113390.277809183
"Sar1b",14839,18793.2,15349.8,18210.5
"Tmpo",44758.3962926782,46186.1842487168,45946.247924728,47906.4813449185
"Rpl31",21917.7765313933,19516.2841615806,34026.5335841526,20733.6228907499
"Ap4e1",18908.6052909319,16052.4721761389,20026.2034836768,16295.8985096998
"Lars1",38377.505279605,38318.7063147738,38641.7897700395,48472.0213144726
"Syn2",80123.5439466703,81275.3834027303,83958.4626717313,69079.7339014058
"Ubap1",33627.2500497521,38155.5557095493,33399.2142216575,28675.9194522838
"Brap",21290.8139358706,17777.7688274162,21252.3622760794,23050.6512840932
"Ptpn1",47537.1694291709,52141.753990375,47334.1805899162,52857.2672367648
"Fubp1",100944.468451253,103086.846145251,78197.209989768,98542.7588277642
"Gmds",251376.832692524,272424.251179952,243091.376046436,266707.95885054
"Dtna",57626.0017357956,50410.8735986801,52636.1894592602,58885.5107272208
"Coro2a",64820.6850528468,68848.8661250385,60521.2962237503,57315.8777176518
"Chd4",19628.5493766475,20417.5924775293,21441.1012429009,21687.9908164846
"Camk2d",365317.710829083,367793.919610641,361606.974423764,387736.872542169
"Slc9a9",19619.8493137056,23516.6825185082,19112.4721959849,15525.7781118033
"Vps4b",35399.1102576327,33354.4814236905,31569.1970012705,36888.7581569974
"Gspt1",81756.9939237754,86430.2611544756,78147.399999239,86940.6343539065
"Epn3",10299.6285034058,17076.7043650998,20718.7097675027,20093.6424417713
"Trim2",10916.9907192562,18588.3502705988,16836.4118326138,10567.9396904433
"Zfand5",45326.436320305,28863.6060375502,49093.9909373233,39144.3883102143
"Mical3",35984.323606899,33046.7400277472,39496.0761408435,34066.1519343412
"Arcn1",82008.4855143689,85313.1711088098,82212.9492349803,84417.8119665396
"Prpf40a",9712.29,NA,9686.74999999999,11041.4
"Ehbp1l1",7746.17771475728,4214.56901374648,5811.32222176461,6975.2636409202
"Hnrnpa1;Hnrnpa3",744968.214356498,907041.577891659,573288.445768226,791505.183873986
"Eif3l",55373.7141983649,59593.81572856,58140.2739235117,61008.9012956687
"Gsn",17124.985292314,17003.2948154855,16927.1896630738,20236.8750243808
"Naa80",6353.63000000001,7801.25000000001,NA,6592.42
"Lpp",10279.8235640766,13196.4837872447,13272.717036438,14267.2502600437
"Ebag9",19038.9854594327,20853.1147596305,19985.1071968744,26420.3277682409
"Cacna1b",NA,5919.36392503979,3997.41344048427,3176.92405353553
"Hmga1",23364,21531.9,21057.9,29171.3
"Ripor1",16638.4129542241,14402.5718314275,14632.0799894201,15361.8222430791
"Slc7a14",39683.0088559503,46421.2521147762,47455.9850404298,20588.7278254854
"Sncb",634605.255501522,704656.323290045,509802.553139332,591937.528864881
"Otud6b",15377.981676676,14430.5544811397,15930.0624188658,13355.1824639682
"Hspbp1",10134.3,12792,9012.98,7200.18
"Rap1gds1",11936.2320241151,9970.11180474218,16907.7709036299,10950.8288383415
"Calr",11063.2,13466.5,14531.7,8484.84
"Epb41;Epb41l3",220608,271617,188174,135539
"Snapin",21832.9445582741,21919.4333406011,31177.7202000247,21041.424585574
"Rab33a",10192.2,NA,NA,NA
"Sub1",40752.9,NA,41577.9,NA
"Nudt16",8683.16,NA,NA,NA
"Ina;Nefm",2083420,2190870,1774250,1598800
"Isl1;Isl2",15337.3,15454.6,14580,19122.6
"Set",258221.691692978,281717.340007172,262063.7338941,290552.619066126
"Snca",307813.174693711,301102.005207673,347626.274237169,329145.392228023
"Ube3a",16803.3521249285,13418.064909773,11727.5300183045,13915.6455960623
"Micall1",11599.2950836996,14649.5492616932,10642.9999999135,10153.4131808127
"Rprd2",12560.1709848029,7581.36373900574,15026.1588871119,11699.8853787004
"Sephs1",12748.6779673944,12714.8611559601,11522.5093850717,18084.1077749077
"Xrn1",37839.7122164194,33683.7648492678,25750.2199360941,32313.0441881208
"Pde4c",NA,4813.01,NA,6650.8
"Castor2",2358.21,4941.75,NA,NA
"Snx19",14259.6565943934,13770.8999998874,14817.4383092874,13597.619141057
"Wdcp",NA,12152.9,NA,NA
"Ppp1r3f",10530.8,11557.5,NA,7989.08
"Mtss1",84299.3931588878,97089.0989583767,81253.2815715256,94576.0776129413
"Tnpo1",19160.0150856366,18377.625956511,18295.6964683185,14740.2226759108
"Tmem100",6364.85,6718.35,NA,NA
"Rab3a",67108.2029115383,68465.6436369944,57417.091217816,49993.8057243865
"Camk2b",31911.2613822346,29256.3132669515,33420.9499675599,26769.5408356167
"Nploc4",25706.7930674248,22166.3447206665,23192.7089630004,25983.3826218955
"Yipf4",NA,6619.94,NA,NA
