"","Ox_f_T_Slot2-16_1_3811","Ox_m_T1_Slot2-13_1_3813","Ox_m_T2_Slot2-14_1_3820","Ox_m_T3_Slot2-15_1_3816","Ox_m_TC1_Slot2-5_1_3807","Ox_m_TC2_Slot2-6_1_3798","Ox_m_TC3_Slot2-7_1_3804","Ox_f_TC_Slot2-8_1_3796","V_m_T1_Slot2-9_1_3817","V_m_T2_Slot2-10_1_3814","V_m_T3_Slot2-11_1_3810","V_f_T_Slot2-12_1_3819","V_f_TC_Slot2-4_1_3801","V_m_TC1_Slot2-1_1_3799","V_m_TC2_Slot2-2_1_3805","V_m_TC3_Slot2-3_1_3802"
"Actn4",13.6979250816352,13.6653580347349,13.3911146553924,13.590429928462,NA,NA,NA,NA,13.5294238585526,13.3408901630799,13.9048305500611,13.8721808942782,NA,NA,NA,NA
"Actr10",16.498315443721,16.5830804211521,16.6674632818739,16.4644475374131,NA,NA,NA,NA,16.5557002864053,16.4249865341504,16.5032700349655,16.5222117196698,NA,NA,NA,NA
"Actr2",15.9408848220137,15.7971180923882,15.9557760148663,16.0324082586284,NA,NA,NA,NA,15.8285723675593,15.6664521345471,16.0394522514984,15.9186547439612,NA,NA,NA,NA
"Acyp2",13.5203279688048,13.3774877664254,13.8613359986022,13.8560430985733,NA,NA,NA,NA,NA,11.9300830985087,NA,NA,NA,NA,NA,NA
"Ada",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.7271440315092,NA,NA,NA
"Adam22",12.09298700474,NA,13.2249594238303,NA,NA,NA,NA,NA,12.6426699872661,13.0850342063705,12.7495154126213,13.3398639177002,NA,NA,NA,NA
"Adcy9",NA,NA,NA,NA,NA,NA,NA,NA,13.4195562682449,13.5792507180718,13.7018877602714,13.3806837005091,NA,NA,NA,NA
"Add1",17.3101707582044,17.1498684528832,17.2706968607785,17.1820846440097,14.3746417555435,14.3276275231693,14.2690224537123,14.1292845676529,17.7749955851735,17.8613635480546,17.6111167951154,17.7111939897647,13.3220541508788,13.6338900414548,13.4224850584998,13.6028160464849
"Add1;Add2",NA,16.9024222236647,17.3519571871429,16.7036467759568,NA,NA,NA,NA,16.9292352883389,NA,16.7678740788976,16.5366812947196,NA,NA,NA,NA
"Add2",18.4145331588834,18.4893096745234,18.4969333937433,18.4261383590902,12.4981307233821,12.3530330798707,12.1164880391591,12.5065036837978,18.9068013048219,18.8189346925986,18.812353319152,18.8701545218015,NA,NA,NA,NA
"Add3",14.1654441759028,13.7299735537018,13.7410350596537,13.947045029363,14.0970806029972,13.8324011087197,14.0681857086003,13.7870406837087,13.1832443501355,12.9490296168613,12.280071858155,13.0306713304528,NA,NA,NA,NA
"Adh5",NA,NA,NA,NA,NA,NA,NA,19.9248835257382,NA,NA,NA,NA,NA,NA,NA,NA
"Adnp",13.8280520553256,14.0629446214752,13.6344435905695,13.8774476138708,NA,NA,NA,NA,13.2173034308721,12.8157795421946,12.5055163368015,12.8582394289302,NA,NA,NA,NA
"Adprh",14.4917904779985,14.1867797071415,14.6961742604599,14.5689002184504,NA,NA,NA,NA,15.2094609811866,NA,15.0116858882429,NA,NA,NA,NA,NA
"Adrm1",12.6270162635376,11.2430847050274,12.6566751232382,12.6978862998823,NA,NA,NA,NA,12.481133418709,12.2072309522792,11.9151922175744,NA,NA,NA,NA,NA
"Adsl",15.8926935680476,15.6321580131599,15.8087746298052,15.4931236367718,NA,NA,NA,NA,15.7391804318535,15.8144983581137,15.5311854284268,15.8376738081115,NA,NA,NA,NA
"Adss2",NA,NA,NA,NA,NA,NA,NA,NA,12.8263419192484,13.1186215556409,NA,13.0046049698633,NA,NA,NA,NA
"Afdn",14.9181259563549,14.999621924947,14.8614338273273,14.845078490439,NA,NA,NA,NA,15.2194347001187,15.0757104805847,15.3083449149719,15.1812891956012,NA,NA,NA,NA
"Aff4",14.0162986635328,13.5907656913058,13.6881039162607,13.3628068722435,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aftph",14.9182745644752,14.9148848084869,14.7538793235056,14.6314888186543,NA,NA,NA,NA,14.2413056811514,14.4231353855388,14.4588081466518,14.3386817986417,NA,NA,NA,NA
"Ag2",16.1470333068429,16.3066975133834,16.3872858628906,16.3286683958272,NA,NA,NA,NA,17.2050409760697,17.4691824900817,16.8092405845555,17.1719154322824,NA,NA,NA,NA
"Agap1",14.1422267449572,13.8977036747621,13.6063473741811,13.8947798769113,NA,NA,NA,NA,14.6096193337399,14.3151173553044,14.6592674659467,14.8486166323473,NA,NA,NA,NA
"Agap1;Agap3",15.8343071384291,15.7936298182434,15.6332604119465,15.5647590870719,NA,NA,NA,NA,15.5338395999183,15.6593132310682,15.5436466000112,15.5741586505566,NA,NA,NA,NA
"Agap3",15.1910548825903,15.2310565976946,15.3539118965305,15.3003155517504,NA,NA,NA,NA,15.0486149526592,14.9518265601819,15.1985205878957,15.1389891281862,NA,NA,NA,NA
"Agfg1",17.461931094426,17.4630171085858,17.8499487415611,17.5295148061086,15.050553308802,15.3567787794188,15.4601698873927,15.4119587689869,18.1197707860721,18.2131292642905,17.7538110258689,18.1369515784577,14.5714853420517,13.9762766137258,14.5439683877638,14.3273387841586
"Agfg2",15.6895787756292,15.6683068703854,15.5406294328857,15.6145669396167,NA,NA,NA,NA,14.8425084280678,14.9909948302405,14.9227680719908,15.1357667109559,NA,NA,NA,NA
"Agpat1",13.005472502701,13.6867321175969,12.7935837987098,13.9942614957549,NA,NA,NA,NA,13.3869192178399,14.0876493269841,14.2246235041716,14.3310026471995,NA,NA,NA,NA
"Agpat4",13.8988658698457,13.3091921069599,13.4564314252437,13.5376552205176,NA,NA,NA,NA,14.9495619453125,15.032861033002,15.0406725713031,15.1193607002697,NA,NA,NA,NA
"Agtpbp1",NA,NA,NA,NA,NA,NA,NA,NA,17.0580949771773,16.8835973801283,16.6067177725052,16.7933076023915,NA,NA,NA,NA
"Ahctf1",NA,NA,NA,NA,NA,NA,NA,NA,13.0542702278785,13.3665817666975,14.0046769431469,13.7054163988713,NA,NA,NA,NA
"Ahcy",14.7794715689599,15.0680172280167,14.7726955369593,15.2655757116362,NA,NA,13.1520281008816,12.5022823617489,15.0848882677222,14.9566847057435,15.1670378200972,15.2242469431502,NA,NA,NA,NA
"Ahcyl1",15.7329124040612,16.2593830754237,16.3844774422448,16.1701699479793,15.5926295565235,15.401124341268,15.5081483241688,15.3929621481663,16.5369529173128,16.5877133489154,16.5950399698453,16.0335181524695,14.9508404634324,14.7645730805289,15.036111998152,14.7956340577252
"Ahcyl1;Ahcyl2",16.1526504472952,16.2596079782002,16.5315066315315,16.3864562147286,NA,NA,NA,NA,15.7444062805782,16.0688935257294,15.5076956637928,15.516251567163,NA,NA,NA,NA
"Ahcyl2",13.1335626368396,13.4723761071697,13.2982876336476,12.6964572109198,NA,NA,NA,NA,11.4779959981423,12.7626893158093,12.8426803339486,NA,NA,NA,NA,NA
