"","Ox_m_TC1_Slot2-5_1_3807","Ox_m_TC2_Slot2-6_1_3798","Ox_m_TC3_Slot2-7_1_3804","Ox_f_TC_Slot2-8_1_3796"
"Rpl29",25332.3,25665.6,27532.6,NA
"Acadl",18857.4852802271,28670.3739731619,22162.2193037207,22324.9562354732
"Cog1",4660.89744953727,5916.55450075827,5362.97479475392,5013.92341246133
"Hspa9",45750.9916698845,44959.7605657307,45762.9148057672,50827.6148770486
"Eps15",9099.32081655199,8406.16164746579,7249.42623780668,7529.76991204262
"Sorbs2",9578.89555358207,8904.12921524764,9600.63322391785,7244.30064762607
"Vcl",17848.3272827478,18922.6052491625,18826.945602212,17005.2729313994
"Sptbn1",9025.89526054742,8811.92195005573,9934.48433242483,9893.40198276144
"Mapt",34124.3394183289,37633.1605585632,41022.8329639304,42337.6268632644
"Krt76",1185503.5669562,1340709.99998513,390212.999995671,350610.999895991
"Krt6a",233024.650459062,322907.896294962,82924.6373232205,94365.1083025616
"Tpd52",7310.72455068711,8739.93818708077,4262.64843108987,NA
"Septin2",9021.29441408063,9078.6953367883,9948.56820160251,5777.11367847991
"Krt16",17978.3282267077,41571.6147944104,11727.5653147507,NA
"Crip2",81425.1249372359,84588.8804472844,90966.0999993468,NA
"Rbm14",14725.6242477508,12397.6596232497,14515.810730496,18764.49367842
"Prdx1",123439.743908312,106395.30552821,115972.374620144,140705.90005936
"Idh1",7675.79693222472,8502.01108236333,7216.88999994596,6299.13111269825
"Qars1",12709.6503373162,11290.7069630314,6767.66728542608,13219.9335583669
"Epb41l2",27759.2499433433,35066.2968209401,32753.546918526,29224.986119769
"Dlgap1",6109.49040957773,6257.09871323913,6937.26188460213,7287.39181562047
"Dctn4",20440.824138312,19391.6716186396,19169.1023561834,18661.2574509168
"Nucks1",8830.45,6700.84,8534.88,5679.96
"Cth",57666.1,50468.5,48675.6,31629.5
"Tln1",10913.6688625429,10193.7327445307,12196.1890434651,10604.1439739082
"Nefh",15068.4226048648,18174.63467436,15848.7145611881,18509.0856461161
"Tuba4a",147504.640831703,160946.085897028,142111.836499096,177671.490480614
