,logFC,AveExpr,t,P.Value,adj.P.Val,B
Tagln2,-0.868936012,17.88960957,-10.59983916,2.44E-08,1.68E-06,9.525187247
Pgm1,-0.724336129,17.78828231,-10.50991401,2.73E-08,1.87E-06,9.410507106
Pkm,-0.71467263,21.15414528,-10.46051213,2.91E-08,1.95E-06,9.347156666
Nol6,-1.350784233,12.6416834,-10.44795725,2.95E-08,1.97E-06,9.331017275
Uap1,-1.071029007,14.94461267,-10.44047652,2.98E-08,1.97E-06,9.32139308
Clic4,-1.012819214,17.36593405,-10.40121344,3.13E-08,2.05E-06,9.270785839
Igfbp3,-1.886757764,14.14132465,-17.84357897,2.77E-08,1.88E-06,9.249476648
Klf13,-1.473827703,12.47050584,-10.36116416,3.30E-08,2.14E-06,9.219002004
Rab27b,0.922360736,13.91955529,10.31321083,3.50E-08,2.26E-06,9.156780299
Mfap1a,-0.858347029,13.30514973,-10.23272778,3.89E-08,2.47E-06,9.051812663
Ppp1r13l,-0.879590226,15.47250925,-10.22829089,3.91E-08,2.47E-06,9.046006314
Sparc,-0.961633595,15.31167242,-10.17828834,4.17E-08,2.62E-06,8.980427446
Rnf213,-0.681317371,13.51453762,-10.1429461,4.36E-08,2.72E-06,8.933916941
Nudt16l1,0.709023429,14.1252257,10.12053933,4.49E-08,2.77E-06,8.904361167
Dclk1,-0.679815402,18.58354824,-10.10807556,4.57E-08,2.80E-06,8.887897732
Acsbg1,0.752062172,17.61853753,10.05508004,4.89E-08,2.97E-06,8.817711397
Raver1,-0.948287675,14.66194639,-10.02683624,5.07E-08,3.06E-06,8.780183418
Ubl5,-0.963857279,15.18104238,-9.997677518,5.27E-08,3.15E-06,8.741350133
Cdk17,-1.07267964,13.31952211,-9.987688018,5.34E-08,3.17E-06,8.728025227
Rtn4,-0.729020605,19.30801423,-9.978647533,5.41E-08,3.18E-06,8.715956953
Itih3,1.048190348,15.94826502,9.939129659,5.69E-08,3.33E-06,8.663100552
Ddx27,-1.114598531,12.56972146,-9.932387501,5.74E-08,3.33E-06,8.654065862
