ProteinGroup,GeneSymbol,881_dLSC_f1_5.27.2024.d,882_dLSC_m1_5.27.2024.d,883_dLSC_m2_5.27.2024.d,884_dLSC_f3_5.27.2024.d,885_dLSC_f2_5.27.2024.d,886_dLSC_m3_5.27.2024.d,889_LDRG_898_5.28.2024.d,890_LDRG_1248_5.28.2024.d,891_LDRG_1095_5.28.2024.d,892_LDRG_1236_5.28.2024.d,893_LDRG_1094_5.28.2024.d,894_LDRG_1249_5.28.2024.d,896_paw_pool_5.28.2024.d,897_paw_f_5.28.2024.d,898_paw_m_5.28.2024.d,901_SCN_IIa2_5.28.2024.d,902_SCN_IIa3_5.28.2024.d,903_SCN_IIb2_5.28.2024.d,904_SCN_IIb3_5.28.2024.d,905_SCN_IIa4_5.28.2024.d,906_SCN_IIb1_5.28.2024.d
Pltp,Pltp,14.09022059,14.02712798,14.10166805,14.30321908,14.16711727,14.18508087,14.6932558,14.78085614,15.0103311,14.58323613,14.80673907,14.82286776,15.31397856,15.38222495,15.36871078,15.18929892,15.65319596,15.72411021,15.44745566,15.52168904,15.42037061
Plvap,Plvap,NA,NA,NA,NA,NA,NA,14.90181819,15.60926078,15.21721813,15.04590466,14.88021266,15.49741343,14.80969143,14.7989057,14.79956789,15.13739627,15.41035919,14.42416928,14.83695259,15.19388937,14.63837959
Plxdc1,Plxdc1,13.20653933,13.310352,13.77455018,13.8851595,13.68459254,14.01826311,12.64582202,13.90247988,13.19045142,12.89037365,13.35116105,12.59040887,12.91707775,12.62604628,12.93437038,14.0640767,13.70858306,14.0170378,13.76684574,14.07891529,NA
Plxdc2,Plxdc2,14.61729291,14.51132345,14.72711404,14.72001481,14.63375592,14.66288432,16.45282004,16.61381541,16.6724888,16.43608868,16.59786197,16.39586912,16.31051616,16.17827847,16.51182416,17.46982728,17.52905514,17.56693176,17.3365475,17.65868576,17.45255626
Plxna1,Plxna1,16.87610292,16.84690159,16.88460176,16.81886843,16.8244537,16.89341252,17.09968111,16.77226914,16.94472803,16.68703805,16.99924797,16.75383708,15.95785262,16.13677418,16.01714089,17.18406258,17.10719404,17.25895927,17.0950664,17.08365948,17.2127531
Plxna1;Plxna2;Plxna3;Plxna4,Plxna1,16.01045574,16.24584198,16.25559959,16.12449171,16.0893907,16.27516637,14.76605145,14.77271241,14.6443205,14.24456535,14.67666856,15.01517435,NA,NA,NA,NA,NA,NA,NA,NA,NA
Plxna1;Plxna2;Plxna4,Plxna1,15.88955644,15.90690242,16.14318879,15.48941837,14.95173843,15.56173305,14.44467265,14.79005278,14.31918496,14.17223708,14.44718756,14.41958409,NA,NA,NA,NA,NA,NA,NA,NA,NA
Plxna1;Plxna3,Plxna1,15.47353481,15.41643972,15.50089263,15.61638319,15.39411973,15.14033637,14.59710397,13.71662657,13.92601796,13.98890654,14.33823497,14.11533632,NA,NA,NA,14.29688037,NA,14.2836744,14.41113358,14.53523892,14.38008898
Plxna1;Plxna3;Plxna4,Plxna1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.22960969,15.02164135,15.23736616,14.81735334,15.00328583,15.22520325
Plxna1;Plxna4,Plxna1,15.92672667,16.06663074,16.16092907,15.83613945,15.93396774,16.04185183,13.54215342,13.93125112,13.63056368,13.27751238,13.48855847,13.20621187,NA,NA,NA,12.57851037,12.82305783,12.69692509,12.70386584,13.26589395,12.4637292
Plxna2,Plxna2,14.81660155,14.98108764,15.07231384,14.86513258,14.69839723,14.98495104,14.44848298,14.58776143,14.56371574,14.36739901,14.40736484,14.47381716,NA,NA,NA,NA,NA,NA,NA,NA,NA
Plxna2;Plxna4,Plxna2,15.77264459,15.93118457,15.92022507,15.94406232,15.75624825,15.89716951,13.53409144,14.27033402,13.87372722,13.62552891,13.8285897,13.95915839,NA,NA,NA,NA,NA,NA,NA,NA,NA
Plxna3,Plxna3,13.31850483,13.46881461,13.30945751,13.16347048,13.40240306,13.43633155,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.51700485,13.31859666,13.07040771,13.24570547,13.42201936,13.14397756
Plxna4,Plxna4,15.78908815,15.86252514,15.77231603,15.66173683,15.67508225,15.91148562,13.82731427,14.00493649,13.49688077,13.69246264,13.43850125,13.40049357,12.0045365,NA,NA,13.62510313,13.34795909,13.35740367,13.21849188,13.50240217,13.1149387
Plxnb1,Plxnb1,17.22299161,17.23084599,17.21021637,17.23064375,17.14469935,17.27519239,17.679722,17.53578016,17.69324513,17.45243475,17.80710655,17.41197167,NA,NA,NA,14.96487213,14.66500003,14.889919,14.74392483,14.88377278,14.85479699
Plxnb1;Plxnb3,Plxnb1,14.49466186,14.58335313,14.88280542,14.35210551,14.47852317,14.57102969,13.89392717,14.55822936,13.73395802,13.46684121,13.90898361,14.07844272,NA,NA,NA,NA,NA,NA,NA,NA,NA
Plxnb2,Plxnb2,15.26135024,15.19432717,15.2632983,15.24656519,15.12355638,15.27850648,16.55377283,16.25894921,16.45987488,16.30355992,16.44092356,16.3462213,16.71305166,16.69172799,16.71715116,17.05765197,17.00207029,17.1187849,16.86202569,16.94862506,16.96817018
Plxnb3,Plxnb3,13.49614857,13.68179153,13.42839474,13.55240077,13.24507085,13.5607767,14.5481838,14.41865267,14.29653797,14.22108969,14.40928143,14.11831386,NA,NA,NA,15.06183279,14.93023173,15.12662632,14.85911437,15.09330103,15.05717869
Plxnc1,Plxnc1,13.46973099,13.34096999,13.46046681,13.12429839,13.30058826,13.30289893,13.64597382,14.01849335,13.96572368,14.00232184,13.93520386,13.94493983,NA,NA,NA,NA,NA,NA,NA,NA,NA
Plxnd1,Plxnd1,NA,NA,NA,NA,NA,NA,13.73873927,13.94067588,13.93752762,13.81287461,13.81933454,13.9556629,NA,NA,NA,13.23954902,13.29517893,13.19993849,13.23772967,13.3445552,13.32941457
Pm20d1,Pm20d1,14.93040446,14.7140505,14.6012007,15.03829441,14.92736725,14.77177929,NA,NA,NA,11.61825242,12.77584276,11.78939915,13.36953339,13.45239398,13.60816913,NA,NA,NA,NA,NA,NA
Pm20d2,Pm20d2,NA,NA,12.05189205,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.91709385,13.07988538,13.10244573,13.04489781,13.16908099,12.24734901,NA,NA,NA
Pmch,Pmch,14.11000018,14.03046601,13.75864539,13.92428873,13.77915001,13.85841456,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pml,Pml,NA,12.77485739,12.61673961,12.43229908,12.38414415,12.31333871,15.17453509,15.32715865,15.31018507,15.1774107,15.34492099,15.37983885,15.40360285,15.67427088,15.42334471,15.49661055,15.33503608,15.64049436,15.44627883,15.47318102,15.44190936
Pmm1,Pmm1,16.58190516,16.66599588,16.88391991,16.52061187,16.51499064,16.76876441,16.25246701,16.4115432,16.64116819,16.69699783,16.36849409,16.3676289,14.15485113,14.3005209,14.00841006,16.69357972,16.59689999,16.67696753,16.55134478,16.7290756,16.70132483
Pmm1;Pmm2,Pmm1,16.06456042,16.35452091,16.30902605,16.11272016,16.14684117,16.44799169,15.77634344,15.79714013,15.80775903,15.62208551,15.51259584,16.00170777,15.38331291,15.42754073,15.51335769,16.86916056,16.56381442,16.7758518,16.51687099,16.90433779,16.76374316
Pmm2,Pmm2,16.45137517,16.49591942,16.55403335,16.55317145,16.50777514,16.56932817,16.05835529,16.15582741,16.23907362,16.28445864,15.95799836,16.30112989,17.71925589,17.52244188,17.58409866,15.97858565,16.22036869,16.08856443,16.16439321,16.02655472,16.00606474
Pmp2,Pmp2,14.38439007,14.63461592,14.5640597,14.32587579,14.43351226,14.75122242,20.9549971,19.61038146,20.31922564,19.36839368,20.89875774,19.80813437,15.26708282,15.39250172,15.08615389,22.04729555,21.99057458,22.22484083,22.23107567,22.0546331,22.06845868
Pmpca,Pmpca,16.02783044,16.11723705,16.07111403,16.09021669,16.07727285,16.24073989,16.2004352,16.32075593,16.47300775,16.39796458,16.34229013,16.29661009,15.58721257,15.46549197,15.49530728,15.04285449,15.13501787,14.71959683,14.9956265,15.10919279,14.77703616
Pmpcb,Pmpcb,15.63067252,15.85629433,15.69809044,15.62814077,15.71994378,15.72358886,15.86482052,15.92122839,15.90220658,16.11966674,16.03568212,15.90091384,15.44651132,15.41880787,15.50203801,14.74180152,14.57031117,14.43999772,14.58308773,14.61840755,14.27228661
Pmpcb;Uqcrc1,Pmpcb,19.35200246,19.68401575,19.64924214,19.64272864,19.56515044,19.64059447,16.90491681,18.56859819,17.86705547,17.17396986,17.40036248,18.28612905,NA,NA,NA,16.02136824,16.45002233,15.95117769,16.54213862,16.17998099,16.13323856
Pmvk,Pmvk,13.66191657,13.48967212,13.50239552,13.29833531,12.85305149,13.27698639,15.24140761,15.343005,15.25623788,15.72302018,15.23762554,15.70978468,15.7871174,15.71167527,15.80466341,14.46652281,14.64867777,14.78525893,15.18839838,14.62205305,14.81112165
Pnck,Pnck,14.91203108,14.87086808,15.09227212,14.86950498,14.79611507,15.01623215,13.34934128,12.13429518,11.68751207,11.98778881,11.69693383,12.25583853,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pnisr,Pnisr,NA,NA,NA,NA,NA,NA,NA,13.31905111,12.66425171,NA,12.36440007,12.70284365,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pnkd,Pnkd,15.69611639,15.73118433,15.63249321,15.81876805,15.74057883,15.68380516,15.59244418,14.61951061,15.34252077,14.79117758,14.96179659,15.09925187,NA,NA,NA,12.92108407,12.45043288,13.09418658,NA,13.16616622,13.619601
Pnkp,Pnkp,13.92730518,13.86877756,13.93043746,13.80743702,13.89139637,13.8482134,16.14029881,16.01096475,16.13081152,16.09073298,16.07411739,16.1789928,17.25927881,17.20521671,17.20171936,14.56267826,14.53786279,14.46344747,14.433019,14.67956621,14.51736699
Pnma2,Pnma2,13.17661107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pnma3,Pnma3,12.26933951,12.44243497,12.97586284,12.2898932,12.51293172,12.66889916,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pnma8a,Pnma8a,13.04696689,12.07326165,12.60486725,12.05575314,11.92057325,12.75378072,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pnn,Pnn,14.97933096,14.82278149,14.86856923,14.85634962,14.75141834,14.88789644,15.4381297,15.21906836,15.01373914,15.21883821,15.29380434,15.38007407,14.85028006,14.92788094,14.88169352,13.69653379,13.62480945,13.62423402,13.50381654,13.5671795,13.55040207
Pno1,Pno1,NA,NA,NA,NA,NA,NA,13.33191682,13.55931148,13.8354736,14.03735467,13.89064526,13.99679471,16.19312518,16.13595177,16.37639875,NA,NA,NA,NA,NA,NA
Pnp,Pnp,16.8828917,16.90146354,16.86375986,16.85292706,16.86564758,16.89040268,16.93447708,16.90137289,16.81385408,17.392473,16.81932801,17.26377541,18.07389945,18.02188928,17.94094759,17.51831521,17.70538904,17.96200694,17.97705978,17.73449248,17.74146361
Pnpla2,Pnpla2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.06197011,13.95821283,14.20088586,15.87415928,16.19227481,15.39834272,16.1603882,15.99650314,15.82533944
Pnpla6,Pnpla6,15.09270693,15.07835154,15.13613591,14.96241141,14.99332955,15.04197988,14.9624877,14.98827726,15.05082568,15.17647935,15.17847155,15.20035064,13.72501969,13.70797027,13.69847459,13.80753216,13.90623488,13.15566904,13.10909682,13.36175398,13.23433519
Pnpla6;Pnpla7,Pnpla6,13.61559516,13.67768661,13.97429807,13.53248986,13.48186249,13.68398149,NA,13.90745351,14.07761537,13.49345775,13.39149091,14.09636205,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pnpla7,Pnpla7,11.77075619,12.23377981,12.33152678,12.18366168,12.04216713,11.71294329,12.56549648,12.70737718,12.4746458,12.25656736,12.50317815,12.54141889,NA,NA,NA,12.24870145,13.00456459,12.89701347,NA,12.46791627,12.61693703
Pnpla8,Pnpla8,16.36427241,16.29147901,16.23380795,16.21762725,16.36322448,16.3768812,15.88350001,16.25602047,16.18170716,15.96975275,16.14000635,16.07789918,15.21553625,15.00803605,15.28180379,15.10558529,14.98339953,15.06472945,14.87860417,14.62096271,14.79512728
Pnpo,Pnpo,17.36217955,17.22635552,17.29372621,17.27057491,17.12498512,17.26273392,15.87989337,15.70095238,15.83971642,15.86484657,15.84523123,16.12144408,13.50720909,13.60560355,13.37227045,15.58651683,15.59909281,15.85250007,15.66757139,15.48146767,15.57890067
Pnpt1,Pnpt1,16.46600286,16.44716671,16.56232907,16.44028569,16.37248613,16.50938376,16.1844944,16.21053317,16.30431299,16.35553134,16.45204741,16.44503355,14.39759678,14.27645664,14.48228241,16.85278113,17.09587827,16.68578845,16.92942062,16.8219418,16.78888777
Podn,Podn,NA,NA,NA,NA,NA,NA,14.58298261,14.56770114,14.67103897,14.24438629,14.33618047,14.30561559,15.3240907,14.97338909,15.38925321,15.75123883,15.99890882,15.60938466,15.65225889,16.04795506,15.69659779
Podxl,Podxl,13.97209843,14.03504198,14.05403985,13.87755668,13.82880718,14.11536246,13.86589094,14.09266614,14.06042323,14.07771155,14.2119748,14.08189654,12.38093279,NA,12.76862006,13.76340491,13.26919061,13.31091272,13.1641346,13.76509518,13.22641328
Podxl2,Podxl2,13.91853999,13.96971934,13.80749346,13.76594119,13.67586721,14.11557247,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pof1b,Pof1b,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.77883854,19.64950519,19.6601448,NA,NA,NA,NA,NA,NA
Pofut1,Pofut1,14.32348043,14.90780442,14.716169,14.7240233,14.5491432,14.82265566,15.36009643,15.43803173,15.5580901,15.51400168,15.4468987,15.53121398,14.52559755,14.6383783,14.29943032,13.97063819,13.88503919,14.14946868,14.0910583,13.85432354,13.999764
Pofut2,Pofut2,13.30306444,13.21462195,13.58198863,13.375554,13.29148419,12.98880628,13.93412218,14.62257018,14.51030898,14.49161318,14.49274336,14.59551408,13.93559793,13.84384988,14.01693927,14.74403437,14.73739573,14.99299951,14.88026109,14.88191945,14.95565882
Poglut1,Poglut1,15.68167032,15.89532362,15.82411508,15.86542218,15.81749269,15.86841471,17.40412664,17.36759631,17.51321621,17.5995048,17.5454077,17.48894225,14.00541806,13.90418073,14.05072023,15.20416888,15.23249684,15.27167653,15.14936637,15.15140967,15.14365417
Poglut2,Poglut2,NA,NA,NA,NA,NA,NA,14.72921089,15.41265544,15.06032808,14.67047957,14.69074555,15.29166796,13.84194286,13.67973583,13.64262712,15.37120149,NA,NA,15.23523087,NA,14.46761192
Poglut3,Poglut3,12.46603204,12.58725345,12.30212931,12.4647872,12.47689003,12.66402098,14.76659478,15.156208,15.18035929,15.13589867,15.10895142,15.17927821,13.80717071,13.93272054,13.9180066,14.78264947,14.8802203,14.78141567,14.79240393,14.85927001,14.6929687
Pogz,Pogz,13.34003518,13.39004997,13.53026943,13.3208809,13.46780699,13.42687966,14.11733216,13.6334212,13.8081408,13.75174096,14.02613033,13.92146163,12.79025237,12.95505599,12.91042919,13.35473212,12.68375862,12.71092843,12.71527054,12.66285003,12.38793543
Pola1,Pola1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.1054093,13.92254992,13.85744156,NA,NA,NA,NA,NA,NA
Pola2,Pola2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.91320246,14.98943363,14.69638919,NA,NA,NA,NA,NA,NA
Polb,Polb,13.45296092,14.03253663,13.63676154,13.77218064,13.46484276,14.10912554,14.29825364,14.81284505,14.41668692,14.52598002,14.5936108,14.61615794,17.73872651,17.88662927,17.80508793,NA,NA,NA,NA,NA,NA
Pold1,Pold1,13.67276381,13.76937906,13.71776625,13.87062654,13.86189958,13.86625189,13.74991966,14.48113125,13.87171651,13.83602457,13.69302831,14.01332686,14.81470423,15.02006356,14.83023283,12.93684389,13.41099495,12.8987101,13.10999209,13.05905026,13.18871252
Pold2,Pold2,12.83403841,12.23797772,10.91614071,12.17985312,11.36751304,12.13942665,13.41714304,13.33345564,13.36856446,13.30960279,13.37123392,13.43227409,13.79299693,13.99334394,13.70598014,12.36442287,12.35720104,12.59832116,12.1323719,12.11578975,12.57600486
Pold3,Pold3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.49999174,13.61377312,13.39110306,NA,NA,NA,NA,NA,NA
Poldip2,Poldip2,15.07234731,15.20438315,15.13107321,15.00470345,15.07706116,15.3180511,15.29580532,15.20030471,15.23361142,15.15981447,15.34261694,15.65792063,14.592464,14.70088317,14.43211635,15.6273316,15.58473024,15.42182181,15.33921589,15.27618106,15.32875038
Poldip3,Poldip3,14.60442335,14.78649349,14.5541636,14.61868831,14.66948545,14.76686224,14.77563307,14.623445,14.51147333,14.64299334,14.57958629,14.84517947,15.68836373,15.9053765,15.67231184,13.97719557,14.02099313,14.09592894,13.90624634,13.78768394,13.73357223
Pole,Pole,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.3555851,14.39581648,NA,14.1311587,14.36010804
Pole3,Pole3,NA,NA,NA,NA,NA,NA,14.22037077,13.8091952,14.27072218,14.05402417,13.78478279,14.17707117,14.68656754,15.13066152,15.18020607,13.79188528,13.6519374,13.74081375,13.26947883,13.66073132,13.44211412
Polg,Polg,NA,NA,NA,NA,NA,NA,13.20868516,NA,NA,NA,12.20702687,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Polg2,Polg2,NA,NA,12.10181485,NA,NA,11.84302988,14.50443418,12.43256278,12.19708151,NA,12.35518865,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Polk,Polk,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.1834617,NA,NA,NA,NA,NA,NA
Polr1a,Polr1a,NA,NA,NA,NA,NA,NA,10.73192993,12.62934524,11.14122585,11.85693902,12.00239311,12.26702365,12.64435181,12.9136651,12.96035653,NA,NA,NA,NA,NA,NA
Polr1b,Polr1b,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.9970164,13.9562413,14.03446918,NA,NA,NA,NA,NA,NA
Polr1c,Polr1c,14.01942702,14.14191551,14.29908297,13.94303551,14.09065651,14.06967082,14.9433193,15.21855245,14.55230306,14.61420803,14.61667074,14.90566561,15.73731543,15.47420052,15.75985954,13.63054784,13.64137967,13.91994087,13.64754262,13.49716233,13.4726746
Polr1d,Polr1d,13.69280073,13.73929541,NA,13.78200509,NA,NA,13.61703119,13.77339681,14.26719634,14.2424596,14.02471548,13.79166148,14.18249293,14.54751071,13.78436077,NA,NA,NA,NA,NA,NA
Polr1e,Polr1e,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.42637615,12.81648771,13.59391628,12.9960462,NA,NA,NA,NA,NA,NA
Polr1f,Polr1f,NA,NA,NA,NA,NA,NA,13.86794703,14.03505422,13.91302433,13.78610542,13.90207044,14.10348292,13.68596423,13.4547748,13.93877096,NA,NA,NA,NA,NA,NA
Polr1g,Polr1g,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.73063715,13.47640093,13.82899784,NA,NA,NA,NA,NA,NA
Polr2a,Polr2a,14.71905041,14.72052417,14.80672952,14.76195689,14.67211728,14.81288858,15.61895567,15.55635892,15.57593541,15.5081191,15.6259693,15.68410209,18.02113712,17.92356523,18.19491916,16.27911125,16.33838906,16.26600119,16.33382288,16.24796391,16.02503609
Polr2b,Polr2b,14.56002447,14.76465964,14.57530816,14.49081503,14.49578488,14.6984525,15.24638718,15.35267554,15.23036086,15.24476735,15.34915509,15.30697628,15.09215998,15.11439619,15.00881959,13.74440787,13.82065109,13.81146515,13.88779485,13.80770167,13.76828902
Polr2c,Polr2c,14.56567949,14.62885459,14.48194417,14.39490814,14.54046588,14.4810314,15.04678711,14.54152221,14.97940126,14.87119406,15.02464983,14.74258937,15.72362372,15.7380507,15.56018619,13.80029222,14.14144164,14.03473488,13.97134593,13.96790597,14.07887537
Polr2d,Polr2d,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.9113639,NA,NA,NA,NA,NA,NA
Polr2e,Polr2e,14.67199033,14.67263753,14.74483346,14.5073,14.39320907,14.84289446,14.86238376,15.16479174,15.43043763,15.44301156,15.31586155,15.25084319,15.57035069,15.65991958,15.62731668,13.85790249,14.0870947,13.51378081,14.03466417,14.18457495,14.29741303
Polr2g,Polr2g,13.62105184,13.7812615,13.71764072,13.68447175,13.30773669,13.64474465,17.01330801,17.02374476,17.04848726,16.96131877,17.08130623,17.21393376,15.19885024,15.09744302,15.00955917,11.87352354,12.49929984,12.0497954,12.83988467,12.55623457,12.41020846
Polr2h,Polr2h,15.71685386,15.3901764,15.40477453,15.36613189,15.35414026,15.68913773,15.46391047,15.33542562,15.84602852,15.90030362,15.74716554,15.54777664,15.74545562,15.3580628,15.34429817,14.40640232,14.61171258,14.7372779,14.38147168,14.80559784,14.72208652
Polr2i,Polr2i,12.82904283,12.70697276,12.70245004,12.49423406,12.42000144,12.59812893,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Polr2l,Polr2l,13.76516176,13.62387006,13.00492268,13.01757051,13.61853463,13.05488747,13.53667219,14.10207412,13.88218449,13.83942364,13.92213837,13.74021293,NA,13.71157019,13.05041157,12.74745873,NA,12.87545372,NA,12.97963419,12.81148909
Polr2m,Polr2m,13.62607649,14.03739167,13.76015645,13.98962907,14.01694993,14.29031789,11.77122534,NA,11.6706297,11.89060249,11.32157301,11.9599621,NA,NA,NA,13.42640891,12.81990763,12.83095088,NA,13.03995059,12.43139574
Polr3b,Polr3b,13.88442812,13.68164472,NA,NA,13.16965259,13.93386582,14.23680504,14.09130593,14.34540076,14.37398875,14.29719739,14.06946337,13.60577042,13.29832699,13.25123788,13.23526484,NA,NA,NA,NA,NA
Polr3c,Polr3c,13.70215104,13.17363287,13.22040225,13.32145723,13.63426358,13.69332352,13.10645946,13.64259055,13.0104454,13.38630132,12.89171608,13.05864015,13.94815731,13.84855448,13.40985496,NA,NA,NA,NA,NA,NA
Polr3d,Polr3d,13.44243629,12.93077018,13.58259943,12.87957169,13.80429953,NA,14.25033678,14.25083894,14.11578699,14.15243923,14.03169753,14.15378886,12.75475809,12.16599984,12.80929184,NA,NA,NA,NA,NA,NA
Polr3e,Polr3e,NA,NA,NA,NA,NA,NA,12.77743162,13.21897738,12.54228754,12.62451917,12.38975825,12.57059569,12.52030929,12.50254592,12.07363616,NA,NA,NA,NA,NA,NA
Polr3f,Polr3f,NA,NA,NA,NA,NA,NA,13.59899068,13.95998326,13.79338673,13.96068828,13.93302092,13.59424528,12.81925433,12.61694746,12.57809259,NA,NA,NA,NA,NA,NA
Polr3g,Polr3g,NA,NA,NA,NA,NA,NA,13.45144295,12.96271349,13.32793151,NA,12.37858207,13.24760121,13.46117246,13.73315306,13.03984095,NA,NA,NA,NA,NA,NA
Polr3h,Polr3h,NA,NA,NA,NA,NA,NA,11.51057133,12.69235396,13.10112214,13.0923723,12.52336102,12.21086004,NA,NA,NA,NA,NA,NA,NA,NA,NA
Polr3k,Polr3k,NA,NA,NA,NA,NA,NA,12.97525329,NA,12.14282503,12.52380451,12.36559795,12.40783071,NA,NA,NA,NA,NA,NA,NA,NA,NA
Polrmt,Polrmt,12.9686452,12.62364605,NA,12.91613511,12.7527026,12.27781625,11.61150847,12.23166255,NA,12.01805248,11.723033,12.12017307,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pom121,Pom121,14.32454595,15.16880266,13.23256771,15.00727453,14.16757895,14.05613615,15.03058986,16.18384118,15.23502673,15.20102994,15.54940698,15.87814083,14.23800561,14.50339031,14.50263767,NA,NA,NA,NA,NA,NA
Pomgnt1,Pomgnt1,NA,NA,NA,NA,NA,NA,13.80519787,13.72596924,13.53634883,13.53955523,13.84890233,14.06120722,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pomgnt2,Pomgnt2,16.04135075,16.20630634,16.05994117,16.24048797,16.14384247,16.19551763,16.75839893,16.69405432,16.81596601,16.87122807,17.00020495,16.99026521,NA,NA,NA,14.11675269,14.05078227,14.14037731,14.18733135,14.08405079,14.1829352
Pomk,Pomk,13.51366592,13.57037754,13.00923204,13.37412931,13.57265286,13.60907483,NA,14.03278906,14.00407778,14.12858182,14.37162577,14.54327462,NA,NA,NA,12.28899292,11.85443987,12.05005949,11.96806194,12.51735198,11.89150273
Pomt1,Pomt1,NA,NA,NA,NA,NA,NA,13.28560586,13.00402018,13.03798328,NA,13.40483273,12.54031427,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pomt2,Pomt2,NA,13.76671524,13.9716603,14.03343161,13.9919735,13.31558831,12.60937105,13.30179706,12.8276338,12.84141798,12.43865709,12.72363587,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pon1,Pon1,13.54162511,14.00516244,13.46220123,13.72972042,13.86990434,13.56985985,14.81061893,15.5459841,14.67900929,13.88390185,14.95665466,15.67706051,14.88651305,15.64421159,14.58390349,15.78524828,16.61451064,16.58034072,16.65743634,15.79540867,16.00375581
Pon2,Pon2,15.91127077,15.71875673,15.94368063,15.76844508,15.8116931,15.82972346,15.80745194,15.67661848,15.81372317,15.79645933,15.83039189,15.77052263,16.49060402,16.61078249,16.58709362,14.92313559,15.06119976,14.99726535,14.96618081,14.80282289,14.86130824
Pon3,Pon3,13.86450935,13.97775682,14.07402026,14.00896358,14.19690727,14.01046409,14.75280425,14.86880201,14.87129028,14.68678841,15.15234313,14.81942602,16.26681738,16.07093355,16.28665394,16.49978424,17.04494164,16.44040685,16.83279746,16.41961806,16.44607267
Pop4,Pop4,NA,NA,NA,12.11903189,NA,NA,12.89188394,13.726623,12.80724794,13.53917032,13.1796696,13.10519947,13.68019139,13.65981919,14.15136403,NA,NA,NA,NA,NA,NA
Pop5,Pop5,NA,NA,NA,NA,NA,NA,NA,12.5855236,NA,12.55541356,12.07663525,12.0659647,NA,NA,NA,NA,NA,NA,NA,NA,NA
Por,Por,16.90377282,17.02661845,16.95853759,16.8589932,16.87049121,16.94166962,17.06185966,17.06848996,17.07841567,16.96881783,17.18468334,17.03789536,16.06021696,16.10999608,16.06589624,16.65621893,16.85147655,16.6287246,16.77925852,16.75515407,16.79050773
Porcn,Porcn,14.11706977,14.28008305,14.43768792,14.29004911,14.2339174,14.21631219,13.79442591,14.79304151,15.44515203,14.42465781,14.8555559,14.85193123,NA,NA,NA,NA,NA,NA,NA,NA,NA
Postn,Postn,NA,NA,13.78235327,13.41934137,NA,11.98749141,17.57275353,17.56889424,17.78892488,17.44898698,17.60937187,17.5259961,19.24600353,19.77445456,19.13976405,18.79869757,18.64271969,19.09053166,19.21942107,18.87627116,19.08666472
Pot1,Pot1,13.96154917,14.42809841,NA,13.83533988,14.20344742,NA,NA,12.09352277,11.72769725,12.30893077,NA,12.61064832,12.21445573,12.57552979,12.11809752,NA,NA,NA,NA,NA,NA
Pou2f1,Pou2f1,NA,NA,NA,NA,NA,NA,11.78838392,12.87967705,12.05767026,12.50764105,NA,12.58784313,12.81086882,13.01887302,13.0293459,12.66743092,12.32314486,13.18245488,11.92807047,12.48204659,12.38672743
Pou2f1;Pou2f3,Pou2f1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.99380434,14.00419485,13.95768044,NA,NA,NA,NA,NA,NA
Pou4f1,Pou4f1,NA,NA,NA,NA,NA,NA,13.32923925,13.31637942,13.13903435,13.33665252,13.12316816,13.38793605,NA,NA,NA,NA,NA,NA,NA,NA,NA
