ProteinGroup,GeneSymbol,881_dLSC_f1_5.27.2024.d,882_dLSC_m1_5.27.2024.d,883_dLSC_m2_5.27.2024.d,884_dLSC_f3_5.27.2024.d,885_dLSC_f2_5.27.2024.d,886_dLSC_m3_5.27.2024.d,889_LDRG_898_5.28.2024.d,890_LDRG_1248_5.28.2024.d,891_LDRG_1095_5.28.2024.d,892_LDRG_1236_5.28.2024.d,893_LDRG_1094_5.28.2024.d,894_LDRG_1249_5.28.2024.d,896_paw_pool_5.28.2024.d,897_paw_f_5.28.2024.d,898_paw_m_5.28.2024.d,901_SCN_IIa2_5.28.2024.d,902_SCN_IIa3_5.28.2024.d,903_SCN_IIb2_5.28.2024.d,904_SCN_IIb3_5.28.2024.d,905_SCN_IIa4_5.28.2024.d,906_SCN_IIb1_5.28.2024.d
Abcb1b,Abcb1b,NA,NA,NA,NA,NA,NA,NA,14.23056089,NA,13.92232423,NA,NA,13.88677832,13.72324316,13.77231236,NA,NA,NA,NA,NA,NA
Abcb1b;Abcb4,Abcb1b,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.7634256,13.99919893,13.71153504,NA,NA,NA,NA,NA,NA
Abcb4,Abcb4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.48662294,14.9357682,14.57101191,15.12828438,14.59558385,NA,14.94006578
Abcb6,Abcb6,14.34518361,14.14372219,14.51116538,14.36491094,14.48705998,14.37077319,15.24236861,15.18638724,15.29008572,15.4112537,15.39457947,15.3980329,15.01854202,15.06011389,15.1453323,13.4808667,13.38596867,13.28420701,13.44101187,13.29361668,13.27469306
Abcb7,Abcb7,17.54899727,17.54164675,17.48653305,17.60783501,17.59320782,17.56624863,15.61035387,15.49246687,15.44784057,15.4935651,15.59382507,15.4954496,14.45764286,14.15383735,14.67814076,14.50904686,14.3882942,13.94149077,14.46603202,14.29516732,13.97411073
Abcb8,Abcb8,16.28887959,16.30140464,16.28533767,16.3618029,16.25154951,16.34891461,15.35868982,15.30428402,15.31426144,15.27601235,15.34465647,15.17705854,13.65487094,13.64812161,13.75567,14.33436387,14.51252686,14.1543855,14.32473107,14.19993636,13.89029637
Abcb9,Abcb9,16.25587311,16.2351891,16.09599622,16.25607253,16.26715928,16.22745023,17.92491065,17.86556776,18.03247428,17.84762659,18.02603638,17.86572224,NA,17.58075173,18.19457893,16.90952157,16.91893904,17.05409711,16.82299788,16.84072638,16.94093668
Abcc1,Abcc1,14.07449865,13.75577246,13.89556623,13.7518952,13.84106215,13.93060779,13.99734079,13.97110927,13.9289759,13.96757784,13.99085059,13.9096296,14.92087158,14.96330158,14.79847416,13.51945945,13.77169683,13.85535004,13.84584006,13.89247675,13.72783063
Abcc2,Abcc2,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.79199462,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Abcc3,Abcc3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.26630341,11.58815712,13.01110842,NA,NA,NA,NA,NA,NA
Abcc4,Abcc4,13.32070213,12.93712029,13.03106376,13.10479417,13.23239398,12.96116154,13.56612796,14.15180527,13.42079768,13.73888272,13.44085426,13.89963131,14.08488035,14.31500343,14.26506893,13.86533713,13.82794114,13.65142969,13.69294057,13.7840249,13.47619171
Abcc5,Abcc5,12.87226225,13.39782084,13.43411548,13.0360257,13.04518196,13.08883014,14.82431402,15.16303559,15.11935545,14.9582842,14.87829035,15.23257373,12.81160614,12.42103551,12.85051788,NA,12.15142252,NA,11.75201261,11.56782777,12.22703526
Abcc9,Abcc9,13.41615097,NA,NA,NA,NA,13.25786071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
