"","GeneID","X170_SCN_T_m_4","X175_SCN_T_f_5","X177_SCN_T_f_6","X178_SCN_T_m_1","X181_SCN_T_m_3","X197_SCN_T_f_1","X171_SCN_T_f_2","X183_SCN_T_m_2","X185_SCN_T_f_4","X187_SCN_T_f_3","X173_SCN_TC_f_1","X174_SCN_TC_m_5","X182_SCN_TC_m_3","X186_SCN_TC_m_4","X191_SCN_TC_f_3","X193_SCN_TC_m_2","X194_SCN_TC_m_1","X199_SCN_TC_f_2","X189_SCN_TC_f_6","X198_SCN_TC_f_4","X201_SCN_TC_f_5","X195_SCN_TC_m_6"
"38","Acot9",8756.795487,10233.68924,4171.235251,6125.682169,8567.404062,6409.291239,11546.87346,22225.27114,10874.76765,5964.745489,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","Acox1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4446.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","Acp1",48860.37838,68333.14983,91237.00772,80108.85696,55682.81105,106183.7745,83566.8,44861.31421,53557,89737.20114,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","Acrbp",NA,NA,9736.03,NA,NA,8072.47,NA,NA,NA,7946.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","Acsl4",NA,NA,8226.33,6554.14,NA,9861.29,8094.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","Acss2",14429.70403,15727.29328,14377.34703,12903.82945,12836.07215,11847.13893,14168.61771,13972.81343,17112.22437,13859.60875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","Acta1;Acta2;Actb;Actc1;Actg1;Actg2",184751.0437,108800.5078,112922.5477,91552.34162,144261.2603,129272.9046,117233.9459,165069.9122,105416.8539,116716.7571,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","Acta1;Acta2;Actc1;Actg2",6400.885337,NA,NA,5212.486924,12335.46648,7479.164619,3609.165393,NA,NA,8121.840971,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","Actb;Actg1",25124.08687,30202.20236,19481.90793,26204.17624,33819.19183,25570.81265,19137.34829,31384.21328,21812.08162,19639.52554,72409.86544,NA,81460.40699,106974.0768,53360.34095,80556.27886,83901.73682,72926.37915,67016.11771,68596.3408,71407.33132,79234.22039
"47","Actbl2",149107.9753,116205.1362,105340.7186,84235.68249,115448.9632,116799.0374,102563.6927,124894.6062,88188.16239,126148.7397,44734.76872,989006.2186,47471.85784,46288.6243,52693.10828,54689.8952,50625.21909,59652.39593,47390.77525,55760.00742,61491.02806,64408.98798
