"","GeneID","X144_DRG_T_f_1","X147_DRG_T_m_2","X148_DRG_T_m_1","X149_DRG_T_f_3","X152_DRG_T_f_4","X156_DRG_T_f_2","X164_DRG_T_m_3","X145_DRG_T_m_4","X143_DRG_TC_m_4","X151_DRG_TC_f_2","X154_DRG_TC_f_4","X157_DRG_TC_m_3","X158_DRG_TC_f_5","X161_DRG_TC_m_2","X162_DRG_TC_f_1","X165_DRG_TC_m_1","X160_DRG_TC_f_3"
"53","Acadsb",6486.889493,7818.950528,7782.15335,7687.367377,7831.840444,6865.59864,8979.114553,9121.16935,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","Acadvl",36650.63175,55567.89772,45546.07661,35421.28012,34116.15923,32245.90545,50984.00638,49301.66252,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","Acap2",7659.507353,6429.335339,10000.87932,8840.827273,8070.89634,7170.359472,9210.219063,10640.33035,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","Acat1",10299,9802.61,10156.5,7683.34,8544.38,10105.4,8131.44,7697.93,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","Acat2",7485.849645,10022.30025,NA,7553.951978,7727.923426,7667.980712,4034.359091,NA,3663.58,4628.01,7660.23,3678.01,7854.52,5308.03,6278.17,NA,9658.88
"58","Acbd3",142217.0856,123307.4034,104729.6645,121758.2362,126724.8899,139520.265,115578.3648,125973.4443,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","Acbd5",258640.9761,274036.0656,204377.5566,226563.8532,215807.8146,252080.3803,242340.182,273786.6958,25185.61127,22965.55296,27690.55937,28290.71167,25093.47025,23539.68133,28574.3224,27627.11808,23565.81302
"60","Acbd6",63371.56075,62824.7616,64011.9043,65357.61526,72875.88093,68410.40909,72735.37679,57955.38994,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","Acin1",340934.3535,366740.81,312968.3762,296279.9884,320436.1132,352242.6044,337208.5622,325297.0539,139268.7944,116554.6913,117410.8219,147910.1877,125334.1906,122370.2965,122710.3108,123050.2979,115569.7719
"62","Acly",51874.19124,49160.50112,45806.89106,50207.72827,52683.31709,50256.64689,42853.65098,46658.3763,7427.540598,5621.72846,7209.265911,6584.691159,7623.714253,9820.492518,7795.264236,6545.757886,12168.15516
"63","Aco1;Ireb2",NA,NA,449610,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","Aco2",25665.30596,31259.40236,28669.08386,25990.64996,27542.51585,25841.38023,28162.34364,28679.65976,8338.07094,11034.52893,9483.953597,6710.986388,9718.117846,6332.794857,10613.47586,7963.32525,10926.58567
"65","Acot1",19630.03305,21690.91898,23330.556,20634.0978,21717.74635,19829.62719,23682.50007,22623.09982,68197.93448,76646.88409,76423.33084,71257.17314,75995.6556,69471.16637,65823.46017,52950.49551,74458.12448
"66","Acot13",6573.17,6413.49,7347.53,8795.06,6589.94,5426.97,7398.86,6478.97,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","Acot7",62200.07455,76354.84439,59948.95873,55713.50984,57465.22721,63843.81261,63082.24623,67099.45081,6767.565535,6032.557606,7266.424857,7947.399653,4692.909715,7301.14245,5219.5933,8639.980723,5678.668972
"68","Acot9",23803.33053,35297.45012,34206.62428,23465.15062,23240.25974,24315.88374,27573.84561,32721.72549,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","Acox1",8471.353465,8798.626292,NA,10443.87738,NA,7373.604152,10093.56127,5503.190149,7351.322285,8305.469971,9446.54,5977.51,10472.59504,8788,8343.387122,4987.723933,10321.9
"70","Acox3",NA,4597.2,NA,NA,NA,4884.33,3723.6,4932.7,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","Acp1",48635.5202,37623.1337,44997.90954,51021.32107,51330.38616,48452.32719,44817.67483,43043.04552,15402.21031,13375.70984,NA,13981.19223,17033.47123,15293.29254,8924.776793,15193.87589,10960.31823
"72","Acrbp",NA,NA,NA,NA,NA,NA,NA,NA,20177.7,19500.3,16765,NA,24907.7,20369.4,14233.2,20970.5,NA
"73","Acsbg1",12396.07185,13987.65723,13882.90778,11862.59805,13097.34823,9171.574275,15210.17029,12153.02557,15084.39413,14588.62316,15101.64556,13571.61522,14514.32839,14141.21818,13599.20843,10046.70473,14453.54947
"74","Acsf3",18939.14055,20143.95477,21904.30475,19355.88114,NA,19824.44443,18285.47633,21110.34253,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","Acsl3",40980.99084,47074.18791,52335.96501,49287.00266,46879.34169,39437.76627,46908.49645,49090.86312,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","Acsl3;Acsl4",47368.6,41855.2,15643.8,28915.2,33545,39777.5,42068.3,28595.8,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","Acsl4",97321.97072,87600.28735,83204.88418,96875.71169,93473.32299,101304.9479,90032.81904,83817.21125,NA,NA,853.119,1356.62,NA,NA,NA,NA,NA
"78","Acsl6",19243.70854,25293.19586,17354.03355,19492.59726,18955.56968,19516.09839,25248.22974,23295.80648,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79","Acss2",28185.62265,29432.9091,28033.82088,27058.48636,28460.31701,28048.54451,26876.43691,28047.47423,15733.23881,21414.63569,19250.93559,17776.68162,21271.39224,13210.12567,20092.3983,14318.5034,18890.79555
"80","Acta1;Acta2;Actb;Actc1;Actg1;Actg2",132594.5558,124053.0002,135221.2789,118361.2371,131741.2685,131587.3546,110220.78,111072.3367,135381.211,94372.47834,95770.26979,105578.6105,90733.03445,112598.7722,136761.1554,111978.2321,127171.985
"81","Acta1;Acta2;Actc1;Actg2",33270.73738,18188.35564,NA,12127.544,NA,17060.69713,9391.709599,30875.76803,47871.6,NA,NA,NA,NA,NA,NA,NA,NA
"82","Actb;Actg1",122941.5673,108659.0659,118082.4724,111848.7204,116429.9834,100336.8962,104314.7064,113826.0628,82121.25872,35505.99262,24252.30741,28131.17547,16997.0239,31898.8168,21105.33857,19428.29761,19997.60583
"83","Actbl2",142753.1471,146525.8398,136803.8391,126671.0398,138484.627,144856.996,139056.6515,130483.9123,136478.7691,84526.61023,84597.02142,115864.7747,75730.12616,91755.07882,97638.14756,77677.57165,107099.7984
"84","Actl6a",7580.234746,7488.801608,11615.15625,10141.7357,8180.927012,9417.480685,9514.912471,7953.50607,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85","Actn1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7067.34,NA,NA,NA,NA,NA,5195.51
