GeneID,X208_LSC_TC_m_5,X209_LSC_TC_f_2,X212_LSC_TC_m_2,X214_LSC_TC_m_6,X219_LSC_TC_f_1,X231_LSC_TC_f_6,X232_LSC_TC_f_5,X238_LSC_TC_f_4,X241_LSC_TC_m_3,X213_LSC_TC_m_1,X216_LSC_TC_f_3,X223_LSC_TC_m_4,X143_DRG_TC_m_4,X151_DRG_TC_f_2,X154_DRG_TC_f_4,X157_DRG_TC_m_3,X158_DRG_TC_f_5,X161_DRG_TC_m_2,X162_DRG_TC_f_1,X165_DRG_TC_m_1,X160_DRG_TC_f_3,X249_paw_TC_m_4,X250_paw_TC_f_4,X262_paw_TC_m_5,X264_paw_TC_f_5,X265_paw_TC_f_2,X246_paw_TC_f_1,X260_paw_TC_m_2,X268_paw_TC_f_3,X269_paw_TC_m_3,X270_paw_TC_m_1,X173_SCN_TC_f_1,X174_SCN_TC_m_5,X182_SCN_TC_m_3,X186_SCN_TC_m_4,X191_SCN_TC_f_3,X193_SCN_TC_m_2,X194_SCN_TC_m_1,X199_SCN_TC_f_2,X189_SCN_TC_f_6,X198_SCN_TC_f_4,X201_SCN_TC_f_5,X195_SCN_TC_m_6,X207_LSC_T_m_2,X211_LSC_T_f_3,X220_LSC_T_m_5,X221_LSC_T_f_5,X224_LSC_T_m_1,X225_LSC_T_f_6,X227_LSC_T_m_6,X228_LSC_T_f_2,X233_LSC_T_f_4,X236_LSC_T_f_1,X237_LSC_T_m_4,X240_LSC_T_m_3,X144_DRG_T_f_1,X147_DRG_T_m_2,X148_DRG_T_m_1,X149_DRG_T_f_3,X152_DRG_T_f_4,X156_DRG_T_f_2,X164_DRG_T_m_3,X145_DRG_T_m_4,X251_paw_T_f_2,X255_paw_T_f_4,X266_paw_T_f_1,X247_paw_T_m_2,X253_paw_T_m_4,X254_paw_T_f_3,X257_paw_T_f_5,X272_paw_T_m_3,X261_paw_T_m_1,X170_SCN_T_m_4,X175_SCN_T_f_5,X177_SCN_T_f_6,X178_SCN_T_m_1,X181_SCN_T_m_3,X197_SCN_T_f_1,X171_SCN_T_f_2,X183_SCN_T_m_2,X185_SCN_T_f_4,X187_SCN_T_f_3
Abcb7,NA,3410.71,2022.04,NA,5618.74,2608.94,2824.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9368.1,8183.28,19163.9,14223.8,15220.3,8410.67,15560,NA,NA,11050.2,15665.3,13982,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Abcb8,NA,2367.258234,3140.779691,1948.251126,NA,NA,2301.91797,1382.445604,2685.295326,3370.068691,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9845.13,NA,7083.3,NA,5003.14,4043.67,7550.55,4724.57,4070.43,3684.94,7556.56,6496.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Abcb9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11760.28929,10310.07096,13100.24679,10116.86543,12326.815,9600.884091,13046.37739,9705.991351,9641.873867,9776.64355,11997.086,9996.585114,9745.367166,8313.950604,10752.44885,11045.00504,11031.20932,9470.924402,8794.705365,8596.535103,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Abcc10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7513.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Abcc3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20967.5,18310.3,NA,NA,24093.4,28821.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Abcc5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8180.891928,NA,12845.05601,6633.933061,NA,8171.750131,8867.096762,7672.843961,8278.449734,8233.520424,9057.111468,6103.015345,33734.14145,38192.0601,36463.34544,33041.95235,33587.53084,32850.87336,34082.16195,39732.17436,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Abcd1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4562.162453,4174.415986,3312.30792,NA,5488.942882,NA,3018.653492,4690.981543,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Abcd2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4648.930615,8479.87504,NA,5815.214924,5897.707997,7556.768208,6934.165004,7358.364028,3949.173246,5785.935626,10239.74124,NA,27311.30171,29080.36975,29875.11223,26147.53424,27892.76237,24352.76353,29409.98803,29167.70917,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Abcd3,NA,NA,3471.97,3278.41,3271.63,3450.84,1959.68,2196,5290.31,NA,4745.65,4358.59,24690.84817,24136.30637,28383.34921,21642.44299,23782.84641,19256.76274,21790.84554,26855.2253,25916.09147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30186.27446,30790.18062,22717.06812,26529.02613,27824.56158,32413.46299,28727.34381,35845.42274,30549.82063,25519.41711,23533.15038,27106.39649,142381.5971,166378.8023,139099.0292,131674.9431,137940.402,151890.3066,149083.4319,157928.4738,9648.255622,8974.576161,9063.848124,NA,8260.745681,5723.71534,7698.382957,5349.416011,7809.903602,8014.651389,6195.251767,7950.123697,6979.97911,5729.813238,6041.92538,7184.966029,NA,6276.963206,8769.80852
Abcd4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4098.55,NA,3879.71,NA,2715.62,NA,3134.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
