"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0045121","GO:0045121","membrane raft","61/1390","275/9913",0.000135003675903152,0.0010326904559345,0.000716082382097374,"Mapt/Atp1a1/Coro1c/Add2/Sorbs1/Anxa2/Hspa8/Prkar2b/Slc25a4/Slc25a5/Nf2/Park7/Hk1/Tuba1a/Stim1/Ldhb/Vcl/Ctnnd1/Tubb5/Prkar2a/Eef2/Aqp1/Atp1a2/Atp1b1/Atp2b1/Atp2b2/Birc2/Casp3/Cbl/Cblb/Cd44/Cntn1/Csk/Eno2/Flot1/Flot2/Gabbr1/Grip1/Grk2/Gsk3b/Hck/Hdac6/L1cam/Lamtor1/Mal2/Mapk3/Nedd4/Pacsin2/Pikfyve/Plpp3/Prkca/Ptk2b/Ptpn11/Rgs7/S100a10/Sdcbp/Slc9a1/Slc9a3r1/Snap25/Stat6/Stx2",61
"GO:0005929","GO:0005929","cilium","74/1390","351/9913",0.000153835786880372,0.00111863306756221,0.000775676222346776,"Mapt/Map1a/Map4/Atp1a1/Map1b/Cct8/Atp2b4/Prph/Eps15/Ran/Prkar2b/Capzb/Pgam1/Calm1/Ehd1/Kif5a/Mapre1/Septin9/Kif5b/Ddx6/Septin7/Rac1/Pkm/Ldha/Dctn1/Prkar2a/Arhgap35/Arl3/Atp1b1/Atp2b2/Camsap2/Camsap3/Cbl/Ccp110/Cep170/Cep41/Cfap36/Cyld/Dld/Dnajb13/Dync1i2/Ehd3/Erc1/Gnb1/Grk2/Gstm5/Ift22/Iqcb1/Kif2a/Kif3b/Kif5c/Kifap3/Klc1/Klc2/Lztfl1/Marcks/Ocrl/Pafah1b1/Pfkm/Pik3r4/Ppp3cc/Prkca/Ptpn23/Rab15/Rab28/Septin4/Slc9a3r1/Snap29/Sqstm1/Stard10/Tbcc/Tomm20/Tulp3/Vps13a",74
"GO:0019867","GO:0019867","outer membrane","40/1390","162/9913",0.000187875713325913,0.00131944967695437,0.000914925341181836,"Pebp1/Tigar/Slc25a4/Hk1/Plec/Snca/Ass1/Eno1/Phb2/Vdac3/Atad1/Hadhb/Armcx2/Asl/Bcl2l2/Cisd1/Cnp/Cpt1a/Cpt1c/Cyb5r3/Dnm1l/Emd/Foxo3/Fundc2/Lpin1/Mff/Mlxip/Pi4kb/Ppp1cc/Rab11fip5/Rps6kb1/Sh3glb1/Slc25a46/Slc44a1/Syne3/Tomm20/Tomm34/Vps13a/Vps13c/Wasf1",40
"GO:0031968","GO:0031968","organelle outer membrane","40/1390","162/9913",0.000187875713325913,0.00131944967695437,0.000914925341181836,"Pebp1/Tigar/Slc25a4/Hk1/Plec/Snca/Ass1/Eno1/Phb2/Vdac3/Atad1/Hadhb/Armcx2/Asl/Bcl2l2/Cisd1/Cnp/Cpt1a/Cpt1c/Cyb5r3/Dnm1l/Emd/Foxo3/Fundc2/Lpin1/Mff/Mlxip/Pi4kb/Ppp1cc/Rab11fip5/Rps6kb1/Sh3glb1/Slc25a46/Slc44a1/Syne3/Tomm20/Tomm34/Vps13a/Vps13c/Wasf1",40
"GO:0099522","GO:0099522","cytosolic region","15/1390","40/9913",0.000188172789243068,0.00131944967695437,0.000914925341181836,"Hspa8/Sncb/Dbn1/Hnrnpab/Marcks/Nedd4/Plcb3/Ppp3cc/Prkca/Prkcb/Prkcd/Prkce/Sh3gl2/Stxbp5/Trim9",15
"GO:0101031","GO:0101031","chaperone complex","13/1390","32/9913",0.000197430719840458,0.00135158919979672,0.000937211347549148,"Cct8/Bag3/Hspa8/Stip1/Hsp90ab1/Tcp1/Ptges3/Cct6a/Rpap3/Cdc37/Ruvbl2/Stub1/Tsc1",13
"GO:0042734","GO:0042734","presynaptic membrane","41/1390","168/9913",0.000205712879910483,0.00135158919979672,0.000937211347549148,"Ncam1/Atp2b4/Stxbp1/Septin7/Cltc/Apbb1/Atp1a3/Atp2b1/Atp2b2/Cadm1/Cadm3/Cntn1/Cntnap1/Cyth1/Dgki/Dnm1/Dnm1l/Epn1/Exoc3/Flot2/Gabbr1/Itsn1/Itsn2/Kcna1/Kcna2/L1cam/Marcks/Picalm/Pick1/Pip5k1c/Prrt2/Rims1/Septin3/Snap25/Snap91/Stx1b/Stx2/Stxbp5/Syap1/Syp/Syt7",41
"GO:0019897","GO:0019897","extrinsic component of plasma membrane","36/1390","146/9913",0.00039668018669872,0.00243379822880777,0.00168763061884982,"Fermt2/Anxa2/Ctnnd1/Rac1/Eno1/S100a6/Eea1/Cnksr2/Crkl/Cyld/Cyth1/Dchs1/Dgki/Epn1/Esyt1/Esyt2/Gnao1/Gnb1/Gng3/Gphn/Hck/Kcnab2/Numb/Picalm/Ptk2b/Ryr2/S100a10/Snap25/Snap91/Snx9/Stac/Stac2/Stxbp5/Syap1/Sytl2/Usp8",36
"GO:0044753","GO:0044753","amphisome","7/1390","12/9913",0.000435642124118323,0.00256593211105692,0.00177925414903063,"Chmp4b/Chmp2b/Chmp1a/Chmp3/Chmp5/Chmp7/Sqstm1",7
"GO:0071782","GO:0071782","endoplasmic reticulum tubular network","10/1390","23/9913",0.000569660821040841,0.00328951199601035,0.00228099482522029,"Rtn4/Stim1/Atl1/C2cd2l/Emd/Lnpk/Rab3gap1/Reep1/Reep5/Spast",10
"GO:0016600","GO:0016600","flotillin complex","6/1390","10/9913",0.000951637998136945,0.00504968271083478,0.00350152245876847,"Coro1c/Sorbs1/Ctnnd1/Cbl/Flot1/Flot2",6
"GO:0030904","GO:0030904","retromer complex","8/1390","17/9913",0.00109418802809025,0.00570333405792175,0.00395477368326984,"Snx2/Dctn1/Snx12/Dennd4c/Snx1/Snx3/Snx6/Tbc1d5",8
"GO:0099571","GO:0099571","postsynaptic cytoskeleton","8/1390","17/9913",0.00109418802809025,0.00570333405792175,0.00395477368326984,"Nefl/Nefm/Nefh/Dbn1/Cttnbp2/Ina/Itsn1/Marcks",8
"GO:0098684","GO:0098684","photoreceptor ribbon synapse","6/1390","11/9913",0.00184577399729679,0.00876742648715974,0.00607945934593509,"Hspa8/Cltc/Amph/Dnm1/Pacsin1/Sh3gl2",6
