"","GeneID","explant.logFC","explant.AveExpr","explant.t","explant.P.Value","explant.adj.P.Val","explant.B","yang.logFC","yang.AveExpr","yang.adj.P.Val"
"201","Elavl1",-0.249390898488578,17.0436259844165,-3.88990705056567,0.00145595988729598,0.00822393429464756,-1.72592820889161,-0.3339011135,22.51847163,0.01088585432
"202","Elavl2",0.416600586689331,18.3961646618332,5.49482279701668,6.2111099355967e-05,0.000704086626232979,1.4752478379683,-0.6242187777,22.87019381,0.01470795072
"203","Elavl3",-0.026857552405934,16.0743953454485,-0.252018613354545,0.80445415973357,0.875675790711434,-7.23125644661492,-0.645361405,20.10501589,0.01605956698
"204","Elavl4",0.637635208695706,17.4957560082407,7.07096073515957,3.84790686382757e-06,8.43839224523591e-05,4.32857090232888,-0.5556476014,22.17833442,0.02708993428
"205","Emc2",0.29060787296963,17.4724408680851,3.44096664328623,0.00364828638524187,0.0163551392046109,-2.64206621276847,-0.3014589017,20.33103107,0.01847352931
"206","Endod1",0.0374174195207857,18.4893579539908,0.605394926035348,0.553985182664508,0.681799945845719,-7.07269952629851,0.393533016,23.82321109,0.01240858288
"207","Eno1",-0.664837598938355,21.1471959929767,-7.13943217038736,3.43623806507365e-06,7.88127996576524e-05,4.44481480366922,-0.317785761,25.89784324,0.04055983558
"208","Entpd2",0.553389972536316,19.058395705185,2.92633176201609,0.0104408073273766,0.0365745235662421,-3.67462572668266,0.3697944266,24.37803968,0.04786320791
"209","Epb42",0.632189671145994,13.9858418374719,2.44293055299181,0.0274487101911436,0.0745348756095501,-4.60110595100141,-0.9304223096,21.66993678,0.02797717025
"210","Epdr1",0.397206294248107,21.3132659632723,3.28197503183895,0.00505364927895826,0.0208598621861238,-2.96420271369665,-0.5277305482,24.192219,0.01758786335
"211","Ephx1",0.476484370490915,18.3612126761825,6.24536195817832,1.58309260128308e-05,0.000239862515345921,2.87605791283491,0.6326817588,22.24142711,0.00102260587
"212","Erp29",0.221386698759659,18.3700659482824,2.46639600801362,0.0262123342533451,0.0719065497074208,-4.55758827070174,-0.4867193029,23.32972435,0.00289217338
"213","Erp44",0.189354811536596,17.6220002097931,2.32710974904487,0.03440437863031,0.0883674108655224,-4.81321349219238,-0.4084948756,22.20732721,0.02596252325
"214","Etfdh",0.131931487152329,18.3889383580543,2.24819374919761,0.0400606355740786,0.0992254844139992,-4.95498558609145,0.3090619811,21.59660868,0.03587225267
