Gene,Tissue,Common.Unique
Kif5a,SCN,Common
Kif5b,SCN,Common
Kif5c,SCN,Common
Kifap3,SCN,Common
Klc1,SCN,Common
Klc2,SCN,Common
Kpna3,SCN,Common
Krt17,SCN,Common
Krt222,SCN,Common
L1cam,SCN,Common
Lama2,SCN,Common
Lama4,SCN,Common
Lamb1,SCN,Common
Lamb2,SCN,Common
Lamc1,SCN,Common
Lamtor1,SCN,Common
Larp1,SCN,Common
Larp6,SCN,Common
Lasp1,SCN,Common
Lcp1,SCN,Common
Ldb3,SCN,Common
Ldha,SCN,Common
Ldhb,SCN,Common
Leprot,SCN,Common
Letm1,SCN,Common
Lgals8,SCN,Common
Lims1,SCN,Common
Llgl1,SCN,Common
Lmcd1,SCN,Common
Lnpk,SCN,Common
Lpcat1,SCN,Common
Lpin1,SCN,Common
Lrmda,SCN,Common
Lrrfip2,SCN,Common
Lrsam1,SCN,Common
Lsm12,SCN,Common
Lum,SCN,Common
Luzp1,SCN,Common
Lxn,SCN,Common
Lypla2,SCN,Common
Lysmd2,SCN,Common
Lzic,SCN,Common
Lztfl1,SCN,Common
Madd,SCN,Common
Maged1,SCN,Common
Magi1,SCN,Common
Magi3,SCN,Common
Mal2,SCN,Common
Map1a,SCN,Common
Map1b,SCN,Common
Map2,SCN,Common
Map2k1,SCN,Common
Map2k4,SCN,Common
Map2k6,SCN,Common
Map3k20,SCN,Common
Map3k3,SCN,Common
Map4,SCN,Common
Map4k5,SCN,Common
Map6,SCN,Common
Map7,SCN,Common
Map7d1,SCN,Common
Map7d2,SCN,Common
Mapk3,SCN,Common
Mapk9,SCN,Common
Mapre1,SCN,Common
Mapre2,SCN,Common
Mapre3,SCN,Common
Mapt,SCN,Common
Marcks,SCN,Common
Mark1,SCN,Common
Mark2,SCN,Common
Mast1,SCN,Common
Mbp,SCN,Common
Mcpt4,SCN,Common
Mdh1,SCN,Common
Mdh2,SCN,Common
Mff,SCN,Common
Mical1,SCN,Common
Mical3,SCN,Common
Micall2,SCN,Common
Mindy1,SCN,Common
Mink1,SCN,Common
Mkrn2,SCN,Common
Mms19,SCN,Common
Mob1a,SCN,Common
Mob2,SCN,Common
Mob3b,SCN,Common
Mon2,SCN,Common
Mpp1,SCN,Common
Mprip,SCN,Common
Mpz,SCN,Common
Mre11,SCN,Common
Mrtfb,SCN,Common
Msn,SCN,Common
Msra,SCN,Common
Mtfr1l,SCN,Common
Mthfsd,SCN,Common
Mtm1,SCN,Common
Mtmr2,SCN,Common
Mtmr3,SCN,Common
Mtmr6,SCN,Common
Mtmr7,SCN,Common
Mtpn,SCN,Common
Mtss1,SCN,Common
Mtss2,SCN,Common
Mtus1,SCN,Common
Mug1,SCN,Common
Mvb12a,SCN,Common
Myh9,SCN,Common
Myl12b,SCN,Common
Myo18a,SCN,Common
Myo1e,SCN,Common
Myo9a,SCN,Common
Naa35,SCN,Common
Naca,SCN,Common
Nacad,SCN,Common
Nans,SCN,Common
Nap1l1,SCN,Common
Nap1l4,SCN,Common
Napa,SCN,Common
Napg,SCN,Common
NARS1,SCN,Common
Nat8l,SCN,Common
Nav1,SCN,Common
Ncald,SCN,Common
Ncam1,SCN,Common
Ncdn,SCN,Common
Nck1,SCN,Common
Ncoa7,SCN,Common
Ndrg3,SCN,Common
Ndufa12,SCN,Common
Ndufaf2,SCN,Common
Ndufaf4,SCN,Common
Ndufaf7,SCN,Common
Ndufs7,SCN,Common
Ndufv2,SCN,Common
Nebl,SCN,Common
Necab1,SCN,Common
Necap1,SCN,Common
Nedd4,SCN,Common
Nedd4l,SCN,Common
Nedd8,SCN,Common
Nefh,SCN,Common
Nefl,SCN,Common
Nefm,SCN,Common
Nek1,SCN,Common
Nek7,SCN,Common
Nek9,SCN,Common
Nf1,SCN,Common
Nf2,SCN,Common
Niban2,SCN,Common
Nid1,SCN,Common
Nif3l1,SCN,Common
Nipsnap1,SCN,Common
Nme2,SCN,Common
Nmt1,SCN,Common
Nmt2,SCN,Common
Npepps,SCN,Common
Nploc4,SCN,Common
Nr3c1,SCN,Common
Nrbf2,SCN,Common
Nrbp2,SCN,Common
Nrip2,SCN,Common
Nsf,SCN,Common
Nsfl1c,SCN,Common
Nudc,SCN,Common
Nudcd1,SCN,Common
Nudcd2,SCN,Common
Nudcd3,SCN,Common
Nudt12,SCN,Common
Nudt2,SCN,Common
Nudt3,SCN,Common
Nudt5,SCN,Common
Nudt9,SCN,Common
Numb,SCN,Common
Numbl,SCN,Common
Nup214,SCN,Common
Nup93,SCN,Common
Nyap1,SCN,Common
Nyap2,SCN,Common
Ociad1,SCN,Common
Ocrl,SCN,Common
Oga,SCN,Common
Ogn,SCN,Common
Ola1,SCN,Common
Optn,SCN,Common
Osbpl11,SCN,Common
Osbpl3,SCN,Common
Osbpl6,SCN,Common
Oscp1,SCN,Common
Osmr,SCN,Common
Ostf1,SCN,Common
Otud6b,SCN,Common
Oxr1,SCN,Common
Oxsr1,SCN,Common
P33monox,SCN,Common
Pabpc1,SCN,Common
Pacs1,SCN,Common
Pacs2,SCN,Common
Pacsin1,SCN,Common
Pacsin2,SCN,Common
Pafah1b1,SCN,Common
Paics,SCN,Common
Paip1,SCN,Common
Pak1,SCN,Common
Pak2,SCN,Common
Pald1,SCN,Common
Palld,SCN,Common
Palm,SCN,Common
Palm2,SCN,Common
Palmd,SCN,Common
Pals1,SCN,Common
Parg,SCN,Common
Park7,SCN,Common
Parva,SCN,Common
Pcbp1,SCN,Common
Pcbp2,SCN,Common
Pcbp3,SCN,Common
Pclo,SCN,Common
Pcmt1,SCN,Common
Pcnp,SCN,Common
Pcp4l1,SCN,Common
Pcyt1b,SCN,Common
Pcyt2,SCN,Common
Pdap1,SCN,Common
Pdcd5,SCN,Common
Pdcl,SCN,Common
Pdha1,SCN,Common
Pdlim1,SCN,Common
Pdlim5,SCN,Common
Pdxdc1,SCN,Common
Pdzd8,SCN,Common
Pea15,SCN,Common
Pebp1,SCN,Common
Pepd,SCN,Common
Pex14,SCN,Common
Pex19,SCN,Common
Pex5,SCN,Common
Pex5l,SCN,Common
Pfdn2,SCN,Common
Pfkfb2,SCN,Common
Pfkl,SCN,Common
Pfkm,SCN,Common
Pfkp,SCN,Common
Pfn1,SCN,Common
Pgam1,SCN,Common
Pgls,SCN,Common
Pgm2l1,SCN,Common
Pgrmc2,SCN,Common
Phactr4,SCN,Common
Phaf1,SCN,Common
Phb2,SCN,Common
Phf24,SCN,Common
Phyhipl,SCN,Common
Pi4kb,SCN,Common
Picalm,SCN,Common
Pick1,SCN,Common
Pik3c3,SCN,Common
Pik3ca,SCN,Common
Pik3r4,SCN,Common
Pikfyve,SCN,Common
Pip4k2a,SCN,Common
Pip4k2b,SCN,Common
Pip5k1c,SCN,Common
Pir,SCN,Common
Pitpnc1,SCN,Common
Pitpnm1,SCN,Common
Pitpnm2,SCN,Common
Pkm,SCN,Common
Pkn2,SCN,Common
Plaa,SCN,Common
Plcb1,SCN,Common
Plcb3,SCN,Common
Plec,SCN,Common
Plekha2,SCN,Common
Plekha6,SCN,Common
Plekhd1,SCN,Common
Plekho2,SCN,Common
Plp1,SCN,Common
Plp2,SCN,Common
Plpp3,SCN,Common
Pls3,SCN,Common
Plscr3,SCN,Common
Ppa1,SCN,Common
Ppfia3,SCN,Common
Ppid,SCN,Common
Ppip5k1,SCN,Common
Ppip5k2,SCN,Common
Ppm1a,SCN,Common
Ppm1b,SCN,Common
Ppp1ca,SCN,Common
Ppp1cb,SCN,Common
Ppp1cc,SCN,Common
Ppp1r12a,SCN,Common
Ppp1r12c,SCN,Common
Ppp1r13l,SCN,Common
Ppp1r18,SCN,Common
Ppp1r1c,SCN,Common
Ppp1r2,SCN,Common
Ppp1r21,SCN,Common
Ppp1r3f,SCN,Common
Ppp2r5b,SCN,Common
Ppp2r5c,SCN,Common
Ppp2r5e,SCN,Common
Ppp3ca,SCN,Common
Ppp3cc,SCN,Common
Ppp4r4,SCN,Common
Ppp6r1,SCN,Common
Ppp6r2,SCN,Common
Ppp6r3,SCN,Common
Praf2,SCN,Common
Prdx1,SCN,Common
Prdx2,SCN,Common
Prdx4,SCN,Common
Prdx6,SCN,Common
Prep,SCN,Common
Prkaa1,SCN,Common
Prkab2,SCN,Common
Prkag2,SCN,Common
Prkar2a,SCN,Common
Prkar2b,SCN,Common
Prkca,SCN,Common
Prkcb,SCN,Common
Prkcd,SCN,Common
Prkce,SCN,Common
Prkcq,SCN,Common
Prkg1,SCN,Common
Prmt9,SCN,Common
Prph,SCN,Common
Prrc2a,SCN,Common
Prrc2c,SCN,Common
Prrt2,SCN,Common
Prune1,SCN,Common
Prune2,SCN,Common
Prxl2b,SCN,Common
Psd3,SCN,Common
Psmc3,SCN,Common
Psmd14,SCN,Common
Psme1,SCN,Common
Ptges3,SCN,Common
Ptk2b,SCN,Common
Ptpn11,SCN,Common
Ptpn12,SCN,Common
Ptpn23,SCN,Common
Pvalb,SCN,Common
Pygb,SCN,Common
Pym1,SCN,Common
Qars1,SCN,Common
R3hcc1l,SCN,Common
Rab11b,SCN,Common
Rab11fip5,SCN,Common
Rab15,SCN,Common
Rab23,SCN,Common
Rab28,SCN,Common
Rab3a,SCN,Common
Rab3c,SCN,Common
Rab3gap1,SCN,Common
Rab3gap2,SCN,Common
Rab6b,SCN,Common
Rab7a,SCN,Common
Rabep1,SCN,Common
Rabgap1,SCN,Common
Rabgap1l,SCN,Common
Rabgef1,SCN,Common
Rabl6,SCN,Common
Rac1,SCN,Common
Raf1,SCN,Common
Rai14,SCN,Common
Rala,SCN,Common
Ralbp1,SCN,Common
Ralgapa1,SCN,Common
Ralgps2,SCN,Common
Ran,SCN,Common
Ranbp1,SCN,Common
Ranbp9,SCN,Common
Rangap1,SCN,Common
Rap1gap,SCN,Common
Rap1gap2,SCN,Common
Rap1gds1,SCN,Common
Rapgef2,SCN,Common
Rbm17,SCN,Common
Rbsn,SCN,Common
Rbx1,SCN,Common
Rcan2,SCN,Common
Rcsd1,SCN,Common
Rdx,SCN,Common
Reep1,SCN,Common
Reep5,SCN,Common
Relch,SCN,Common
Reps1,SCN,Common
Reps2,SCN,Common
Retreg1,SCN,Common
Rexo2,SCN,Common
Rfk,SCN,Common
Rgs3,SCN,Common
Rgs7,SCN,Common
Rheb,SCN,Common
Ric8a,SCN,Common
Ric8b,SCN,Common
Rimkla,SCN,Common
Rint1,SCN,Common
Riok3,SCN,Common
Ripor1,SCN,Common
Rnf123,SCN,Common
Rnf214,SCN,Common
Rock2,SCN,Common
Rpap3,SCN,Common
Rph3a,SCN,Common
Rps6ka1,SCN,Common
Rps6ka3,SCN,Common
Rps6kb1,SCN,Common
Rrm2b,SCN,Common
Rtkn,SCN,Common
Rtn1,SCN,Common
Rtn3,SCN,Common
Rtn4,SCN,Common
Rufy2,SCN,Common
Rufy3,SCN,Common
Rundc3a,SCN,Common
Ruvbl2,SCN,Common
Ryr2,SCN,Common
S100a10,SCN,Common
S100a13,SCN,Common
S100a6,SCN,Common
Samd14,SCN,Common
Samhd1,SCN,Common
Sars1,SCN,Common
Scamp1,SCN,Common
Scfd1,SCN,Common
Scfd2,SCN,Common
Scn9a,SCN,Common
Scrn1,SCN,Common
Scrn3,SCN,Common
Scyl1,SCN,Common
Scyl2,SCN,Common
Sdcbp,SCN,Common
Sdha,SCN,Common
Sec22b,SCN,Common
Septin3,SCN,Common
Septin4,SCN,Common
Septin5,SCN,Common
Septin7,SCN,Common
Septin9,SCN,Common
Serpina3k,SCN,Common
Serpinb1a,SCN,Common
Serpinb1b,SCN,Common
Serpinb6,SCN,Common
Sestd1,SCN,Common
Setd7,SCN,Common
Sft2d2,SCN,Common
Sgip1,SCN,Common
Sgsm1,SCN,Common
Sh3bgrl3,SCN,Common
Sh3bp4,SCN,Common
Sh3bp5l,SCN,Common
Sh3gl1,SCN,Common
Sh3gl2,SCN,Common
Sh3glb1,SCN,Common
Sh3glb2,SCN,Common
Shc1,SCN,Common
Shc2,SCN,Common
Shtn1,SCN,Common
Sirt2,SCN,Common
Skp1,SCN,Common
Skt,SCN,Common
Slain2,SCN,Common
Slc12a2,SCN,Common
Slc25a11,SCN,Common
Slc25a3,SCN,Common
Slc25a4,SCN,Common
Slc25a5,SCN,Common
Slc2a3,SCN,Common
Slc30a9,SCN,Common
Slc3a2,SCN,Common
Slc44a1,SCN,Common
Slc44a2,SCN,Common
Slc7a14,SCN,Common
Slc9a1,SCN,Common
Slc9a3r1,SCN,Common
Slk,SCN,Common
Smap1,SCN,Common
Smap2,SCN,Common
Smcr8,SCN,Common
Snap25,SCN,Common
Snap29,SCN,Common
Snap47,SCN,Common
Snap91,SCN,Common
Snca,SCN,Common
Sncb,SCN,Common
Sncg,SCN,Common
Snf8,SCN,Common
Snta1,SCN,Common
Snupn,SCN,Common
Snx1,SCN,Common
Snx11,SCN,Common
Snx12,SCN,Common
Snx13,SCN,Common
Snx16,SCN,Common
Snx2,SCN,Common
Snx3,SCN,Common
Snx6,SCN,Common
Snx9,SCN,Common
Sod1,SCN,Common
Soga3,SCN,Common
Sorbs1,SCN,Common
Sos1,SCN,Common
Spag7,SCN,Common
Spag9,SCN,Common
Spart,SCN,Common
Spast,SCN,Common
Spats2,SCN,Common
Spr,SCN,Common
Sprr1a,SCN,Common
Sprr1b,SCN,Common
Spryd4,SCN,Common
Sptan1,SCN,Common
Sptbn1,SCN,Common
Sqstm1,SCN,Common
Srcin1,SCN,Common
Srgap1,SCN,Common
Srgap2,SCN,Common
Srgap3,SCN,Common
Srp54,SCN,Common
Srp68,SCN,Common
Srpra,SCN,Common
Srrm1,SCN,Common
Srsf5,SCN,Common
St13,SCN,Common
Stac2,SCN,Common
Stam,SCN,Common
Stam2,SCN,Common
Stambp,SCN,Common
Stambpl1,SCN,Common
Stard10,SCN,Common
Stat2,SCN,Common
Stat3,SCN,Common
Stat6,SCN,Common
Stbd1,SCN,Common
Steap3,SCN,Common
Stim1,SCN,Common
Stip1,SCN,Common
Stk24,SCN,Common
Stk25,SCN,Common
Stk38l,SCN,Common
Stk39,SCN,Common
Stmn1,SCN,Common
Stmn2,SCN,Common
Strada,SCN,Common
Strap,SCN,Common
Strn,SCN,Common
Strn3,SCN,Common
Strn4,SCN,Common
Stub1,SCN,Common
Stx17,SCN,Common
Stx18,SCN,Common
Stx1b,SCN,Common
Stx2,SCN,Common
Stx7,SCN,Common
Stxbp1,SCN,Common
Stxbp5,SCN,Common
Stxbp5l,SCN,Common
Stxbp6,SCN,Common
Sucla2,SCN,Common
Sugt1,SCN,Common
Sult4a1,SCN,Common
Syap1,SCN,Common
Syn1,SCN,Common
Syn2,SCN,Common
Sync,SCN,Common
Syne3,SCN,Common
Syngr3,SCN,Common
Synj1,SCN,Common
Synm,SCN,Common
Synpo,SCN,Common
Synrg,SCN,Common
Syp,SCN,Common
Syt6,SCN,Common
Syt7,SCN,Common
Sytl2,SCN,Common
Tab1,SCN,Common
Tab3,SCN,Common
Tacc1,SCN,Common
Tacc2,SCN,Common
Tagln2,SCN,Common
Tagln3,SCN,Common
Taldo1,SCN,Common
Tanc1,SCN,Common
Tanc2,SCN,Common
Tardbp,SCN,Common
Tbc1d10b,SCN,Common
Tbc1d13,SCN,Common
Tbc1d15,SCN,Common
Tbc1d17,SCN,Common
Tbc1d22a,SCN,Common
Tbc1d5,SCN,Common
Tbc1d9b,SCN,Common
Tbcb,SCN,Common
Tbcc,SCN,Common
Tbcd,SCN,Common
Tbcel,SCN,Common
Tcp1,SCN,Common
Tcp11l1,SCN,Common
Tdrd3,SCN,Common
Tdrd7,SCN,Common
Tdrp,SCN,Common
Tecr,SCN,Common
Tex2,SCN,Common
Tf,SCN,Common
Tfcp2,SCN,Common
Tgfb1i1,SCN,Common
Thop1,SCN,Common
Tigar,SCN,Common
Timm44,SCN,Common
Tiprl,SCN,Common
Tkt,SCN,Common
Tln1,SCN,Common
Tln2,SCN,Common
Tmem263,SCN,Common
Tmod1,SCN,Common
Tmod2,SCN,Common
Tmsb4x,SCN,Common
Tmx2,SCN,Common
Tnks1bp1,SCN,Common
Tnpo2,SCN,Common
Tns3,SCN,Common
Tom1,SCN,Common
Tom1l2,SCN,Common
Tomm20,SCN,Common
Tomm34,SCN,Common
Tpd52,SCN,Common
Tpd52l2,SCN,Common
Tpgs2,SCN,Common
Tpm1,SCN,Common
Tpm2,SCN,Common
Tppp,SCN,Common
Tppp3,SCN,Common
Trap1,SCN,Common
Trappc10,SCN,Common
Trappc12,SCN,Common
Trarg1,SCN,Common
Trim2,SCN,Common
Trim25,SCN,Common
Trim3,SCN,Common
Trim36,SCN,Common
Trim56,SCN,Common
Trim67,SCN,Common
Trim9,SCN,Common
Trio,SCN,Common
Trip4,SCN,Common
Trpv1,SCN,Common
Trpv2,SCN,Common
Tsc1,SCN,Common
Tsc22d1,SCN,Common
Tsc22d3,SCN,Common
Tspan15,SCN,Common
Ttbk1,SCN,Common
Ttc1,SCN,Common
Ttc9,SCN,Common
Ttl,SCN,Common
Tuba1a,SCN,Common
Tuba4a,SCN,Common
Tubal3,SCN,Common
Tubb3,SCN,Common
Tubb4b,SCN,Common
Tubb5,SCN,Common
Tulp3,SCN,Common
Twf1,SCN,Common
Twf2,SCN,Common
Txn,SCN,Common
Txnl1,SCN,Common
Txnrd1,SCN,Common
U2surp,SCN,Common
Uba1,SCN,Common
Uba5,SCN,Common
Uba6,SCN,Common
Ubap1,SCN,Common
Ubap2,SCN,Common
Ubap2l,SCN,Common
Ubash3b,SCN,Common
Ube2m,SCN,Common
Ube2o,SCN,Common
Ube2q1,SCN,Common
Ube2v1,SCN,Common
Ube2v2,SCN,Common
Ube3c,SCN,Common
Ubfd1,SCN,Common
Ubl4a,SCN,Common
Ublcp1,SCN,Common
Ubxn6,SCN,Common
Uchl1,SCN,Common
Ufc1,SCN,Common
Ugp2,SCN,Common
Uhrf1bp1l,SCN,Common
Umps,SCN,Common
Upf1,SCN,Common
Uqcrc2,SCN,Common
Use1,SCN,Common
Usp13,SCN,Common
Usp14,SCN,Common
Usp15,SCN,Common
Usp47,SCN,Common
Usp5,SCN,Common
Usp8,SCN,Common
Usp9x,SCN,Common
Vamp1,SCN,Common
Vamp7,SCN,Common
Vapa,SCN,Common
Vapb,SCN,Common
Vars1,SCN,Common
Vasp,SCN,Common
Vat1l,SCN,Common
Vbp1,SCN,Common
Vcl,SCN,Common
Vcp,SCN,Common
Vcpip1,SCN,Common
Vdac3,SCN,Common
Vim,SCN,Common
Vipas39,SCN,Common
Vps11,SCN,Common
Vps13a,SCN,Common
Vps13c,SCN,Common
Vps16,SCN,Common
Vps25,SCN,Common
Vps26c,SCN,Common
Vps36,SCN,Common
Vps37a,SCN,Common
Vps37c,SCN,Common
Vps4a,SCN,Common
Vps4b,SCN,Common
Vps8,SCN,Common
Vsnl1,SCN,Common
Vti1b,SCN,Common
Vwa5a,SCN,Common
Wars1,SCN,Common
Wasf1,SCN,Common
Washc2,SCN,Common
Wasl,SCN,Common
Wdr1,SCN,Common
Wdr37,SCN,Common
Wdr44,SCN,Common
Wdr45,SCN,Common
Wdr7,SCN,Common
Wipf2,SCN,Common
Wipf3,SCN,Common
Wipi2,SCN,Common
Wnk1,SCN,Common
Xiap,SCN,Common
Ykt6,SCN,Common
Ywhab,SCN,Common
Ywhaq,SCN,Common
Ywhaz,SCN,Common
Zadh2,SCN,Common
Zc2hc1a,SCN,Common
Zc3h15,SCN,Common
Zdhhc5,SCN,Common
Zfand5,SCN,Common
Zfand6,SCN,Common
Zfyve19,SCN,Common
Zyx,SCN,Common
TurboID,SCN,Unique
Dok4,SCN,Unique
Fat2,SCN,Unique
Hivep2,SCN,Unique
Dennd4b,SCN,Unique
Ag2,SCN,Unique
Akap17b,SCN,Unique
Alkbh6,SCN,Unique
Amer2,SCN,Unique
Ankrd52,SCN,Unique
Atr,SCN,Unique
Cbarp,SCN,Unique
Ccdc85a,SCN,Unique
Ccp110,SCN,Unique
Cnot4,SCN,Unique
Commd8,SCN,Unique
Cpt1c,SCN,Unique
Dchs1,SCN,Unique
Dnajb13,SCN,Unique
Eln,SCN,Unique
Fnbp1l,SCN,Unique
Frmpd4,SCN,Unique
Gabbr1,SCN,Unique
Garem1,SCN,Unique
Gigyf1,SCN,Unique
Gpr158,SCN,Unique
Gramd1b,SCN,Unique
Grip1,SCN,Unique
H3-3a,SCN,Unique
Habp4,SCN,Unique
Katnal2,SCN,Unique
Kcnab3,SCN,Unique
Kcnb2,SCN,Unique
Kcnq2,SCN,Unique
Kiaa0100,SCN,Unique
Kiaa1107,SCN,Unique
Klhl11,SCN,Unique
Limd2,SCN,Unique
Lime1,SCN,Unique
Lrrc49,SCN,Unique
MACIR,SCN,Unique
Mb21d2,SCN,Unique
Mctp2,SCN,Unique
Mlxip,SCN,Unique
N4bp1,SCN,Unique
Naa80,SCN,Unique
Nckap5l,SCN,Unique
Pfdn6,SCN,Unique
Phactr1,SCN,Unique
Ppp1r1a,SCN,Unique
Prmt8,SCN,Unique
Ptgir,SCN,Unique
R3hcc1,SCN,Unique
Rel,SCN,Unique
Retreg2,SCN,Unique
Rims1,SCN,Unique
Robo2,SCN,Unique
Rps6kc1,SCN,Unique
Sarg,SCN,Unique
Serpina1a,SCN,Unique
Slc25a46,SCN,Unique
Slc5a4a,SCN,Unique
Spata2,SCN,Unique
Stac,SCN,Unique
Syt4,SCN,Unique
Tank,SCN,Unique
Tbc1d8,SCN,Unique
Tdp2,SCN,Unique
Tgoln1,SCN,Unique
Tgs1,SCN,Unique
Tnfrsf21,SCN,Unique
Tusc2,SCN,Unique
Ythdf1,SCN,Unique
Zfyve16,SCN,Unique
Znrf3,SCN,Unique
