"","NGenes","Direction","PValue","FDR"
"GOBP_PYRIMIDINE_DEOXYRIBONUCLEOTIDE_METABOLIC_PROCESS",2,"Down",0.0218672980149649,0.716797165814069
"GOBP_INSULIN_PROCESSING",3,"Down",0.0223313968226374,0.725926979133799
"GOBP_REGULATION_OF_TRANSCRIPTION_FROM_RNA_POLYMERASE_II_PROMOTER_IN_RESPONSE_TO_OXIDATIVE_STRESS",3,"Down",0.0223629366983046,0.725926979133799
"GOBP_REGULATION_OF_MEMBRANE_INVAGINATION",2,"Down",0.0226620998175952,0.732084354977097
"GOBP_ENDOCARDIAL_CUSHION_DEVELOPMENT",2,"Down",0.0228908497552012,0.732397666569523
"GOBP_PULMONARY_VALVE_DEVELOPMENT",2,"Down",0.0228908497552012,0.732397666569523
"GOBP_CELLULAR_COMPONENT_DISASSEMBLY",187,"Up",0.0233390953336689,0.740307036053212
"GOBP_EXCITATORY_SYNAPSE_ASSEMBLY",4,"Down",0.0233594713036082,0.740307036053212
"GOBP_POSITIVE_REGULATION_OF_PROTEIN_LOCALIZATION_TO_NUCLEUS",30,"Up",0.0237558017810607,0.742082791857458
"GOBP_FOREBRAIN_REGIONALIZATION",2,"Down",0.0239965984385933,0.742082791857458
"GOBP_RESPONSE_TO_CATECHOLAMINE",26,"Down",0.0240818229242693,0.742082791857458
"GOBP_ADENYLATE_CYCLASE_ACTIVATING_DOPAMINE_RECEPTOR_SIGNALING_PATHWAY",2,"Down",0.0241906601943499,0.742082791857458
"GOBP_ADENYLATE_CYCLASE_INHIBITING_DOPAMINE_RECEPTOR_SIGNALING_PATHWAY",1,"Down",0.0242870221425969,0.742082791857458
"GOBP_ENDOTHELIAL_CELL_ACTIVATION",1,"Down",0.0242870221425969,0.742082791857458
"GOBP_TOXIN_TRANSPORT",16,"Up",0.0243045166130789,0.742082791857458
"GOBP_REGULATION_OF_GLIAL_CELL_MIGRATION",2,"Down",0.0243254472880326,0.742082791857458
"GOBP_LIVER_REGENERATION",7,"Down",0.0244142686120294,0.742082791857458
"GOBP_REGULATION_OF_CELL_PROJECTION_ASSEMBLY",75,"Up",0.0248576965716145,0.745566711492698
"GOBP_VESICLE_CYTOSKELETAL_TRAFFICKING",36,"Up",0.0249594045623351,0.745566711492698
"GOBP_DTTP_METABOLIC_PROCESS",1,"Down",0.0251978580525422,0.745566711492698
"GOBP_PYRIMIDINE_DEOXYRIBONUCLEOSIDE_METABOLIC_PROCESS",1,"Down",0.0251978580525422,0.745566711492698
"GOBP_PYRIMIDINE_DEOXYRIBONUCLEOSIDE_TRIPHOSPHATE_METABOLIC_PROCESS",1,"Down",0.0251978580525422,0.745566711492698
"GOBP_PYRIMIDINE_DEOXYRIBONUCLEOTIDE_BIOSYNTHETIC_PROCESS",1,"Down",0.0251978580525422,0.745566711492698
"GOBP_POSITIVE_REGULATION_OF_TELOMERASE_RNA_LOCALIZATION_TO_CAJAL_BODY",11,"Up",0.0253103006313742,0.745594626969161
"GOBP_ESTABLISHMENT_OR_MAINTENANCE_OF_CYTOSKELETON_POLARITY",6,"Up",0.0257127374987364,0.754043855440316
"GOBP_NEGATIVE_REGULATION_OF_ANTIGEN_RECEPTOR_MEDIATED_SIGNALING_PATHWAY",5,"Down",0.0260982291762821,0.754043855440316
"GOBP_NEGATIVE_REGULATION_OF_PEPTIDYL_CYSTEINE_S_NITROSYLATION",3,"Up",0.0261381599797276,0.754043855440316
"GOBP_REGULATION_OF_PEPTIDYL_CYSTEINE_S_NITROSYLATION",3,"Up",0.0261381599797276,0.754043855440316
"GOBP_POSITIVE_REGULATION_OF_DENDRITE_DEVELOPMENT",6,"Up",0.0265685694133006,0.754043855440316
"GOBP_NEGATIVE_CHEMOTAXIS",2,"Down",0.0266236566730924,0.754043855440316
