"","NGenes","Direction","PValue","FDR"
"GOBP_MONOCARBOXYLIC_ACID_TRANSPORT",2,"Down",0.0331600120783963,0.838801310577955
"GOBP_VERY_LONG_CHAIN_FATTY_ACID_CATABOLIC_PROCESS",2,"Down",0.0331600120783963,0.838801310577955
"GOBP_POSITIVE_REGULATION_OF_PROTEIN_CONTAINING_COMPLEX_ASSEMBLY",17,"Up",0.0336867219202173,0.838801310577955
"GOBP_REGULATION_OF_TRIGLYCERIDE_METABOLIC_PROCESS",2,"Down",0.0337959097312767,0.838801310577955
"GOBP_TRIGLYCERIDE_METABOLIC_PROCESS",2,"Down",0.0337959097312767,0.838801310577955
"GOBP_REGULATION_OF_OXIDOREDUCTASE_ACTIVITY",4,"Down",0.033860765420998,0.838801310577955
"GOBP_CYTOSKELETON_ORGANIZATION",145,"Up",0.034545641797982,0.838801310577955
"GOBP_POSITIVE_REGULATION_OF_NAD_P_H_OXIDASE_ACTIVITY",2,"Down",0.034641261034223,0.838801310577955
"GOBP_REGULATION_OF_NAD_P_H_OXIDASE_ACTIVITY",2,"Down",0.034641261034223,0.838801310577955
"GOBP_PHAGOCYTOSIS",10,"Down",0.034997609697546,0.838801310577955
"GOBP_POST_GOLGI_VESICLE_MEDIATED_TRANSPORT",16,"Up",0.035244140648175,0.838801310577955
"GOBP_POSITIVE_REGULATION_OF_PROTEIN_MODIFICATION_PROCESS",32,"Down",0.035244374722645,0.838801310577955
"GOBP_CORPUS_CALLOSUM_DEVELOPMENT",2,"Down",0.0356131446571226,0.838801310577955
"GOBP_PEPTIDYL_LYSINE_ACETYLATION",7,"Down",0.0357482718262853,0.838801310577955
"GOBP_CELLULAR_HYPOTONIC_RESPONSE",2,"Down",0.0358501225791717,0.838801310577955
"GOBP_HYPOTONIC_RESPONSE",2,"Down",0.0358501225791717,0.838801310577955
"GOBP_SUPEROXIDE_METABOLIC_PROCESS",6,"Down",0.0372781581498911,0.838801310577955
"GOBP_LONG_CHAIN_FATTY_ACID_METABOLIC_PROCESS",4,"Down",0.0380443796881877,0.838801310577955
"GOBP_RETROGRADE_TRANSPORT_ENDOSOME_TO_GOLGI",10,"Up",0.0384310061779553,0.838801310577955
"GOBP_REGULATION_OF_CYCLIC_NUCLEOTIDE_PHOSPHODIESTERASE_ACTIVITY",2,"Down",0.0390913158851172,0.838801310577955
"GOBP_NEGATIVE_REGULATION_OF_TRANSFERASE_ACTIVITY",14,"Down",0.0395435058743044,0.838801310577955
"GOBP_ANDROGEN_RECEPTOR_SIGNALING_PATHWAY",4,"Down",0.0400235431887381,0.838801310577955
"GOBP_AMP_BIOSYNTHETIC_PROCESS",1,"Down",0.0400492764908945,0.838801310577955
"GOBP_DE_NOVO_AMP_BIOSYNTHETIC_PROCESS",1,"Down",0.0400492764908945,0.838801310577955
"GOBP_GMP_BIOSYNTHETIC_PROCESS",1,"Down",0.0400492764908945,0.838801310577955
"GOBP_NUCLEOBASE_BIOSYNTHETIC_PROCESS",1,"Down",0.0400492764908945,0.838801310577955
"GOBP_PIGMENT_BIOSYNTHETIC_PROCESS",1,"Down",0.0400492764908945,0.838801310577955
"GOBP_PURINE_NUCLEOBASE_BIOSYNTHETIC_PROCESS",1,"Down",0.0400492764908945,0.838801310577955
"GOBP_PURINE_NUCLEOBASE_METABOLIC_PROCESS",1,"Down",0.0400492764908945,0.838801310577955
"GOBP_XMP_METABOLIC_PROCESS",1,"Down",0.0400492764908945,0.838801310577955
"GOBP_REACTIVE_OXYGEN_SPECIES_METABOLIC_PROCESS",8,"Down",0.0410676195007668,0.838801310577955
"GOBP_CELL_JUNCTION_DISASSEMBLY",2,"Down",0.0417840555430131,0.838801310577955
"GOBP_POSITIVE_REGULATION_OF_RESPONSE_TO_CYTOKINE_STIMULUS",2,"Down",0.0431924010738132,0.838801310577955
"GOBP_SYNAPTIC_SIGNALING",48,"Up",0.0436175831634557,0.838801310577955
"GOBP_REGULATION_OF_VASCULATURE_DEVELOPMENT",12,"Down",0.0436186399471537,0.838801310577955
"GOBP_ATTACHMENT_OF_SPINDLE_MICROTUBULES_TO_KINETOCHORE",2,"Down",0.0446161296557589,0.838801310577955
"GOBP_PEPTIDYL_AMINO_ACID_MODIFICATION",41,"Down",0.0449713152589123,0.838801310577955
"GOBP_HEART_DEVELOPMENT",16,"Up",0.0450117695912849,0.838801310577955
"GOBP_MITOTIC_SPINDLE_ORGANIZATION",17,"Up",0.0452168103768873,0.838801310577955
"GOBP_REGULATION_OF_MEMBRANE_POTENTIAL",23,"Up",0.0454084250877245,0.838801310577955
"GOBP_HISTONE_H4_ACETYLATION",4,"Down",0.0456013166205139,0.838801310577955
"GOBP_BARBED_END_ACTIN_FILAMENT_CAPPING",6,"Up",0.0457659956893938,0.838801310577955
"GOBP_RNA_3_END_PROCESSING",2,"Down",0.0458219416599973,0.838801310577955
"GOBP_NEGATIVE_REGULATION_OF_PROTEIN_CONTAINING_COMPLEX_DISASSEMBLY",18,"Up",0.0460975420197937,0.838801310577955
"GOBP_CHROMATIN_REMODELING",7,"Down",0.0462235518950433,0.838801310577955
"GOBP_NEGATIVE_REGULATION_OF_KINASE_ACTIVITY",12,"Down",0.0462580994483705,0.838801310577955
"GOBP_POSITIVE_REGULATION_OF_ORGANELLE_ASSEMBLY",9,"Up",0.0466515672133114,0.838801310577955
"GOBP_NEGATIVE_REGULATION_OF_PROTEIN_MODIFICATION_PROCESS",29,"Down",0.0469343033370572,0.838801310577955
"GOBP_NEGATIVE_REGULATION_OF_ACTIN_FILAMENT_DEPOLYMERIZATION",11,"Up",0.0469392869740285,0.838801310577955
"GOBP_CELLULAR_RESPONSE_TO_OSMOTIC_STRESS",4,"Down",0.0473519360925658,0.838801310577955
"GOBP_REGULATION_OF_TRANS_SYNAPTIC_SIGNALING",28,"Up",0.0476921303992528,0.838801310577955
"GOBP_REGULATION_OF_MICROTUBULE_POLYMERIZATION_OR_DEPOLYMERIZATION",17,"Up",0.0477459878342401,0.838801310577955
"GOBP_NEGATIVE_REGULATION_OF_CHEMOTAXIS",2,"Down",0.0486079998444188,0.838801310577955
"GOBP_I_KAPPAB_KINASE_NF_KAPPAB_SIGNALING",5,"Down",0.0495803613009013,0.838801310577955
"GOBP_REGULATION_OF_PROTEIN_POLYMERIZATION",34,"Up",0.0501621477571248,0.838801310577955
"GOBP_REGULATION_OF_CARBOHYDRATE_METABOLIC_PROCESS",9,"Up",0.0514007662622969,0.838801310577955
"GOBP_EPIDERMIS_DEVELOPMENT",9,"Down",0.0515966267551725,0.838801310577955
"GOBP_ENDOCYTIC_RECYCLING",12,"Up",0.0522569575470074,0.838801310577955
"GOBP_PHOSPHATIDYLETHANOLAMINE_BIOSYNTHETIC_PROCESS",2,"Down",0.0522609024918928,0.838801310577955
"GOBP_PHOSPHATIDYLETHANOLAMINE_METABOLIC_PROCESS",2,"Down",0.0522609024918928,0.838801310577955
"GOBP_RESPONSE_TO_HEPATOCYTE_GROWTH_FACTOR",2,"Down",0.052300612593251,0.838801310577955
"GOBP_CELL_AGING",2,"Down",0.0523194836141573,0.838801310577955
"GOBP_CELLULAR_SENESCENCE",2,"Down",0.0523194836141573,0.838801310577955
"GOBP_INFLAMMATORY_RESPONSE",19,"Down",0.0529004019736776,0.838801310577955
"GOBP_REGULATION_OF_PEPTIDYL_LYSINE_ACETYLATION",5,"Down",0.0529848636747921,0.838801310577955
"GOBP_CELL_CELL_JUNCTION_ASSEMBLY",8,"Up",0.053140655938216,0.838801310577955
"GOBP_METHYLATION",5,"Down",0.0539856277779325,0.838801310577955
"GOBP_REGULATION_OF_PROTEIN_CONTAINING_COMPLEX_ASSEMBLY",43,"Up",0.0549915235654082,0.838801310577955
"GOBP_POSTSYNAPTIC_MEMBRANE_ORGANIZATION",2,"Down",0.0550062985048306,0.838801310577955
"GOBP_RECEPTOR_CLUSTERING",2,"Down",0.0550062985048306,0.838801310577955
"GOBP_POSITIVE_REGULATION_OF_ORGANELLE_ORGANIZATION",42,"Up",0.0566787815498669,0.838801310577955
"GOBP_POSITIVE_REGULATION_OF_PLASMA_MEMBRANE_BOUNDED_CELL_PROJECTION_ASSEMBLY",13,"Up",0.0569950545237789,0.838801310577955
"GOBP_AUTOPHAGY_OF_PEROXISOME",2,"Down",0.0572107849504657,0.838801310577955
"GOBP_CELLULAR_RESPONSE_TO_GLUCOSE_STARVATION",2,"Down",0.0573166274915464,0.838801310577955
"GOBP_TRANSMEMBRANE_RECEPTOR_PROTEIN_TYROSINE_KINASE_SIGNALING_PATHWAY",34,"Down",0.0592390358937398,0.838801310577955
"GOBP_RESPONSE_TO_COPPER_ION",2,"Down",0.0594696491315879,0.838801310577955
"GOBP_RESPONSE_TO_MERCURY_ION",2,"Down",0.0594696491315879,0.838801310577955
"GOBP_NEUROTRANSMITTER_REUPTAKE",2,"Down",0.0600341315847111,0.838801310577955
"GOBP_POSITIVE_REGULATION_OF_SIGNALING_RECEPTOR_ACTIVITY",2,"Down",0.0600341315847111,0.838801310577955
"GOBP_PROTEIN_MATURATION",6,"Down",0.0602082645296321,0.838801310577955
"GOBP_POSITIVE_REGULATION_OF_LIPID_CATABOLIC_PROCESS",2,"Down",0.0603696834583951,0.838801310577955
"GOBP_CARBON_DIOXIDE_TRANSPORT",2,"Down",0.0604217809209581,0.838801310577955
"GOBP_FLUID_TRANSPORT",2,"Down",0.0604217809209581,0.838801310577955
"GOBP_GAS_TRANSPORT",2,"Down",0.0604217809209581,0.838801310577955
"GOBP_ONE_CARBON_COMPOUND_TRANSPORT",2,"Down",0.0604217809209581,0.838801310577955
"GOBP_SALIVA_SECRETION",2,"Down",0.0604217809209581,0.838801310577955
"GOBP_WATER_TRANSPORT",2,"Down",0.0604217809209581,0.838801310577955
"GOBP_AMINE_METABOLIC_PROCESS",2,"Down",0.060451584724506,0.838801310577955
"GOBP_CATECHOL_CONTAINING_COMPOUND_METABOLIC_PROCESS",2,"Down",0.060451584724506,0.838801310577955
