"","Pool_Ox_V_Slot2-17_1_3795","Pool_Ox_V_Slot2-17_1_3808","Pool_Ox_V_Slot2-17_1_3821"
"Bcl2l13",NA,32012.5,26967
"Basp1",187199.781673041,193134.31967535,167228.603986767
"Avil",511834.552460463,551702.784646557,564377.942321188
"Hnrnpa0",156507.018448142,113596.547398266,132408.016116301
"Trappc10",9878.61,11374,13498.8
"Rnf214",66408.2162135894,78963.1573552756,74773.2820784597
"Eml1",34976.2433889296,36980.2894626277,39773.4220090034
"Eps15",84094.3934020065,83304.0344086722,82912.8958502422
"Vps35",7799.92000000001,NA,NA
"Sfpq",180888.330136264,175651.318514888,124194.057573927
"Pspc1",63704.8507873463,63526.6305010526,62042.0966031386
"Rps3",74036.4420057616,63430.9648094241,70902.634558593
"Palm2",18200.7098986691,18030.5775539895,19096.3267142532
"Ncald",6704.05036792419,5930.22905837092,NA
"Junb",25165.2323403831,14922.4563705094,17747.4628109945
"Bcap31",58076.0301163799,100198.425249974,106688.073289143
"Ehbp1",22436.521344601,21425.973220559,27204.6908179247
"Hmox2",58143.1583110059,56052.9159930698,56072.6723909022
"Mybbp1a",4699.75,NA,3343.3
"Chordc1",14707.0863809232,9817.03377201496,NA
"Dgkz",36344.403269576,40764.3929124956,35605.5779046578
"Ccdc6",21898.522357796,27685.5180751696,17422.6216229179
"Xab2",24058.984925801,23054.7212990294,22559.8062239163
"Hspa4",85496.8918750008,90349.096043821,81323.5588553284
"Map1a",446967.043432334,433644.878531828,411037.232954706
"Wdr44",60754.3355283605,64888.2785086889,67335.08552753
"Ankrd17",39703.1278658704,36715.0612390153,32872.5100020873
"Cds2",25827.0860315226,30012.5609797543,30329.6799520425
"Epb41l1",30284.4076758579,30155.8983323309,32571.9999997865
"Nudc",83141.644945661,78184.6552810961,96982.6894202244
"Fam114a2",74928.6141062182,70141.5627034986,70535.7158847138
"Clip3",36560.035394818,33548.8478320358,35587.35349201
"Prrc2c",100170.789101464,106881.847707435,108475.702939218
"Bzw1",NA,13273.6,17303.1
"Gars1",14785.7,16468.7,10641.9
"Kcnab2",6118.54,12821.1,13218.5
"Tardbp",744187.78838837,785912.48539991,703160.003951723
"Pcbp1;Pcbp2",114498,116818,108178
"Hspg2",5298.78000007635,7597.29000010947,NA
"Spag9",164544.664244989,169945.107096435,161970.389114421
"Acly",19608.681443767,17392.8316306909,19501.5179807994
"Vcp",146316.131200367,126653.462088544,117791.765335338
"Eif4b",388840.765423808,408999.502651914,469772.368465994
"Adsl",20436.3306059471,24244.1158005155,20289.3346760473
"Mbd2",NA,16583.3,20485
"Rragc",37585.7710168904,36592.4271018342,26592.1786273796
"Rpl34",22034.470042144,19200.3688860753,14761.5307034206
"Ank2",132575.875770967,141982.324815928,145863.113581047
"Numb;Numbl",9443.97905495734,10196.5999999426,6849.38120477058
"Vipas39",31812.8720880741,33951.3383541413,32485.3034593263
"Tuba4a",2001874.07515048,2075421.82703727,2251904.8763293
"Syngr3",191230.702023241,202307.478630361,199370.668352997
"Pcnp",125809.74587922,127728.783121392,124372.322752722
"Numbl",103870.572763721,83533.5023401893,93337.0656230476
"Cenpv",2072.74860902052,2786.81347472987,NA
"Rplp0",65583.713403781,76854.0235968711,65581.1662575083
"Tln2",28179.7471608952,29252.9602069567,28872.2543019786
"Camk2a;Camk2b;Camk2d;Camk2g",95589.8775152037,61259.9132556158,NA
"Cdc42ep4",28442.3152290221,26211.7869271381,28896.9409034477
"Pja2",7579.6,11499.8,9867.40000000001
"Ermp1",99590.6244174072,94703.9999993211,86295.2839797098
"Pcca",749687.601397316,815271.235772085,774653.398097856
"Hdgf",61515.4171309909,67233.2692016926,64906.9999995473
"Pdcl",28367.3,25250.2,23735.3
"Sorbs1",65224.7192396858,68016.5804638011,67443.6274636744
"Acta1;Acta2;Actb;Actc1;Actg1;Actg2",103637.428955131,76186.7478110612,87271.6982331053
"Son",52182.6796625257,54438.6943484696,48386.4365289855
"Irgq",40756.8261180494,44514.082836592,44569.0999996981
"Riok3",4663.38,NA,11592.2
"Mtch1",28760.6714610657,37293.1697789176,35441.0402778355
"H2ac11;H2ac12;H2ac13;H2ac15;H2ac20;H2ac4;H2ac6;H2ac7;H2ac8;H2aj;H2aw;H2az1;H2az2;Hist1h2af;Hist1h2an;Hist1h2ao;Hist1h2ap;Hist2h2aa1",NA,106638,NA
"Agfg1",160172.710805861,147208.396430436,183704.999998624
"Rpl7",271799.002136855,245242.442639436,248477.697612335
"Nipsnap1",NA,NA,6445.33000000001
"Eif4h",58938.1999995797,75422.1999994621,68198.6999995137
"Atl1",80168.7825565183,73805.3277624164,63092.9766860287
"Cnn3",173458.519017384,155859.438279488,153268.934375538
"Tgs1",11137.9747292129,18050.0303709601,20010.2560255713
"Syt4",19590.7814210947,14989.7850258255,22075.5682898579
"Phgdh",12136.9087150541,8777.16057108726,10314.0979425589
"Macroh2a1",23535.0609706932,18093.1361739734,15910.1310788556
"Synj1",64506.907866943,60002.6152234936,57992.6828929294
"Rpl7a",239645.769100931,226294.807675444,191406.663660845
"Zc2hc1a",90970.1367696655,87091.6654688358,105096.728656312
"Atp5f1b",181213.358265128,173325.107776636,173998.39549451
"Cct8",596533.817601659,589469.120280526,547351.645248517
"Rabep1",15266.7697604849,17864.5358500682,13767.4620066401
"Pfkm",19730.4284179612,21386.1369143484,21901.8183288712
"St13",NA,15517.8,13858.3
"Rtn1",522093.412480313,533109.824416462,555846.628674946
"Atp7a",10462.3284894508,12739.3120774667,NA
"Stmn1",160626.556476521,144004.330572418,146896.509437787
"Mtmr6",56270.6032294096,59632.5978305652,56051.7637069339
"Nmt1",309357.804172424,330993.476585851,335629.047078443
"Rmdn3",NA,NA,9156.9
"Stam",82815.5100158717,73153.1224028615,68017.1619300879
"Stx1b",5024.54996644855,8188.34336872048,9159.74539683137
"Coro1b",15446.4134418612,15814.936737705,18062.5260210503
"Ipo7",55724.3504587796,45129.4142541246,39425.7081311733
"Pfkl;Pfkp",23733.1,19693.9,8939.48000000001
"Dhdh",24225.2056867482,18280.1842176104,17090.877690596
"Pick1",36438.536290986,33937.5369426816,39846.4671544542
