"","Pool_Ox_V_Slot2-17_1_3795","Pool_Ox_V_Slot2-17_1_3808","Pool_Ox_V_Slot2-17_1_3821"
"Shc1",NA,33905.4,26778.1
"Dnajc7",9589.11981675393,10280.8286927857,12214.2238570421
"Dock7",20322.8920764178,23570.1561491075,24919.0364001079
"Golga4",46433.1354973056,44911.0404115344,54907.3566644622
"Dhx15",17599.0775583877,18400.7243638346,18064.2433418446
"Lasp1",163768.571324326,184872.723587475,173891.28627427
"Lamc1",4275.31,6327.36999999999,NA
"Plg",NA,NA,12900.9
"Sarg",8545.5120523822,5960.69294348467,7863.04704727697
"Grk2",48346.0598621341,48927.1147033568,38666.1733758805
"Atp2b2",6388.15999996178,9393.00999994376,12468.8999999254
"Atp2b1",20452.2319971617,24704.8926961971,26739.4404203697
"Dgki",8149.2814112863,6095.14806847371,5141.64999997154
"Stom",18404.9913672707,11976.5118629663,19600.0458660249
"L1cam",11991.6,8326.67000000001,13833.4
"Vps4b",21476.3820073665,25205.885334107,22209.9831879844
"Rpl4",139365.770404034,145182.110442181,125971.779789472
"Dlst",31661.0979895109,33433.2340173368,33075.8973848869
"Gopc",71259.1689506269,78064.8776723904,64105.8476151936
"Zc3hav1",21493.656723286,22932.7676037755,24999.5345214676
"Tceal3;Tceal5",70523.4654257496,74089.7941612498,75402.5336745256
"Abcc5",NA,13090.2970315008,19190.9262229472
"Sytl2",12860.2258161739,13951.3862955938,13418.4875700068
"Ncoa7",52728.2480236275,54529.4505558726,52159.1506958083
"Tmx2",94972.9593055835,102429.440085365,80620.9961986621
"Casp3",58880.5999995949,57514.714170032,52173.4924210443
"Copb1",55112.8716315425,60905.1076391011,61172.3597351393
"Sncg",9272718.34004375,8599496.59013809,9345359.59694958
"Tnks1bp1",48819.5173670519,48607.3642560009,56279.5810077112
"Srpra",48872.7614502378,51356.1153382952,47797.9578676274
"Dok1",40616.013016,48746.5176706584,40307.9347281751
"Gng2",6406.10999999999,7565.16,9803.69
"Cox5b",102740,83379,93023.3999999999
"Jpt1",156275.087441181,165451.428547996,163948.999998752
"Hnrnpa3",317837.461514583,254373.116554535,297120.020666763
"Alkbh3",23020.8095094044,25724.7497899874,23437.4999998495
"Tomm5",NA,NA,8806.15
"Mtdh",299010.944168431,309225.275561125,313572.248034479
"Scrn3",4798.6,12100,11794.8
"Myo1e",34539.0766070056,29823.5176862525,34551.6501657552
"Snrpd2",382204.040212152,307132.64934935,305493.533407633
"Usp7",28877.6417072283,27909.5560361515,33299.1419450818
"Clic1",440604.449739041,459217.853410442,352022.016122291
"Slc25a3",NA,NA,20821.4
"Snph",3421.84,833.181,1885.88
"Stam2",14532.9945465036,14701.326157944,13535.9147832255
"Acadm",NA,NA,13562.6
"Psap",16353.5,12642.6,NA
"Pfdn6",19473.2261518541,14222.6035752882,19638.5503232931
"Katnal1",16610.4949860461,16028.8985009103,18349.6619072853
"Tjp1",23742.244327689,18837.46736966,29908.1126851013
"Sart1",NA,17973.6,17428.8
"Zfyve16",24956.9774345584,24391.8958405312,28143.3321177668
"Arfgap3",16769.3122421268,20586.3079687657,18573.1461257779
"Rufy3",209779.9017465,227567.218518536,176605.323949628
"Cltb",45514.5590168364,40512.3695545684,43615.8830871383
"Rab1A",18050.0252914565,19324.9900169168,16611.4417209033
"Spag7",51186.6819058553,48359.1292854587,53134.8493839568
"Hint3",81591.3272189134,95266.1551774249,NA
"Stx7",192470.617510897,203192.068934002,207697.053253803
"Qrich1",NA,10089.3,NA
"S100a10",NA,25357.9,23123.5
"Anxa7",16377.9256734977,12784.9998178258,8357.96004782882
"Eif3h",37869.184470895,40129.5168081307,53141.4690267124
"Nsfl1c",20585.6432501413,22869.7111196764,24913.916821741
"Cacnb2",4926.5,6338.15,NA
"Cacnb1",NA,NA,15985
"Soga3",50938.2144241076,57505.9550488983,55848.0039813602
"Csk",20394.7327885706,14258.0371270896,17313.4999998961
"Ptbp2",35391.1841059354,37928.6742932752,36832.9116884715
"Ckap5",11810.1353013168,13049.4604796808,14429.1965875574
"RTRAF",21314.2046700963,7599.60649404719,19173.3741150388
"Usp10",69634.9411873099,63512.6540774048,64212.2049646931
"Madd",30807.2205712159,27840.945278888,30245.5892960566
"Ppia",81898.3868683614,68167.6159357811,48292.8410504532
"Araf",72178.5759588606,85479.4736353835,70724.3083036846
"Rabl3",91051.8869773965,98627.5110798877,70266.0048379552
"Fads3",11366.1,11626.5,6075.86
"Ampd2;Ampd3",25825,30390.1,21683.9
"Prkcq",11235.6,10806,17642.9
"Ptbp3",51698.8432956587,41509.2142069045,41959.592202607
"Lsm12",97539.5600508851,121598.499835666,101859.827488652
"Cadm3",21419.8356656688,23587.6054174011,27348.1373574349
"Cs",103956.350721095,102782.669156388,108462.992103164
"Rbm26",8872.76874670166,8068.18657599146,8653.43011923564
"Snca;Sncb",889381.768121169,1171556.5709792,1046035.78609568
"Mdh2",16638.002886217,15337.891993994,15954.277897094
"Eef1a1;Eef1a2",880059.063140664,760489.616198463,815256.887138549
"Ist1",223445.296639846,187090.751808294,184295.293529778
"Ampd2",135137.595672227,135546.549913517,132841.962088326
"Peak1",9776.53498489723,6780.95022514367,6899.26974370435
"H3-3a;H3-5;H3c1;H3c2",115538.590499315,82424.2222668886,85672.7764200816
"Cux1",13569.0786571006,18759.8727680871,21681.3887324474
"Reep1",29159.0436763884,26312.9792592605,28289.587427428
"Reep2",9172.15861695335,10450.1084279867,12720.4745625279
"Rsrc1",NA,NA,8186.9
"Dynlrb1",12763.3,9781.98,13242.5
"Impa1",27211.8835182402,31297.0288748557,36794.5465229935
"Rps7",27298.6216162886,28836.6271880204,31579.0504820468
"Baiap2l1",26952.6730211996,22642.649996624,24506.2479763291
"Iqcb1",15415.5695089659,16806.089598605,18254.0739919398
"Sf3b1",65843.5814491418,71596.301268459,64190.2854374917
"Golga1",10739.1842312504,12407.5900973434,17668.7205429612
"U2surp",43168.7171820915,40660.8480244432,33619.8025402835
"Maoa",NA,15540.7,19640
"Oga",22632.6,19708.8,22577.6
"H2bc12;H2bc14;H2bc3;H2bc4;H2bc7;H2bc9;Hist1h2bp;Hist2h2bb",NA,338791.000007078,273051.000005705
"Fxr2",82617.1534014131,87179.6625220113,92744.4382004489
"Eif5",246247.545766463,253855.669088538,232259.555882501
"Dgki;Dgkz",NA,20201.5557607939,23234.6622123092
"Tcp11l1",23960.6206588938,16007.3100883075,19082.0999998811
"Caprin1",105605.168050793,85352.0584780085,95838.1655096854
"Cdkn2aip",34757.6935078866,31207.0340882743,29322.8273849798
"Cops7a",24404.7549875556,32284.2043327234,20822.7625755417
"Pcyt2",NA,27753.6571647685,32333.9425122474
"Thumpd1",NA,17034.2999553086,19047.9308196769
"Gramd1b",29093.6895611934,21900.2592535411,24575.9575803434
"Mob1a;Mob1b",7420.02,4117.28,12279.3
"Eif4a1;Eif4a2",43409.0060485847,22040.2443121065,21452.8386861121
"Tpi1",26309.5096140584,22961.260933145,20919.4938785995
"Rnf121",70588.602804989,63243.9504730644,46719.9423052832
"Psmd2",20966.0342572322,27253.4290288699,24806.744855417
"Gmps",NA,6312.93,10902.1
"Nup62",17070.5703807429,18776.726372326,19484.0360226672
"Gga3",33212.4115063851,30229.5460388716,28745.385229719
"Pacsin1",57855.5368131886,50311.8533372468,58224.3801033098
"Rpl32",20400.6892536159,19224.0518144043,18908.1719986612
"Retreg2",1357.37,3546.41,5721.24
"Trim36",23066.8869873462,21197.1568674407,20046.837511659
"Ank3",23440.7883788191,17565.1731820165,16846.328553049
"Zc3hc1",NA,4252.07,5261.56
"Hsp90ab1;Hsp90b1",64331.9,61928.5,94366.3
"Hsp90aa1",16179.7868275885,23873.8603220571,26216.1132066973
"Usp9x",22482.1671310686,25767.4560105357,19098.7615324447
"U2af2",31142.8184202972,17071.3470443963,26225.29999984
"Lnpep",30334.6029965892,28496.2750030318,27263.8305373867
"Pcyt1a",27220.4083415018,31435.9667129693,38615.8970892885
"Abr",26199.7999998299,24301.1963160338,33121.1252286577
"Pi4kb",NA,29083.7,27932.2
"Cacul1",NA,5072.09,12422.7
"Eea1",11107.5409050472,12081.3776932235,11037.6591860968
"Ank1",95294.5101125769,94686.9500314856,82757.4996695332
"Arl2",31311.5484471214,21064.9699084905,23232.3320344107
"Sfxn3",NA,NA,12949.1
"Slc37a1",NA,7734.82000000001,7081.02
"Fitm2",6936.87,7113.12,4348.94
"Rnf40",8830.9144337113,10037.2056759746,11791.816502366
"Vcl",45734.3686641004,41375.0556154964,48311.6825009284
"Chmp3",80333.7331564166,83334.0487441176,67258.8809716396
"Ap1s2",11960.9,19526.1,18188.7
"Mob2",17811.1456121525,22210.3993838281,20371.3212272992
"Echdc1",37483.9489354405,38533.9854399185,52184.6672866572
"Sec23ip",21633.5498506916,20054.9328404364,19149.2978932882
"Syap1",61203.2381445484,61065.456238602,56937.7328356851
"Sar1b",6313.06,10839.3,8433.79000000001
"Tmx3",35931.1394920527,41041.0603946302,44725.6895340722
"Ptpn1",36972.7042538186,33536.0983651093,40487.6934365593
"Fubp1",137844.561312232,116281.719345186,109634.999999211
"Coro2a",21184.7228357679,20000.7978750614,21156.6402209741
"Nudcd1",7453.45,10398.9,7127.58
"Epn1",NA,12546.7,9148.77
"Ric8a",NA,NA,20106.3
"Las1l",49079.2481686374,42081.3503461474,35212.5748311176
"Czib",11595.240110349,11447.8802840789,12684.0999999248
"Relch",32975.860745349,30573.7678551966,28333.2659601375
"Crlf3",NA,NA,9742.87
"Arcn1",40067.2955146237,41456.8582261787,42398.21865379
"Eif3l",40073.7979913363,35994.3363577501,40407.3132067769
"Ebag9",NA,3304.58,10954.8
"Larp4b",37793.6241364989,40194.2519697726,45550.3104691773
"Ciapin1",69576.3533782081,74840.3244701568,64453.2633383769
"Calr",13403.1904233268,12969.7972210303,NA
"Snapin",24407.2874478798,20501.743993729,17629.6150580392
"Pgm2l1",NA,NA,9624.28
"Ctif",21775.1401971619,23431.1844746335,44238.1575898059
"Prx",258470.065934767,277049.310605913,291283.519795249
"Akap9",15921.7567688061,14338.6025412905,14716.6496870577
"Ina;Nefm",NA,1182230,NA
"Isl1;Isl2",22511.3,12384.1,16542
"Snca",106894.453291457,121930.400877511,112554.019008635
"Ptpn12",25886.4160960872,27490.5028207245,35669.3307199438
"Sfr1",18979.3510898787,18882.430306982,15965.5916796513
"Exoc4",22929.9850241405,21525.5999998645,21107.5885703527
"Jmy",7663.05,10918.4,17653.3
"Wdr24",8802.06909373603,10340.1236209498,15634.9816703538
"Mtss1",32956.5996078949,30811.6348657799,36348.0697426688
"Tnpo1",12102.6483481954,11518.0788288104,10923.7560963413
"Camk1d",16829.2479789824,16370.3983980874,24820.5627218983
"Nploc4",18069.1821984436,21162.4705767898,16670.2121825016
"Ubap2",280669.590684444,254686.177537715,212025.274838299
"Camk2d",56361.4594326395,52065.8792389244,38172.0208341989
"Pcbp1;Pcbp2;Pcbp3",229941.058690668,226925.005924671,243052.730847606
"Rps27a;Uba52;Ubb;Ubc",171377.021333453,166311.992290232,153724.854330377
"Atxn10",36862.2137522008,31978.4811600155,31793.3633097037
"Stard10",10815,11656,12239
"Diras2",31762.3468858028,33837.3347974188,33947.3110970027
"Cltc",17655.6346004871,14783.7641693153,16125.145307181
"Kcna2",19900.3998121185,22520.9718914176,21475.1205773873
"Coprs",63220.6052716636,42894.1913849649,53794.8668076873
"Asns",9728.58000015031,12658.9000001956,12407.3
"Eif3j1;Eif3j2",102233.5746894,104880.107878397,111627.226244325
"Znf207",19617.2112723733,21774.0226895906,25908.7319243294
"Tmsb10;Tmsb4x",NA,1140710,NA
"Fkbp15",31449.3102416965,29621.6999998105,26398.1908022474
"Cct4",23734.0999998512,21505.7202663562,27290.6300371998
"Psma1",NA,11294.4,13181.1
"Mapk8ip3",NA,NA,3267.81
"Abhd12",19510.7424921772,21513.011279526,18844.9534867457
"Eif4a2",12678.8,10979.5,9277.11
"Tex264",26864.0029418604,27338.2318383522,26053.7030155864
"Ndufaf2",NA,44255.6,43965.5
"Pcbp4",36421.4757368132,41277.0714893027,36969.3156614325
"Abcf2",11118.8346114172,13800.7961979842,12522.82596117
"Gmds",126151.999999075,111729.999999181,108034.999999208
"Kif3b",33533.3880505371,34254.7239604477,32838.9636620546
"Steep1",11444.2243140972,15952.9637567537,16907.1158500461
"Tln1;Tln2",41496.0588477834,40306.6138867031,41625.9342961676
"Krt17",49118.9,45220.8,46238.2
"Dync1i1",45921.1662733556,43043.0701174529,45896.3280693855
"Rpl36",21072.9,NA,15909.8
"Tubb3",169748.931705781,175710.122818577,175193.191929057
"Steap3",46595.5193193244,38534.2686343559,46767.0049903593
"Pcbp1;Pcbp2;Pcbp3;Pcbp4",23255.4,NA,NA
"Mdh1",46728.1654367606,48199.967976177,42738.3407880298
"Metap1",8555.21032203827,9369.93335338215,15549.6111633443
"Pfdn2",82764.4099784128,63573.6962977517,64712.5574313972
"Cpt1a",21420.1999998592,28236.4353441296,25358.38763725
"Mast4",2358.08,1849.31,NA
"Cenpj",NA,NA,3457.51
"Eef1a2",199648.202369585,213866.609546725,235470.047668764
"Atic",8743.96999994851,9854.15909060341,10710.1958191842
"Slc30a6",NA,23504.7,NA
"Eef1a1",630605.718502908,127559.735533317,156768.385480085
"Niban2",47303.1203297619,50904.611394559,50884.6451289689
"Top2b",15088.7507636266,11529.7314225776,16034.9597299969
"Snrpa",17924.1,18659.8,18305.4
"Ptma",23658.7996411586,19256.330471632,15363.4955903707
"Hnrnpab",127378.741833363,93566.9060201847,78217.9614782874
"Comt",168142.080469213,165659.021624002,131031.395652835
"Otub1",15077.1548174553,14827.6792210877,13093.8826058565
"Mapre1",19074.1695125281,14103.3075462705,17183.0285009847
"Mapre2",38313.9974869693,52111.0709898098,56741.0124673677
"Kif5b",31511.4476226926,31422.1257334861,32425.7952763895
"Hnrnpd",185300.478623908,115715.590153669,162125.943706644
"Arfgef3",16408.1006179705,16126.690461832,18626.0565005291
"Krt80",NA,NA,189479
"Taldo1",106548.13372967,106953.221567469,105524.061399374
"Rab1A;Rab1b",34424.1004388326,16325.1239520556,23418.2259932227
"Eef1g",63214.3389209624,58001.5901477898,50657.3452638366
"Actn4",NA,NA,10607.3
"Snf8",21483.9,26512.3,18278.6
"Ranbp1",17649.6889449152,18667.8831493794,11053.0667711667
"Krt1;Krt2;Krt5;Krt6a;Krt73;Krt76;Krt79;Krt8",NA,266953,171076
"Cyld",17431.5897424471,12397.1183202279,NA
"Arpc1b",59252.6450572779,60609.403427652,58604.0933315639
"Phb",13965.5043966279,10556.7339575082,12418.8306128811
"Eprs1;Qars1",23941.7,24710.9,20741.8
"Napg",42348.4932860687,37505.5370298988,40087.1408076049
"Tmed8",9654.77302669114,9963.61316386725,9217.49552732983
"Prkag2",21609.3377128778,21533.7850206807,17560.5915542737
"Snx7",16718.6515660786,17127.2191221485,11921.823549478
"Csnk1a1",26192.4524088342,27356.0385671652,50448.4372955419
"Naa35",43645.8309827727,44210.5259941548,43099.2765553891
"Tmem65",36281.828792203,40784.2501307272,43496.6299085271
"Mapre1;Mapre3",NA,NA,8804.51
"Plekhd1",40132.8620141493,43565.8580961589,35610.330344398
"Pura",87499.7900525575,87565.4185383113,56523.0132962624
"Wipi2",103688.015737862,92149.8807855363,90651.5852786265
"Hnrnpab;Hnrnpdl",NA,NA,122635
"Pip4k2b",18738.7014597398,20374.6836923399,29265.2940041208
"Cpne1;Cpne3",NA,35592.1,39303.8
"Rap1gap;Rap1gap2",NA,13155.1,NA
"Habp4",65796.1715968472,65674.4960386689,69915.0484656117
"Ufd1",18594.3,NA,18196.4
"H2-K1",9127.62999999999,NA,NA
"Setd7",30785.5849374744,33054.6710299449,36824.6371932938
"Ablim2",26420.6923475589,24740.3101421524,21399.7746619507
"Pafah1b1",10365.2819447378,12194.4652323372,18730.5999998872
"Septin9",28635.472956867,27068.7215074148,24656.047019461
"Prrc2b",16134.6640903371,18707.6745978008,16588.8190062867
"Clic5;Clic6",50758.3,NA,NA
"Krt1;Krt73",NA,197622,NA
"Rgs6;Rgs7",9331.34,13126.8,NA
"Ppp2r5c",NA,NA,20457.1
"Appl1",17390.4999998946,14686.1005875048,16236.1383388578
"Hspe1",83438.2999994154,68675.4999995187,63819.1999995528
"Stac2",19099.5527079719,14181.3999999137,14673.4182355807
"Nme1",29743.1712776614,34574.5504571402,20778.1901215632
"Ddt",59461.9584528745,68308.3363967365,56979.8489358148
"Epb41l2;Epb41l3",NA,115211,75544.6
"Serpinb1a",17201.9755043161,15321.5391870962,15151.2941132782
"Stat3",64502.0657662652,68919.221843442,46513.1531906837
"Sarnp",34366.9948053702,36559.0716109617,33514.3014913873
"Ap3s2",136259.201227474,111745.223559902,142965.370920893
"Tubb3;Tubb4b;Tubb5;Tubb6",NA,104343.163014081,87384.722984811
"Rpl23a",94614.299999319,91321.4840676346,87294.7055165144
"Gdi1",31760.3846082363,23291.0400081306,29638.620098421
"Ctps1",18068.2092819051,20466.4639961702,25742.7921330146
"Plscr3",48033.9182238914,56428.2737933966,49724.7727076812
"Rrm2b",19072.9,19609.3,17921
"Aimp2",20029.3457092095,21386.1721456048,11586.0887149229
"Camk2g",49063.5949363937,45095.7140719088,38871.7992529306
"Wwox",11813.2,13028.2,19820.2
"Snx3",88724.1867141263,97216.7606721575,104307.480706851
"Sra1",NA,9324.97999999999,9878.45999999999
"Capza2",NA,4833.37,3830.54
"Dpysl5",27622.0998600347,29894.4917766458,36775.4957489095
"Asl",28482.2983808643,39196.5229829793,36000.1144141673
"Ctnnd1",24008.7836026269,25500.1454911962,23056.0876449476
"Fau",NA,35053.6,72252.6
"Srgap2",19584.8176681588,20111.7536409546,18146.5999998854
"Mpp1",31785.4294591054,34753.0383742979,33942.1799570115
"Got2",21492.8465530417,13287.3430108971,16491.5455313994
"Psmc5",16775.0399929204,20127.584992158,18575.9636241103
"Eef1d",272650.38288875,248777.226040391,207043.728905113
"Epb41l2",22967.3152990051,28921.3191219748,19219.1658431691
"Ap3s1",296866.372441781,301541.653034911,301189.999997598
"Ankle2",9449.13230990541,10847.4157678036,9210.88237394638
"Gapdh",49567.8080351514,42638.434108565,47854.9744353774
"Stxbp5",26747.7302933378,31672.0658901619,34617.5459951205
"Pfkfb2",12675.9424758437,11754.0245375946,15107.199999909
"Igf2r",NA,14599.1,19336.1
"Fhip2a",23902.1,24464.1,22350.6
"Hcfc1",27562.2612834256,32768.6353563588,39050.4016330714
"Tdrp",61337.1357628307,42267.158102844,54447.8802325454
"Csnk1d",11104.2,12086.8,15767.9
"Tagln2;Tagln3",84014.8099116319,126156.706574743,104541.174416764
"Tagln",30991.1,23080.2,NA
"Atp6v1h",37907.0372799117,37545.7712640455,37666.0138372592
"Eif3d",14810.7374880604,16472.6400427421,15629.7171204036
"Hspa4;Hspa4l;Hsph1",NA,NA,6485.75999999999
"Col1a1",65830.4639743775,69657.5856136046,81226.5465107476
"H2az1;H2az2",31833.1,34276.4,25595.1
"Snx12",19052.5102270883,19585.5932091666,17910.8097832935
"Arpin",51407.8872232728,56332.2179682823,40518.507605601
"Camlg",25193.6999998399,25697.9999998367,39000.9999997521
"Slc35a2",16178.1,26356,23424.5
"Snrpe",75700.9,79119.3,59611.7
"Map2k4",17375.8,14958.9,19881.4
"Col1a2",46673.9708838748,45690.0634110529,51093.954585255
"Dctn6",95984.0222305058,76100.79999946,74099.9485112072
"Ddx3x",29675.8601812603,33431.5399902723,25150.0879842164
"Ube2j1",24172.2,24189.4,27138.8
"Atp5pf",19066.3,15964.4,17804.3
"Osbpl3",89611.0913013196,93123.2160399447,86728.0622589013
"Slc27a4",17620.9512511535,18848.3507737669,21934.5466551443
"Katnb1",10908.3255357902,17965.7358545034,13058.9665723796
"Ahcyl1;Ahcyl2",46518.9339156851,50181.3999996567,51129.365893862
"Stim2",9680.57000000001,9209.01999999999,NA
"Nup98",33773.9411695156,47181.4210671,NA
"Zc3h11a",NA,11371.9,7112.31
"Usp19",16686.7384105153,14114.3297373441,16604.0791074747
"Clip1;Clip2",62390.794241879,53843.4167729675,61675.1525257472
"Rbmx;Rbmxl1",44494.3813887189,28578.4954907857,28050.8783259053
"Txnrd1",32832.2795149645,31886.7350707406,36648.7570772235
"Nmt1;Nmt2",63258.0841592382,71638.6691763052,62209.0874688334
"Rbfox3",55467.714881434,51784.1814017652,53565.5626516495
"Nebl",60326.3916183134,62138.5947188125,78845.2538954635
"Rpl13",57616.8066298875,60499.9407962979,52504.1472430177
"Dclk2",32395.6,NA,33584.2
"Dclk1",77835.7488691686,90914.0956804154,90438.1415186189
"Acbd5",43904.9999997092,35281.533382149,43255.7957804618
"Ralbp1",NA,8948.81,9788.71000000001
"Efnb1",4326.62,7059.33,5141.68
"Pfkl;Pfkm;Pfkp",48208.094979625,49894.5981577152,23362.5277399133
"Tmem263",39480.9994995818,54281.0321675535,46090.0028724248
"Svip",NA,NA,20606.6
"Phactr4",11620.9999999319,10106.4999999407,12905.3999999243
"Dnm1",17737.8841371945,18082.7580043248,15921.2864546502
"Ddx39b",NA,4724.39,NA
"Arrb2",9136.72715501753,12071.719586556,16393.1413175251
"Acot1;Acot2;Acot3;Acot4;Acot5;Acot6",10950.7,9094.65,9222.71
"Pgrmc2",28368.4484895518,24029.2021583018,23890.4945120855
"Stat2",6436.07091768288,6695.68080134748,NA
"Zzef1",10347.5807822758,12563.1901352748,12819.4104356369
"Igbp1",53342.7246668786,56807.0426766256,51380.6677130611
"Srgap1;Srgap3",24904.7,18063.1,26597.4
"Prdx2",87703.5071380772,99636.6905734272,94422.2648233753
"Prdx1;Prdx4",NA,74571.1999999999,60045.4
"Zranb2",13252.7942980664,14622.7587894796,8989.8743911703
"Stx8",22606.1534672838,29752.7222755196,17823.7603479924
"Ruvbl2",19612.2320846666,25268.45834597,18776.0386687762
"Ruvbl1",27104.7499964907,29335.4847875267,28077.3846486872
"Anxa5",69260.9710308157,68657.3162329989,70347.2967541412
"Katnal2;Spata5",NA,NA,59881.5
"Adprh",12635.4,16939.6,14747.6
"Ugp2",9669.77000000001,11672.8,13156.4
"Hnrnph1",23487.8778825415,19711.4853461172,21903.0903900825
"Rbms3",41281.8950975711,50270.367009349,48787.1664640522
"Grsf1",128445.471772631,143445.792446779,131836.411210729
"Kcna1;Kcna2",29842.3999998095,29154.2999998139,23907.7999998474
"Rps13",3738.04,198.436,NA
"Rpap3",13671.182771608,9188.34539474378,12105.1339173545
"Cd2ap",25417.4213233582,30908.0759966047,23652.1580638175
"Crmp1",54893.0660739917,64557.2258844297,56907.282668926
"Ddx6",53918.5571058694,39781.7570452606,43126.5486126007
"Csnk2b",8860.65,NA,NA
"Slc25a4;Slc25a5",NA,303056.886307134,368351.182442682
"Carhsp1",38211.7,38656.4,47885.4
"Mtcl1",21823.0611866644,25400.8911382474,35265.7426047256
"Vapa;Vapb",176764,178661,78360.0999999999
"Mvb12a",19443.2999998836,12197.7453452462,19484.6693950518
"Ubxn6",12797.917251084,15116.1949931958,14502.6559404519
"Ttc9",37521.6630432735,38424.9484573269,30967.8523621148
"Ppp1r12c",14962.5022148272,14067.5771130859,17735.0009688206
"Ten1",30677.5542311506,27132.637388857,32477.1359338823
"Ssbp3",36922.0576497368,36917.6978607979,27780.199999816
"Add1",91284.4922022991,95232.0918045507,100471.392124138
"Jpt2",54959.8770045145,52182.4089789442,55271.1953226595
"Clybl",12692.5999999189,11747.2999999249,18101.5999998843
"Kiaa1107",19462.3,20566.7,NA
"Mink1",39721.2848307269,33975.0090791842,30139.4715886937
"Arfgef2",25844.5441081019,25129.5999998391,25347.0968298588
"Ssr1",7929.70000000001,NA,NA
"Lars1",24493.7780786835,21349.7122927987,22666.7973624467
"Tiprl",17180.0267586502,16943.1729040316,20893.2693610319
"Eif5b",20225.8,8146.85,13613.1
"Vat1",14778,12378.6,18669.7
"H1-0",2698839.99997476,2737209.9999744,2666269.99997506
"Nif3l1",NA,13219.2000002064,17116.6000002672
"Pepd",11913.8825331842,12632.6598097154,NA
"Nav3",34011.2,NA,NA
"Sgpl1",15134.0614322343,17102.1561759854,14953.6702794308
"Hsp90b1",35025.0273956312,27341.2173718993,32323.6565835038
"Trap1",NA,NA,103125
"Atxn1l",7163.33999999999,4291.09,NA
"Akap1",8831.46470080403,11368.0849377815,12764.8387165751
"Tdrkh",8982.59999999999,8645.11000000001,6878.67
"Cacnb1;Cacnb2",NA,NA,12596
"Nans",17728.9133590049,10459.1401956507,20622.9044655431
"Slc25a12",10131.7459600842,4833.24131265507,4072.27999997941
"Hsp90ab1",98061.895449806,82677.7741210851,97084.1846425469
"Bcas3",19436.9198298314,14260.5080652219,17521.6822124559
"Blk;Cdk20;Cilk1;Fgfr1;Fgfr2;Fgfr3;Fgfr4;Fgr;Fyn;Hck;Lck;Lyn;Mak;Yes1",32913.3,39845.3,NA
"Cct5",16906.0494353118,19731.4184088866,17047.8597568105
"Otud6b",11317,9946.34,NA
"Gemin5",26033.8390453486,25232.516766119,25730.7180672116
"Ppp1r21",15050.7583677385,13608.7063811963,15576.2046937969
"Elmo2",8844.60469230905,10199.871643404,15806.8763219015
"Aspscr1",16013.4,14696.5,10167.8
"Abcd3",21335.8140820179,23226.3482651933,20047.9299089617
"Txnl1",16703.4473683594,18319.0221323426,16940.098325231
"Nup133",5133.227116127,6626.89999996334,3545.3527292067
"Tacc1;Tacc2",15225.1,15084.3,NA
"Mknk1",NA,NA,13203.5
"Cc2d1b",3568.08999997803,11595.8999999286,9800.26999993964
"Pitpnc1",10635.929301967,13122.6467007851,NA
"Mpnd",23132.8,39467,NA
"Slc12a6",NA,NA,11034.5
"Set",199580.208994856,191926.999998524,173961.796283924
"Smarcal1",21670.7,12180,47609
"Bclaf1",19523.1445637947,22427.3571211598,24619.706472222
"Ass1",NA,18879.8,19462.3
"Rab23",13451.6706965141,20717.2280564376,20059.7251649087
"Sar1a",NA,8893.64,NA
"Aktip",45864.6,47772.3,55446.6
"Tbc1d15",NA,NA,7382.09
"Gng3",NA,NA,36680.7
"Nasp",6553.30605557893,6556.33805576083,6275.85742083565
"Rps14",48732.3864218381,38132.1587796031,39751.1166743688
"Eno2",9337.37999999999,NA,NA
"Vps37c",18384.6929090712,26639.2334675301,26023.2999998298
"Tmem45b",18363.9,16207,15092.4
"Acp1",50860.1201478647,47656.3403283336,40364.3917870336
"Msr1",42642.3,NA,40566.3
"Dsp",11269.2934863539,12564.8155482475,12590.5647287306
"Dmd",13279.3496385301,12381.7642118292,12677.1266517469
"Crmp1;Dpysl3",NA,34498.7,24375.8
"Hnrnpa1;Hnrnpa3",NA,343694,245832
"Syt2",NA,NA,17588.5
"Nat8l",24382.9417933765,17335.6901662156,12805.5985558986
"Gnao1",35747.4912305071,46371.4728582982,39695.3124235078
"Araf;Raf1",NA,42102.5,42211.2
"Slc3a2",12721.475852569,12131.16934453,20005.7846333939
"Cyb5r1",NA,10293.5,9925.91
"Ythdf1",15860.4063050937,14085.5929691836,19879.2123985527
"Atp2a2",18588.7876138142,12027.1840423381,13966.6619857318
"Ola1",20184.1117491181,20281.2849685574,20551.735162556
"Raf1",17759.1520862969,20103.8560653956,10939.5463647215
"Magoh",76040.3999994604,72755.8952532823,78398.1276577267
"Snx6",18635.3927761865,19550.0248736588,12837.2615812352
"Plpbp",19401.6,34403.1,23068.2
"Rps4x",12692,NA,NA
"Psmd4",17733.6304714209,14578.0853481271,10986.8311929144
"Ppa2",NA,14556.1000002297,18505.900000292
"Tkt",21165.5565061907,17842.0976353294,21347.233175539
"Rabl2",27924.1,27690.2,29841
"Bag2",16011.9603379276,12695.2272206236,13062.999999923
"Sephs1",NA,6468.17044908638,6204.27792870257
"Hint1",NA,NA,144743
"Cbx3",11480.226611137,20410.3767272809,24274.640603943
