"","protein","Source"
"83","Gna12","LSC"
"84","Gnai1","LSC"
"85","Golga1","LSC"
"86","Grik3","LSC"
"87","Gtf2i","LSC"
"88","Gzmk","LSC"
"89","Hap1","LSC"
"90","Hars1","LSC"
"91","Heph","LSC"
"92","Hmg20b","LSC"
"93","Hmgcs1","LSC"
"94","Hnrnph1","LSC"
"95","Hoxd11","LSC"
"96","Hpcal1","LSC"
"97","Hspa1a","LSC"
"98","Hspa1a","LSC"
"99","Hspa1a","LSC"
"100","Hspa5","LSC"
"101","Hspa8","LSC"
"102","Hspg2","LSC"
"103","Ikbip","LSC"
"104","Il16","LSC"
"105","Ipo5","LSC"
"106","Iqgap1","LSC"
"107","Irf2bp1","LSC"
"108","Itih3","LSC"
"109","Itm2b","LSC"
"110","Kbtbd3","LSC"
"111","Khdc4","LSC"
"112","Kras","LSC"
"113","Krt10","LSC"
"114","Krt10","LSC"
"115","Krt13","LSC"
"116","Krt14","LSC"
"117","Krt15","LSC"
"118","Krt16","LSC"
"119","Krt1","LSC"
"120","Krt1","LSC"
"121","Krt1","LSC"
"122","Krt25","LSC"
"123","Krt28","LSC"
"124","Krt2","LSC"
"125","Krt31","LSC"
"126","Krt31","LSC"
"127","Krt31","LSC"
"128","Krt35","LSC"
"129","Krt6a","LSC"
"130","Krt6a","LSC"
"131","Krt6a","LSC"
