"","Gene","Tissue","Type"
"369","FAM120A","DRG","DEP"
"370","Ruvbl2","DRG","DEP"
"371","Nek1","DRG","DEP"
"372","Borcs5","DRG","DEP"
"373","Sh3glb2","DRG","DEP"
"374","Arhgap17","DRG","DEP"
"375","Cdc37l1","DRG","DEP"
"376","Irgq","DRG","DEP"
"377","Tcp1","DRG","DEP"
"378","Ralgapa1","DRG","DEP"
"379","U2surp","DRG","DEP"
"380","Gatad2b","DRG","DEP"
"381","Stat2","DRG","DEP"
"382","Rufy2","DRG","DEP"
"383","Larp1","DRG","DEP"
"384","Efhd2","DRG","DEP"
"385","Taldo1","DRG","DEP"
"386","Usp7","DRG","DEP"
"387","Glrx3","DRG","DEP"
"388","Jpt2","DRG","DEP"
"389","Kif21a","DRG","DEP"
"390","Pabpc1","DRG","DEP"
"391","Rpl6","DRG","DEP"
"392","Smcr8","DRG","DEP"
"393","Hspa12a","DRG","DEP"
"394","Hnrnpa0","DRG","DEP"
"395","Cct6a","DRG","DEP"
"396","Sec16a","DRG","DEP"
"397","Hnrnpa2b1","DRG","DEP"
"398","Eif4g3","DRG","DEP"
"399","Atp5f1a","DRG","DEP"
"400","Cbl","DRG","DEP"
"401","Rpl13","DRG","DEP"
"402","Dnttip2","DRG","DEP"
"403","Sirt2","DRG","DEP"
"404","Psma7","DRG","DEP"
"405","Dgkz","DRG","DEP"
"406","Nacad","DRG","DEP"
"407","Ubl4a","DRG","DEP"
"408","Etfa","DRG","DEP"
"409","Tdrd3","DRG","DEP"
"410","Katnal1","DRG","DEP"
"411","Dbn1","DRG","DEP"
"412","Ddt","DRG","DEP"
"413","Pacsin1","DRG","DEP"
"414","Abhd12","DRG","DEP"
"415","Rpl7","DRG","DEP"
"416","Tmod1","DRG","DEP"
"417","Rimkla","DRG","DEP"
"418","Diras1","DRG","DEP"
"419","Eif3h","DRG","DEP"
"420","Nup62","DRG","DEP"
"421","Otud4","DRG","DEP"
"422","Sfpq","DRG","DEP"
"423","Sec31a","DRG","DEP"
"424","Macf1","DRG","DEP"
"425","Slc27a4","DRG","DEP"
"426","Nedd4","DRG","DEP"
"427","Sub1","DRG","DEP"
"428","Scrn1","DRG","DEP"
"429","Pikfyve","DRG","DEP"
"430","Usp15","DRG","DEP"
"431","Commd10","DRG","DEP"
"432","Pitpnm2","DRG","DEP"
"433","Pfkp","DRG","DEP"
"434","Ptges3","DRG","DEP"
"435","Rabgap1","DRG","DEP"
"436","Tpd52l2","DRG","DEP"
"437","Efl1","DRG","DEP"
"438","Usp14","DRG","DEP"
"439","Bclaf1","DRG","DEP"
"440","Epb41l1","DRG","DEP"
"441","Gorasp2","DRG","DEP"
"442","Qars1","DRG","DEP"
"443","Clic1","DRG","DEP"
"444","Clasp1","DRG","DEP"
"445","Hspa4","DRG","DEP"
"446","Nrbf2","DRG","DEP"
"447","Rps20","DRG","DEP"
"448","Snx9","DRG","DEP"
"449","Trim9","DRG","DEP"
"450","Pura","DRG","DEP"
"451","Ncoa7","DRG","DEP"
"452","Mvp","DRG","DEP"
"453","Hsp90ab1","DRG","DEP"
"454","Fth1","DRG","DEP"
"455","Luzp1","DRG","DEP"
"456","Atp6v1b2","DRG","DEP"
"457","Rufy3","DRG","DEP"
"458","Dhx9","DRG","DEP"
"459","Rangap1","DRG","DEP"
"460","Ublcp1","DRG","DEP"
"461","Vat1l","DRG","DEP"
"462","Clip2","DRG","DEP"
"463","Tiprl","DRG","DEP"
"464","Ccar2","DRG","DEP"
"465","Mical3","DRG","DEP"
"466","Mapk3","DRG","DEP"
"467","Pcbp1","DRG","DEP"
"468","Hsph1","DRG","DEP"
"469","Hnrnpl","DRG","DEP"
"470","Tex2","DRG","DEP"
"471","Cnst","DRG","DEP"
"472","G3bp1","DRG","DEP"
"473","Dgkh","DRG","DEP"
"474","Abcf2","DRG","DEP"
"475","Dync1i1","DRG","DEP"
"476","Tmem263","DRG","DEP"
"477","Plec","DRG","DEP"
"478","Pcbp3","DRG","DEP"
"479","Raf1","DRG","DEP"
"480","Calm1","DRG","DEP"
"481","Pik3c3","DRG","DEP"
"482","Arcn1","DRG","DEP"
"483","Thrap3","DRG","DEP"
"484","Snx2","DRG","DEP"
"485","Psmd3","DRG","DEP"
"486","Ppp1cc","DRG","DEP"
"487","Tbc1d9b","DRG","DEP"
"488","Habp4","DRG","DEP"
"489","Cfap36","DRG","DEP"
"490","Atl1","DRG","DEP"
"491","Mapre1","DRG","DEP"
"492","Akap10","DRG","DEP"
"493","Atxn2","DRG","DEP"
"494","Tomm20","DRG","DEP"
"495","Fundc2","DRG","DEP"
"496","Gga1","DRG","DEP"
"497","Dhrs1","DRG","DEP"
"498","Ptpn12","DRG","DEP"
"499","Snrpd2","DRG","DEP"
"500","Hnrnpab","DRG","DEP"
"501","Rrbp1","DRG","DEP"
"502","Syncrip","DRG","DEP"
"503","Hnrnpu","DRG","DEP"
"504","Eif3b","DRG","DEP"
"505","Hnrnpul2","DRG","DEP"
"506","Shc1","DRG","DEP"
"507","Psmd2","DRG","DEP"
"508","Nsf","DRG","DEP"
"509","Kcnab2","DRG","DEP"
"510","Dgki","DRG","DEP"
"511","Exoc4","DRG","DEP"
"512","Cct2","DRG","DEP"
"513","Ythdf1","DRG","DEP"
"514","Ube2m","DRG","DEP"
"515","Ppp2r5c","DRG","DEP"
"516","Nmt2","DRG","DEP"
"517","Tbc1d5","DRG","DEP"
"518","Nploc4","DRG","DEP"
