Gene.Symbol,Condition
Lsm12,Others
Hint2,Others
Snu13,C6
Serpinb1a,Others
Gatd3a,Others
Ciao2b,Others
Cndp2,Others
Vps28,Others
Tmed10,Others
Tbcb,Others
Akt1s1,Others
Rab1b,C4
Hhatl,C5
Lrrc57,C3
Get4,Others
Card19,Others
Mcee,Others
Necap2,C4
Atp6v1f,C3
NA,Others
Chchd2,C4
Lamtor5,C6
Sec13,C2
Eef1e1,C6
Mrpl21,Others
Chordc1,Others
Erp44,Others
Tmem126b,Others
Nol3,Others
Mmab,Others
Fam114a1,C4
Bcas2,C6
Dlst,Others
Dtna,C1
Vps33a,Others
Urm1,Others
Aacs,C4
Coa3,Others
Naa38,Others
Coro7,C6
Mfsd10,Others
Tmem35a,Others
Acp1,Others
Ephx1,C5
Rufy3,Others
Atp5f1d,Others
Plgrkt,C4
Oxsm,Others
Cmip,Others
Tubgcp4,Others
Exoc2,Others
Cul2,Others
Efhd1,C4
Agpat3,Others
Sf3a3,Others
Shpk,C5
Atad1,C4
Cul5,C5
Sec23b,Others
Sun1,Others
Tubb4a,Others
Cmtm5,Others
Ndufb8,Others
Ndufv2,Others
Synj2bp,Others
Ppil3,C3
Slc25a22,Others
Idh3a,Others
Mrrf,Others
Fam162a,Others
Msra,Others
Gbe1,C5
Nop56,Others
Rpap3,C4
Tmx2,C3
Pir,C3
Klhl40,Others
Srp19,C6
Acad8,Others
Gpx8,C4
NA,Others
Prps1,Others
RtcA,Others
Cox20,Others
Gid8,Others
Apmap,Others
Iscu,Others
Chmp5,Others
Naaa,Others
Dusp3,Others
Ggct,Others
Ppa1,Others
Prorsd1,Others
Dnajb4,C1
Uqcrb,Others
Timm50,C4
Itpa,Others
Arpc5l,Others
Chmp4b,Others
Ndufa11,Others
Jam3,C1
Rpl4,C4
Ccdc91,C3
Eef1g,C6
Arfgap3,Others
Rexo2,C3
Bola1,Others
Snx5,C4
Sec11c,Others
Psmd12,Others
Cutc,Others
Ccdc124,Others
Efhd2,Others
Tmem126a,Others
Atg7,Others
Borcs5,Others
Spcs1,C4
Gatm,C4
Mdp1,Others
Echdc1,Others
Ift22,Others
Dcps,Others
Gng12,C3
Cnpy3,Others
Prpf4,Others
Cnn3,C4
Zfyve19,Others
Napa,C5
Mrpl12,Others
Cab39l,Others
Atp5po,Others
Alg5,C4
Mcts1,Others
Iah1,Others
Haghl,C3
Chmp2a,Others
Ap1s2,Others
Prxl2b,Others
Cyb5r1,Others
Uqcrc2,Others
Dhdh,C1
Cpn2,Others
Selenoo,Others
Cmtr1,Others
Prkar1a,Others
Ica,Others
Pelp1,C4
Csad,C4
Alg2,Others
Aldh7a1,Others
Ap2b1,C4
Plin3,Others
Rpn2,C4
Srpra,Others
Tax1bp3,Others
Lman2,C4
Pgam1,Others
Acadsb,Others
Coasy,C4
Lonp2,Others
Cmpk1,Others
Xrn2,Others
Armc8,Others
Ppp1r12a,Others
Tmem43,Others
Klc4,Others
Osbpl3,Others
Ampd2,Others
Mxra8,Others
Rgcc,C3
Susd2,C1
Ikbip,C4
Eif3k,Others
Rgs3,Others
Nebl,Others
Plxdc2,Others
Ergic1,C4
Dnajc10,Others
Abcb6,Others
Crot,Others
Gnai3,Others
Fbxo3,Others
Ndufa9,Others
Ndufs7,Others
Isca2,Others
Pycr3,C4
Pgd,C4
Trmt112,Others
Eif3f,C6
Mlst8,Others
Ndufa8,Others
Npl,Others
Ppp1r2,Others
Paics,Others
Ethe1,Others
Gstk1,Others
Nudt12,Others
Cyb5r3,C4
Mecr,Others
Ndufb10,Others
Akr1e2,C3
Ndufs3,Others
Sdf2,Others
Crip2,Others
Pllp,Others
Mrpl4,Others
Rmdn1,Others
Etfb,Others
Atp5pd,Others
Gmpr,C5
Apoo,Others
Rab13,Others
Sacm1l,C4
Rai14,Others
Emc7,Others
Lactb,C4
Pycard,C6
Serhl,Others
Parva,Others
Atp13a1,Others
Sil1,C4
Xpo7,Others
Clstn1,C4
Ipo7,Others
Acox3,Others
Sync,Others
Nbea,Others
Stard5,Others
Sorcs2,C4
Upf1,C6
Inpp4a,Others
Papln,C3
Hsd17b11,Others
Aldh6a1,Others
Nif3l1,C3
Scyl1,Others
Dpysl5,Others
Cert1,Others
Erap1,Others
Vps35,C4
Mrpl46,Others
Magi3,Others
Mvp,C4
Tsc22d4,Others
Ehd4,Others
Oga,Others
Mycbp,Others
Set,C6
Kif13a,Others
Aif1l,Others
Stx12,C4
Tmprss5,Others
Fn3k,Others
Spock2,Others
Cars1,Others
Dap3,Others
Tfcp2,Others
Snap29,Others
Tubb3,Others
Mesd,Others
Wdr61,Others
Lima1,Others
Strn3,Others
Rdh14,Others
Cse1l,Others
Ndel1,Others
Selenof,Others
Ndufa13,Others
Ranbp2,Others
Ube4b,Others
Arhgef7,Others
Ube3b,C5
Trappc4,Others
Nek7,Others
Extl2,Others
Rtn3,Others
Hrg,Others
Dysf,C3
Nckipsd,Others
Map3k20,C5
Trim2,Others
Mapk8ip3,C4
Anp32b,C6
Agk,C4
Dkc1,Others
Gtf2i,C4
Pygl,Others
Dpp7,Others
Tm9sf3,C4
Palld,Others
Jph2,Others
Jph1,Others
Cpb2,C3
Copz2,C4
Ivd,Others
Tmod3,Others
Rabggta,C5
Slc9a3r2,Others
Lztfl1,Others
Ide,Others
Lamtor2,C2
Palmd,Others
Dync1h1,Others
Isyna1,Others
Nit2,Others
Eefsec,Others
Stk3,C4
Nudt3,Others
Nqo2,C3
Ngly1,Others
Rnf14,C3
Actn2,Others
Lgi1,C5
Prmt1,Others
Copb1,C4
Myot,Others
Ccdc22,Others
Dazap1,C6
Akr1a1,C3
Ddx21,C2
Diablo,Others
Slc12a4,Others
Ralb,Others
Acin1,C6
Htra2,Others
Plscr3,Others
Flii,Others
Abcb9,C3
Rilpl1,Others
Rnase4,C5
Rpl38,Others
Lancl2,Others
Sars2,Others
Tmem9b,Others
Sh3bgrl,Others
Pfn2,Others
Myoz2,Others
P2rx4,Others
Tuba8,C4
Myoz1,C4
Pdk2,Others
Sh3glb1,C2
Prelp,Others
Myg1,C3
Hspb8,Others
Uchl3,Others
Ybx3,C4
Ap3m1,Others
Iqgap1,C4
Mrpl39,Others
Stx6,C4
Tmod2,Others
Tesc,Others
Hyou1,C6
Ldb3,Others
Habp4,Others
Adrm1,C3
Nudt5,Others
Hip1r,Others
Slc5a3,Others
Fmn2,Others
Lgals8,Others
Fmnl1,Others
Gde1,Others
Gltp,Others
Pals2,Others
Pals1,Others
Sorcs1,Others
Sacs,C3
Tmod4,Others
Scly,Others
Sart3,Others
Aldh9a1,Others
Cabp1,Others
Dclk1,Others
Mtor,Others
Cd2ap,Others
Txnrd2,Others
Bag3,Others
Cul3,Others
Pnkp,Others
Dusp14,Others
Auh,Others
Rabgef1,Others
Nt5c,Others
Mink1,Others
Reep6,C4
Arpc3,Others
Cdc42ep4,C3
Usp14,Others
Dnaja4,C5
Znf207,C6
Stard10,Others
Ap3b2,Others
Trappc2l,Others
Hdgfl3,Others
Neu2,Others
Txnrd1,Others
Myo18a,Others
Glrx,C3
Rhoa,C4
Acsl4,Others
Psma6,Others
Hapln1,Others
Prep,Others
Pin1,Others
Sema7a,Others
Naga,Others
Asap1,Others
Cyth1,Others
Son,Others
Dguok,Others
Drg2,Others
Fetub,C3
Fbp1,C3
Limd1,C4
Tbl1x,Others
Gnmt,C3
Acss2,Others
Copg2,C6
Kif21a,Others
Plec,Others
Dbn1,Others
Cnpy2,Others
Pcsk1n,Others
Slc25a13,C4
Ehd3,Others
Macf1,Others
Naa10,Others
Plxnb3,Others
Vapb,Others
Tomm40,C4
Clic4,Others
Add3,Others
Add2,Others
Add1,Others
Golga5,Others
Plekhb1,C3
Rdh11,C4
Ndrg3,Others
Ndrg2,Others
Maged1,Others
Dnajc7,Others
Dnajb12,C4
Dnaja2,Others
Dnajb1,Others
Map1a,Others
Qki,C4
Gab1,Others
Tollip,Others
Nagk,Others
Nfu1,Others
Tnnt3,Others
Dcun1d1,C4
Vps29,Others
Actr10,C5
Dctn5,Others
Slc25a10,C4
Eif3i,C6
Copg1,C4
Tsnax,Others
Gpc1,Others
Serinc3,C4
Ubqln2,Others
Fbxo6,Others
Afdn,Others
Macroh2a1,Others
Rnf25,Others
Numb,Others
Dpt,Others
Mvk,C4
Amfr,Others
Nubp2,C6
Gyg1,Others
Bcam,Others
Gpc6,Others
Hgfac,Others
Tbl2,C4
Pex14,Others
Clcn2,C5
Lamc3,C3
Plod2,Others
Wdr54,Others
Plod3,C4
Comp,Others
Acox1,Others
Atp2b2,C5
Tpk1,Others
Rab9a,Others
Galk1,Others
Syt11,Others
Esd,Others
Smap,Others
Dstn,Others
Sec11a,C4
Uchl1,Others
Tmed2,Others
Arpc1a,Others
Ptges3,C6
Srsf10,C6
Acot9,Others
Ak1,Others
Gda,C6
Sqor,Others
Mta2,Others
Dgke,Others
Nsdhl,C4
Mast1,Others
Psma4,C6
Psmb3,Others
Psmb2,Others
Psma1,C6
Tagln3,Others
Atp6ap1,C3
Trim3,Others
Sae1,Others
Septin6,Others
Adam11,C3
Adam22,C5
Adam23,C5
Pts,Others
Sorbs3,Others
Myo1c,Others
Nfkb2,C4
Lypla2,Others
Ruvbl2,Others
Ak2,Others
Ak3,Others
Akap12,Others
Timm23,Others
Trpv2,Others
Cdh13,Others
Fut8,C4
Atp6v1g2,Others
Prkra,Others
Skp1,Others
Cul1,Others
Mad1l1,Others
Pfdn5,Others
Hebp2,Others
Pdcd6ip,Others
Prodh,Others
Farsb,C3
Pfkp,Others
Akt3,C4
Pygm,Others
Stub1,Others
Eif4h,Others
Arl3,Others
Coro1b,C4
Coro1c,Others
Suclg1,Others
Tbk1,Others
Srd5a3,Others
Uchl5,Others
Preb,Others
Eci2,Others
Ctsz,C4
Tnni1,Others
Sh3bgr,Others
Ankrd2,Others
Gabbr1,Others
Arpc1b,C4
Mpp2,Others
Apobec2,Others
Asah1,Others
Vapa,Others
Gsk3b,Others
Dmtn,Others
Snx1,Others
Nme3,C4
Ptgfrn,C4
Epb41l3,Others
Timm10b,Others
Timm9,Others
Bub3,C6
Tagln2,C6
Cav2,Others
Pacsin2,Others
Carm1,Others
Fbln5,Others
Psmd13,Others
Cpq,Others
Crybb1,Others
Efemp2,Others
Ehd1,Others
Gstz1,Others
Stat2,Others
Magi2,Others
Apip,Others
Fxr2,C6
Ncdn,Others
Gbp2,Others
Sncg,Others
Adam17,Others
Gipc1,Others
Celf2,C4
Clip2,Others
Npc2,C4
Reck,Others
Lipa,Others
Palm,Others
Twf2,Others
Itsn1,Others
Itsn2,Others
Bpnt1,Others
Tjp2,Others
Ngfr,Others
Aifm1,Others
Dctn3,Others
Stau1,Others
Aldh18a1,C6
Slc7a5,Others
Hnrnpdl,Others
Cpne6,Others
Cog1,Others
Plcb1,C5
Eif3g,C6
Gys1,Others
Uba2,Others
Atp6v1c1,C5
Atp6v0a1,Others
Nfs1,C3
Arih1,Others
P2rx7,C5
Ik,C6
Ddx39b,Others
Abhd16a,Others
Clic1,C6
Vars1,Others
Bag6,Others
Septin3,Others
Ap3b1,C4
Thbs4,C3
Stk39,Others
Ilf3,Others
Trip6,Others
Uso1,C6
Strap,Others
Hnrnpc,C6
Dpp6,Others
Mocs2,Others
Fkbp9,C4
Snapin,C6
Pdpk1,Others
Ate1,Others
Mtmr1,Others
Mtm1,C5
Mtmr7,C3
Mtmr9,C5
Mtmr2,C5
Gsdme,Others
Mecp2,Others
Sel1l,Others
Htatip2,Others
Rgs6,C5
Epb41l1,Others
Letm1,Others
Fkbp1b,Others
Suclg2,Others
Sucla2,Others
Crlf3,C6
Pmm2,C3
Actl6a,C6
Vamp5,Others
Mrpl40,Others
Septin5,Others
Psma7,Others
Psma5,C6
Pck1,Others
Hdac6,C5
Dnpep,Others
Hnrnpf,C6
Psmd10,Others
Homer1,Others
Plpbp,Others
Slc25a20,Others
Top3b,Others
