Gene.Symbol,Condition
Ptpra,Others
Ctsd,Others
Bsg,Others
Slc7a2,C3
Rps6ka3,Others
Cfl1,Others
Phka1,C5
Gnao1,Others
Krt19,Others
Fasn,C4
Gstp1,Others
F2,C1
Nefh,Others
Rpl13a,C2
Serpinh1,C4
Cox5b,Others
Cox4i1,C4
Lsp1,C6
Hspa5,C6
Hexb,Others
Prdx3,Others
Vim,Others
F3,C5
Map2,Others
Prkca,Others
Tnnc2,Others
Mag,C4
Plg,Others
Tpm3,Others
Ubl4a,Others
Gna11,Others
Gnaq,Others
Abcb1a,C5
Cst3,C3
Eno3,Others
Gc,C3
Lmnb2,C3
Mcpt4,C5
Ache,Others
Tpsb2,Others
Mfge8,Others
Tgm2,Others
Emb,Others
Fech,Others
Serpina1b,Others
Cbl,Others
Ap1g1,Others
Hmbs,C6
Crabp2,Others
Eif3a,C6
Cbx3,Others
Gja1,Others
Pnp,C2
Pcmt1,Others
Gfus,Others
Glb1,C4
Cryab,Others
Ces1c,C5
Cat,Others
Bcat1,Others
Ppib,C2
Capg,Others
Gsta4,C1
Pmp2,Others
Lta4h,Others
Th,C5
Impdh2,C2
Aldh1a1,C1
Acp2,Others
M6pr,Others
Rps2,C6
Lyn,C4
Tln1,Others
Ezr,C2
Msn,Others
Rdx,C4
Ctnna1,C4
Klkb1,Others
U2af2,C6
Glud1,Others
Psmd7,Others
Sars1,Others
Fkbp1a,Others
Map4,Others
Mpz,Others
Gna12,Others
Gna13,C5
Plaa,Others
Xrcc5,Others
Rpl3,C6
Pdia3,C6
Psmb8,C6
Gjb1,C3
Aco1,C4
Ctsg,C6
Apex1,Others
Adh5,C3
Col2a1,Others
Adss1,Others
Camk2b,Others
Bgn,Others
Dcn,Others
Nap1l1,C6
Atxn10,Others
Nckap1,C5
Septin4,Others
Napb,C1
Mug1,Others
Kif5c,C5
Kif2a,Others
Kif3a,Others
Grn,Others
Dpp4,C3
Prkcd,Others
Pabpc1,C6
Ptpn6,C2
Ftl1,C3
Hexa,Others
Nedd8,Others
Ahsg,Others
Oat,Others
Vtn,Others
Ckmt1,Others
Ppic,C4
Fkbp4,C2
Gna14,Others
Ctnnd1,Others
Des,Others
Aimp1,C6
Prkar2b,Others
Dpep1,C5
S100a9,C2
Akt1,Others
Dbi,C2
Map2k1,Others
Scp2,Others
Slc2a3,Others
Ssb,C2
Drg1,Others
Serpinc1,Others
Pvalb,Others
Kras,Others
Wars1,Others
Kif1a,Others
Kif5a,Others
Ranbp1,Others
Ptk2,Others
Mif,Others
Ephx2,Others
Usp4,Others
Ptpn11,Others
Rab5c,Others
Rab6a,C4
Rab21,C4
Rab12,C5
Rab23,Others
Rab24,Others
Rab18,C4
Hspb7,Others
Thbs1,Others
Pdha1,Others
Fah,C3
Fbl,Others
Canx,C4
Ap1m1,Others
Prdx1,C6
Cd81,Others
Gpm6a,Others
Gpm6b,C5
Ptpn1,Others
Fmr1,Others
Ldlr,Others
Rpl12,C6
Rpl18,C2
Cpox,Others
Gnl1,Others
Ppm1b,Others
Por,C4
Tagln,Others
Fbln2,Others
Hmgcl,Others
Ttl,Others
Hspa9,Others
Dnm1,Others
Dnm2,C4
Col18a1,Others
Man1a2,Others
Tjp1,Others
Fyn,Others
Timp3,Others
Cap1,Others
Tkt,C2
Cd82,Others
Cd9,Others
Vps26a,Others
Inmt,C5
Acsl1,Others
Abca2,Others
Csk,Others
Mmp9,C6
Mbl2,C5
Eci1,Others
Septin2,C4
Stat1,Others
Stat3,Others
Stat5b,C4
Eps15,C6
Pura,C3
Lifr,C4
Htt,C5
Cct8,C6
Clec3b,C4
Itgav,Others
Akr1b1,Others
Akr1b8,C5
Cfl2,Others
Fkbp2,C6
Acadm,Others
Rangap1,Others
Syt2,Others
Gpx3,C1
Cdkn1b,Others
Nsf,Others
Vps4b,Others
Psmc2,C6
Rab11b,C4
Ina,Others
Adss2,Others
Myo1b,Others
Brcc3,Others
Nedd4,C4
Yap1,Others
Stt3a,C4
Cryz,C1
Rph3a,C4
Aldh2,Others
Aldh3a2,C4
Capza1,Others
Capza2,Others
Capzb,Others
Srprb,C4
Gsr,Others
Mtx1,Others
Map2k4,C5
Mapk14,C4
Gfpt1,Others
Pfkm,Others
Scg3,Others
Igfbp6,Others
Rpl6,C6
Crat,Others
Crkl,Others
Rpl5,C6
Rpl13,C6
Anxa5,Others
Epb41,Others
Abcd1,Others
Tbca,Others
Ppp3cb,C5
Lmna,Others
Hspa4l,Others
Cbr1,C5
Gstm5,C1
Slc25a4,Others
Serpind1,Others
Epb42,C2
Epx,C6
Hnrnpa1,C6
Inpp1,Others
Ppm1a,Others
Ptpre,Others
Cdk5,Others
Psma2,C6
Tmod1,Others
Cav1,Others
Ctsh,C6
Srp9,C6
Impdh1,Others
S100b,Others
Bckdha,Others
Hsd17b8,Others
Ahcy,Others
Fmo1,C4
Gdi1,Others
Sts,Others
Arsb,C6
Csrp3,Others
Atp6v1a,Others
Atp6v1e1,C3
S100a11,C4
Acadvl,Others
Pa2g4,C6
Fmod,Others
Cast,Others
Rab7a,C4
Uros,Others
Acadl,Others
Ppox,Others
Rpl9,C6
Plcb3,Others
Camp,C2
Cntf,C5
Hsd17b4,C4
Myl2,Others
Gss,Others
Hdgf,Others
Atp6v0d1,C4
Fabp7,Others
Slc25a5,C4
Lum,Others
Apod,C3
