Genes,log2FC(S2/P1),q value
CES1C,4.04947654,0.000125129
H3C11;H3C15,-7.105073607,0.000125129
KRT87,-3.462659682,0.000125129
SHTN1,1.244095237,0.000125129
AACS,1.366020563,0.000125129
HTRA1,-3.558191769,0.000125129
ENO3,3.213238917,0.000126817
BGN,-2.413919327,0.000126817
PDLIM7,-5.782431961,0.000126817
MYOF,-1.314382393,0.000126817
TXLNA,-2.571772607,0.000126817
NAMPT,1.723302196,0.000126817
GM5938,4.341069826,0.000127934
FLOT1,-1.594238468,0.000127934
SKIV2L,-2.610002305,0.000127934
RPS27L,-3.832013955,0.000127934
DYNLL2,1.145307822,0.000127934
UCHL1,2.875393668,0.000127934
NDUFB8,-2.943749778,0.000128066
CMPK2,1.08359872,0.000129193
AK1,3.511299401,0.000129193
LTA4H,2.867639223,0.000130596
BOLA1,1.939793891,0.000130596
HNRNPK,-2.752261807,0.000132335
HNRNPM,-2.187692346,0.000132641
HUWE1,1.04872918,0.000134786
ARF1,3.458592135,0.000134952
PGM3,2.302281438,0.000134952
LGALSL,2.816553833,0.000134972
SERPINA1A,4.62334201,0.000137873
APEX1,-1.868059892,0.000137873
MTAP,2.346277987,0.000137873
PRPSAP1,1.676566783,0.000137873
VARS2,-2.361239201,0.000139513
HIP1,-1.118983746,0.000139521
CAV1,-1.6900334,0.000140393
IRF3,0.918039611,0.000140393
SEC23IP,0.904292335,0.000140393
ATP5MK,-2.949586306,0.000140921
FUBP3,-2.15553748,0.000142171
PEBP1,4.516281673,0.000142171
LARP1,-2.069981567,0.000142171
ZMPSTE24,-1.830879385,0.000142171
HSPA12A,-2.0617735,0.000142171
ADH1,2.9680108,0.000142879
TJP2,-2.426662532,0.000143347
DECR1,-3.104399318,0.000143392
QKI,-1.290236183,0.00014387
MARCKSL1,1.240317058,0.000145075
ATP5PO,-2.24850757,0.000145075
PSMC4,1.519648553,0.000149377
FH,1.459176149,0.000149377
PRPH,-4.078684193,0.000149749
ESD,2.522004446,0.000149749
VAPA,-1.891196916,0.000149794
LUM,2.751250583,0.000153418
HADHA,-1.7371106,0.000153418
APOA4,2.360463672,0.00015844
CD109,1.61392533,0.00015844
DHRS1,-1.858471359,0.00015844
ADPRH,2.651936335,0.000158522
SH3BGRL,2.779049436,0.000158522
NME1,1.942948176,0.000159597
SF3B6,-3.326426351,0.000159675
PYGB,2.185641839,0.000159675
NDUFB5,-2.733394755,0.000159675
PYCARD,2.874785496,0.000159675
CFL2,2.166647655,0.00016155
KPNB1,0.865748955,0.00016155
GPD2,-1.763895778,0.00016155
SERPINA1D,3.281470575,0.0001634
STAT5B,1.917549065,0.000165029
PSMC3,0.798463371,0.000167945
MYH8,-5.919084964,0.000167945
MYO1B,-1.442941123,0.000167945
CAB39,1.41583305,0.000167945
ERO1A,3.282716149,0.000167945
RNH1,2.688729927,0.000167945
CRYZL1,1.025306312,0.000167945
PPP6C,1.777783345,0.000167945
TBCB,2.693579633,0.000167945
CMPK1,3.259910269,0.000167945
GDA,2.391558871,0.000167945
CHMP2A,-1.309343983,0.000167994
SETMAR,3.905207069,0.000168168
SEPTIN11,-1.326160474,0.000168168
CRYAB,2.12884928,0.000169508
MAPK14,2.616817164,0.000169508
AHCY,2.612583845,0.000169508
NHLRC2,1.576696069,0.000169508
UBA5,1.681112851,0.000169508
DNAJB11,-1.767251308,0.000169508
FABP4,3.629032525,0.000174271
AUP1,-2.352382752,0.000175335
CRAT,-2.025809138,0.000178434
FUS,-2.779101104,0.000178434
NRBP1,1.184690292,0.000178434
ARHGDIA,3.265815919,0.000178434
CZIB,2.416286037,0.000178914
MYH2,-5.367875581,0.000179737
COX7A2,-2.129750948,0.000179946
UBE2V1,1.391358238,0.000179946
TMX1,-2.050013737,0.000179953
NDUFB7,-1.922997543,0.000179953
TSNAX,1.415656811,0.000179953
ATP2A2,-1.380486594,0.000180092
PGAM2,3.018228182,0.000180092
CKM,3.125891435,0.000180092
SERPINC1,2.173458319,0.000180092
PURA,-1.968725445,0.000180092
VPS45,-2.494280748,0.000180092
NANS,2.643279006,0.000180092
PSMD13,0.919388372,0.000180092
GARS1,2.453932868,0.000180653
ATP6V1G1,2.717021724,0.000181356
2310050C09RIK,-3.478888069,0.000185938
GDI2,1.574271697,0.00018608
RDH14,-2.055034513,0.00018608
SAMM50,-1.649971275,0.000186257
ATL3,-0.885103705,0.000186403
TIMM44,-1.903177426,0.000187059
MBP,-3.368068265,0.000187059
MAP2,-0.705649912,0.000187059
H4C16,-4.860488836,0.000187059
CDK6,1.437693774,0.000187059
