"","Gene","Tissue","Type"
"243","Cdk11b","DRG","DEP"
"244","Ints12","DRG","DEP"
"245","Tnrc6a","DRG","DEP"
"246","Slc30a6","DRG","DEP"
"247","Paxbp1","DRG","DEP"
"248","Rragb","DRG","DEP"
"249","Ssr1","DRG","DEP"
"250","Fbl","DRG","DEP"
"251","Snrpe","DRG","DEP"
"252","Dek","DRG","DEP"
"253","Spats2l","DRG","DEP"
"254","Surf6","DRG","DEP"
"255","Celf1","DRG","DEP"
"256","Crocc","DRG","DEP"
"257","Ddx3y","DRG","DEP"
"258","Cpeb4","DRG","DEP"
"259","Polr2d","DRG","DEP"
"260","Lsm14b","DRG","DEP"
"261","Zc3h11a","DRG","DEP"
"262","Golga1","DRG","DEP"
"263","Btf3l4","DRG","DEP"
"264","Bicra","DRG","DEP"
"265","Isy1","DRG","DEP"
"266","Hmbox1","DRG","DEP"
"267","Ncoa2","DRG","DEP"
"268","Mta1","DRG","DEP"
"269","Mbd2","DRG","DEP"
"270","H4c1","DRG","DEP"
"271","Pals2","DRG","DEP"
"272","Ece1","DRG","DEP"
"273","Gosr1","DRG","DEP"
"274","Ctsd","DRG","DEP"
"275","Jakmip1","DRG","DEP"
"276","Vamp4","DRG","DEP"
"277","Taf9b","DRG","DEP"
"278","Hmga1","DRG","DEP"
"279","Casz1","DRG","DEP"
"280","Rbm26","DRG","DEP"
"281","Gtpbp1","DRG","DEP"
"282","Rps6ka5","DRG","DEP"
"283","Copg1","DRG","DEP"
"284","Itgb6","DRG","DEP"
"285","Smarca2","DRG","DEP"
"286","Erh","DRG","DEP"
"287","Dido1","DRG","DEP"
"288","Qrich1","DRG","DEP"
"289","Mat2a","DRG","DEP"
"290","Ganc","DRG","DEP"
"291","Farp1","DRG","DEP"
"292","Prpf8","DRG","DEP"
"293","Psma2","DRG","DEP"
"294","Smarce1","DRG","DEP"
"295","Rpl17","DRG","DEP"
"296","Ddx39b","DRG","DEP"
"297","Ncbp3","DRG","DEP"
"298","Znf592","DRG","DEP"
"299","Nacc1","DRG","DEP"
"300","Polr3f","DRG","DEP"
"301","Rasa2","DRG","DEP"
"302","Papola","DRG","DEP"
"303","Lin54","DRG","DEP"
"304","Zc3h14","DRG","DEP"
"305","Med1","DRG","DEP"
"306","Cpsf6","DRG","DEP"
"307","Wac","DRG","DEP"
"308","Pml","DRG","DEP"
"309","Crybg3","DRG","DEP"
"310","Toe1","DRG","DEP"
"311","Rnf213","DRG","DEP"
"312","Atxn1l","DRG","DEP"
"313","Epb41l4b","DRG","DEP"
"314","Ankfy1","DRG","DEP"
"315","Gtf3c5","DRG","DEP"
"316","Zc3h18","DRG","DEP"
"317","Prpf4b","DRG","DEP"
"318","Tet1","DRG","DEP"
"319","Prpf40b","DRG","DEP"
"320","Hcfc2","DRG","DEP"
"321","Supt5h","DRG","DEP"
"322","Cand1","DRG","DEP"
