"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0030175","GO:0030175","filopodium","29/987","37/2306",0.783783783783784,1.83121115036009,4.40825407845564,9.66047239679819e-06,6.98105835466737e-05,3.97163413334106e-05,"Palm/Snap25/Twf1/Rufy3/Lcp1/Dbn1/Ap2a1/Cfl1/Twf2/Msn/Shtn1/Tubb3/Myo5a/Ppp1r9b/Dync1h1/Gap43/Dag1/Fscn1/Cdc42/Ezr/Cdk5/Fgd4/Itgb1/Mtm1/Ptprz1/Rdx/Src/Vasp/Washc1",29
"GO:0030662","GO:0030662","coated vesicle membrane","29/987","37/2306",0.783783783783784,1.83121115036009,4.40825407845564,9.66047239679819e-06,6.98105835466737e-05,3.97163413334106e-05,"Dbnl/Atp6v1a/Ap3b2/Necap1/Sgip1/Syn1/Ap2b1/Ap2a1/Atp6v1b2/Synrg/Atp6v1h/Epn1/Vamp2/Rab3a/Copa/Atp6v1e1/Necap2/Atp6v0d1/Atp6v1c1/Ap2s1/Atp6v1f/Cltc/Gad1/Arcn1/Atp6v1d/Cltb/Hip1/Hip1r/Tbc1d5",29
"GO:0005911","GO:0005911","cell-cell junction","75/987","121/2306",0.619834710743802,1.44816498781683,4.38002443053087,1.01035581031977e-05,7.16604213615692e-05,4.07687432234295e-05,"Zyx/Myh9/Tnks1bp1/Strn/Synm/Tln1/Pak2/Magi1/Epb41l3/Vcl/Nck1/Ppp3ca/Flot1/Luzp1/Slc9a1/Pdlim5/Pdcd6ip/Anxa5/Twf1/Atp1a1/Coro1a/Cntnap1/Cadm3/Ppp1ca/Dbn1/Vapa/Cask/Magi2/Cdc42ep4/Calb2/Synpo/Cfl1/Sirt2/Uba1/Wdr1/Gsn/Jcad/Msn/Sv2a/Tjp2/Ppp1r9b/Atp1b1/Ywhah/Ndrg1/Ctnna2/Dag1/Fscn1/Actn4/Cdc42/Akr1b1/Pdxp/Ezr/Actr3/Arhgap17/Ccdc85c/Cd2ap/Cdh2/Clic4/Cntnap2/Dlg4/Gab1/Itgb1/Kazn/Nectin1/Nexn/Pacsin2/Pdlim1/Rdx/Rhoa/Sh3kbp1/Skp1/Specc1l/Src/Tbcd/Vasp",75
"GO:0098685","GO:0098685","Schaffer collateral - CA1 synapse","36/987","49/2306",0.73469387755102,1.71651882637554,4.38461544933087,1.09130788392749e-05,7.59947126444054e-05,4.32345898512901e-05,"Akap12/Nefl/Ppp3ca/Arhgdia/Dpysl2/Nefh/Capzb/Bcr/Syn2/Syn1/Cplx1/Ina/Bsn/Pfn1/Cask/Stxbp5/Pafah1b1/Epn1/Rala/Synpo/Tnr/Myo5a/Nptn/Camk2a/Cdc42/Apba1/Cacna1b/Cdk5/Eea1/Hip1/Itgb1/Mapk9/Ppp3r1/Rhob/Shank1/Stx1a",36
"GO:0030665","GO:0030665","clathrin-coated vesicle membrane","27/987","34/2306",0.794117647058823,1.85535490792061,4.34563543993662,1.28663532061021e-05,8.79966656774486e-05,5.00626901064501e-05,"Dbnl/Atp6v1a/Ap3b2/Necap1/Sgip1/Syn1/Ap2b1/Ap2a1/Atp6v1b2/Synrg/Atp6v1h/Epn1/Vamp2/Rab3a/Atp6v1e1/Necap2/Atp6v0d1/Atp6v1c1/Ap2s1/Atp6v1f/Cltc/Gad1/Atp6v1d/Cltb/Hip1/Hip1r/Tbc1d5",27
"GO:0042641","GO:0042641","actomyosin","30/987","39/2306",0.769230769230769,1.79720988231627,4.34261032397477,1.32110044960916e-05,8.87686793333875e-05,5.05019008437851e-05,"Zyx/Myh9/Anxa2/Vcl/Dctn4/Nebl/Septin5/Luzp1/Pdlim5/Pdcd6ip/Septin9/Lcp1/Myo18a/Synpo/Lpp/Coro2b/Myo5a/Fscn1/Actn4/Ablim3/Coro1b/Evl/Limch1/Myh14/Pdlim1/Ppp1r12a/Ppp1r12c/Ptpn11/Septin11/Stx1a",30
"GO:0043679","GO:0043679","axon terminus","42/987","60/2306",0.7,1.6354609929078,4.31351477205264,1.48985977719135e-05,9.83821197697047e-05,5.59711386349564e-05,"Aak1/Pebp1/Pacsin1/Amph/Septin4/Pclo/Git1/Septin5/Dpysl2/Anxa5/Bin1/Kcna1/Hspa8/Cplx1/Sncg/Kcnab2/Septin6/Calb2/Rab3a/Prrt2/Cplx2/Sncb/Atp6v0d1/Glul/Slc32a1/Snca/Got1/Gad1/Cacna1b/Calb1/Erc2/Gabrb3/Grip1/Grm7/Hcn1/Hcn3/Ncs1/Ppp2ca/Rgs10/Rimbp2/Sri/Tprg1l",42
"GO:0030120","GO:0030120","vesicle coat","13/987","13/2306",1,2.33637284701114,4.17896693669072,1.54597202723992e-05,0.000100357167192015,5.7094774244186e-05,"Necap1/Sgip1/Ap2b1/Ap2a1/Synrg/Epn1/Copa/Necap2/Ap2s1/Cltc/Arcn1/Cltb/Tbc1d5",13
"GO:0044309","GO:0044309","neuron spine","48/987","71/2306",0.676056338028169,1.5795196712188,4.28973274780035,1.62705159955106e-05,0.000103860127104676,5.90876633521176e-05,"Palm/Cttn/Strn/Map1b/Ppp3ca/Cnn3/Dnm3/Numb/Prkar2b/Capzb/Bcr/Sipa1l1/Hspa8/Ppp1ca/Rph3a/Dbn1/Synpo/Cfl1/Prrt2/Canx/Ppp1r9b/Camk2a/Homer1/Cdc42/Fbxo2/Clcn2/Apba1/Calb1/Cntnap2/Cttnbp2/Dlg4/Dnajb1/Eea1/Fxr1/Grip1/Hip1r/Itgb1/Mtmr2/Pten/Ptprz1/Rab8a/Rgs10/Rhoa/Septin11/Shank1/Sri/Strn4/Usp8",48
"GO:0030864","GO:0030864","cortical actin cytoskeleton","28/987","36/2306",0.777777777777778,1.81717888100867,4.27392699507026,1.8064517691453e-05,0.000113421479931582,6.45272676812904e-05,"Cttn/Lasp1/Myh9/Wasl/Dbnl/Sptbn1/Vcl/Flot1/Coro1a/Cap1/Dbn1/Calb2/Mtss2/Cfl1/Dstn/Wdr1/Gsn/Llgl1/Pvalb/Ppp1r9b/Eef1a1/Actn4/Calb1/Cdh2/Hip1/Hip1r/Lancl2/Rdx",28
